sample_number,Exp,Day,Plate,Sample,well,sample_name..0..If.empty
1096,LEUK11,28,Plate1,ARCH,B1,B1
1097,LEUK11,28,Plate1,ARCH,C1,C1
1098,LEUK11,28,Plate1,ARCH,F1,F1
1099,LEUK11,28,Plate1,ARCH,G1,G1
1100,LEUK11,28,Plate1,ARCH,H1,H1
1101,LEUK11,28,Plate1,ARCH,A2,A2
1102,LEUK11,28,Plate1,ARCH,B2,B2
1103,LEUK11,28,Plate1,ARCH,C2,C2
1104,LEUK11,28,Plate1,ARCH,F2,F2
1105,LEUK11,28,Plate1,ARCH,G2,G2
1106,LEUK11,28,Plate1,ARCH,A3,A3
1107,LEUK11,28,Plate1,ARCH,B3,B3
1108,LEUK11,28,Plate1,ARCH,D3,D3
1109,LEUK11,28,Plate1,ARCH,F3,F3
1110,LEUK11,28,Plate1,ARCH,G3,G3
1111,LEUK11,28,Plate1,ARCH,B4,B4
1112,LEUK11,28,Plate1,ARCH,C4,C4
1113,LEUK11,28,Plate1,ARCH,F4,F4
1114,LEUK11,28,Plate1,ARCH,B5,B5
1115,LEUK11,28,Plate1,ARCH,C5,C5
1116,LEUK11,28,Plate1,ARCH,D5,D5
1117,LEUK11,28,Plate1,ARCH,E5,E5
1118,LEUK11,28,Plate1,ARCH,F5,F5
1119,LEUK11,28,Plate1,ARCH,G5,G5
1120,LEUK11,28,Plate1,ARCH,A6,A6
1121,LEUK11,28,Plate1,ARCH,B6,B6
1122,LEUK11,28,Plate1,ARCH,C6,C6
1123,LEUK11,28,Plate1,ARCH,D6,D6
1124,LEUK11,28,Plate1,ARCH,E6,E6
1125,LEUK11,28,Plate1,ARCH,G6,G6
1126,LEUK11,28,Plate1,ARCH,A7,A7
1127,LEUK11,28,Plate1,ARCH,B7,B7
1128,LEUK11,28,Plate1,ARCH,C7,C7
1129,LEUK11,28,Plate1,ARCH,D7,D7
1130,LEUK11,28,Plate1,ARCH,E7,E7
1131,LEUK11,28,Plate1,ARCH,F7,F7
1132,LEUK11,28,Plate1,ARCH,G7,G7
1133,LEUK11,28,Plate1,ARCH,H7,H7
1134,LEUK11,28,Plate1,ARCH,B8,B8
1135,LEUK11,28,Plate1,ARCH,C8,C8
1136,LEUK11,28,Plate1,ARCH,D8,D8
1137,LEUK11,28,Plate1,ARCH,E8,E8
1138,LEUK11,28,Plate1,ARCH,F8,F8
1139,LEUK11,28,Plate1,ARCH,G8,G8
1140,LEUK11,28,Plate1,ARCH,H8,H8
1141,LEUK11,28,Plate1,ARCH,A9,A9
1142,LEUK11,28,Plate1,ARCH,B9,B9
1143,LEUK11,28,Plate1,ARCH,C9,C9
1144,LEUK11,28,Plate1,ARCH,D9,D9
1145,LEUK11,28,Plate1,ARCH,F9,F9
1146,LEUK11,28,Plate1,ARCH,G9,G9
1147,LEUK11,28,Plate1,ARCH,H9,H9
1148,LEUK11,28,Plate1,ARCH,A10,A10
1149,LEUK11,28,Plate1,ARCH,B10,B10
1150,LEUK11,28,Plate1,ARCH,E10,E10
1151,LEUK11,28,Plate1,ARCH,G10,G10
1152,LEUK11,28,Plate1,ARCH,H10,H10
1153,LEUK11,28,Plate1,ARCH,A11,A11
1154,LEUK11,28,Plate1,ARCH,B11,B11
1155,LEUK11,28,Plate1,ARCH,C11,C11
1156,LEUK11,28,Plate1,ARCH,D11,D11
1157,LEUK11,28,Plate1,ARCH,E11,E11
1158,LEUK11,28,Plate1,ARCH,H11,H11
1159,LEUK11,28,Plate1,ARCH,A12,A12
1160,LEUK11,28,Plate1,ARCH,B12,B12
1161,LEUK11,28,Plate1,ARCH,C12,C12
1162,LEUK11,28,Plate1,ARCH,E12,E12
1163,LEUK11,28,Plate1,ARCH,G12,G12
1164,LEUK11,28,Plate1,ARCH,H12,H12
