sample_name,13:28607900-28608500,20:31022200-31022800,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads,,,
Aditi_1_S1,0,0,31,0,31,1365,1366,1334,Aditi,1,S1
Aditi_10_S10,0,0,0,0,0,1420,1420,1420,Aditi,10,S10
Aditi_100_S100,0,0,1,0,1,2139,2140,2138,Aditi,100,S100
Aditi_1000_S1000,0,0,61248,0,61248,62950,63520,1702,Aditi,1000,S1000
Aditi_1001_S1001,0,0,47678,0,47678,50060,50542,2382,Aditi,1001,S1001
Aditi_1002_S1002,0,0,24238,0,24238,25814,26062,1576,Aditi,1002,S1002
Aditi_1003_S1003,0,0,52532,0,52532,53022,53560,490,Aditi,1003,S1003
Aditi_1004_S1004,0,0,51794,0,51794,55874,56438,4080,Aditi,1004,S1004
Aditi_1005_S1005,0,0,27896,0,27896,28274,28558,378,Aditi,1005,S1005
Aditi_1006_S1006,0,0,55144,0,55144,57658,58186,2514,Aditi,1006,S1006
Aditi_1007_S1007,0,0,9587,0,9587,11173,11288,1586,Aditi,1007,S1007
Aditi_1008_S1008,0,0,19381,0,19381,20959,21152,1578,Aditi,1008,S1008
Aditi_1009_S1009,0,0,57720,0,57720,60334,60960,2614,Aditi,1009,S1009
Aditi_101_S101,0,0,0,0,0,2092,2092,2092,Aditi,101,S101
Aditi_1010_S1010,0,0,28364,0,28364,28944,29290,580,Aditi,1010,S1010
Aditi_1011_S1011,0,0,64203,0,64203,68735,69368,4532,Aditi,1011,S1011
Aditi_1012_S1012,0,0,96040,0,96040,97328,98238,1288,Aditi,1012,S1012
Aditi_1013_S1013,0,0,77542,0,77542,78854,79640,1312,Aditi,1013,S1013
Aditi_1014_S1014,0,0,72357,0,72357,75347,76124,2990,Aditi,1014,S1014
Aditi_1015_S1015,0,0,14782,0,14782,17122,17266,2340,Aditi,1015,S1015
Aditi_1016_S1016,0,0,16561,0,16561,17669,17840,1108,Aditi,1016,S1016
Aditi_1017_S1017,0,0,17317,0,17317,17995,18214,678,Aditi,1017,S1017
Aditi_1018_S1018,0,0,43779,0,43779,47131,47596,3352,Aditi,1018,S1018
Aditi_1019_S1019,0,0,51025,0,51025,53231,53684,2206,Aditi,1019,S1019
Aditi_102_S102,0,0,0,0,0,2042,2042,2042,Aditi,102,S102
Aditi_1020_S1020,0,0,20911,0,20911,21905,22116,994,Aditi,1020,S1020
Aditi_1021_S1021,0,0,77180,0,77180,80652,81488,3472,Aditi,1021,S1021
Aditi_1022_S1022,0,0,2951,0,2951,3049,3072,98,Aditi,1022,S1022
Aditi_1023_S1023,0,0,76758,0,76758,81646,82420,4888,Aditi,1023,S1023
Aditi_1024_S1024,0,0,17552,0,17552,19466,19664,1914,Aditi,1024,S1024
Aditi_1025_S1025,0,0,78902,0,78902,83238,83990,4336,Aditi,1025,S1025
Aditi_1026_S1026,0,0,38501,0,38501,40287,40642,1786,Aditi,1026,S1026
Aditi_1027_S1027,0,0,31819,0,31819,33533,33844,1714,Aditi,1027,S1027
Aditi_1028_S1028,0,0,14279,0,14279,14635,14776,356,Aditi,1028,S1028
Aditi_1029_S1029,0,0,8065,0,8065,8287,8380,222,Aditi,1029,S1029
Aditi_103_S103,0,0,1,0,1,2447,2448,2446,Aditi,103,S103
Aditi_1030_S1030,0,0,4185,0,4185,4759,4800,574,Aditi,1030,S1030
Aditi_1031_S1031,0,0,57173,0,57173,60735,61298,3562,Aditi,1031,S1031
Aditi_1032_S1032,0,0,46683,0,46683,48123,48554,1440,Aditi,1032,S1032
Aditi_1033_S1033,0,0,94724,0,94724,98692,99668,3968,Aditi,1033,S1033
Aditi_1034_S1034,0,0,82403,0,82403,86007,86784,3604,Aditi,1034,S1034
Aditi_1035_S1035,0,0,57180,0,57180,59626,60194,2446,Aditi,1035,S1035
Aditi_1036_S1036,0,0,55596,0,55596,58298,58866,2702,Aditi,1036,S1036
Aditi_1037_S1037,0,0,53425,0,53425,57729,58290,4304,Aditi,1037,S1037
