Well,All Events FSC-A Median,All Events FSC-W Median,All Events SSC-A Median,All Events CD33 640 670/30-A Median,All Events CD34 640 780/60-A Median,All Events CD45RA 640 730/45-A Median,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Median,All Events LIN 488 530/30-A Median,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Median,All Events Time Median
A1,"173,916","90,619","32,689",979,"2,956",105,"4,325","3,649","2,350",83,-346,823,"4,092","2,217"
A2,"180,599","98,888","26,120",174,"3,222",32,402,"1,623","2,449",40,-76,183,"1,775","3,760"
A3,"139,469","86,363","15,485",155,"2,503",-16,151,"2,711",527,14,-109,118,"2,207","4,019"
A4,"144,518","84,664","29,619",330,"1,294",75,34,979,"1,809",92,-190,354,854,"6,182"
A5,"166,339","87,089","36,185",819,"3,467",91,"1,056",553,417,118,-223,167,"1,969","7,904"
A6,"135,547","83,828","31,518",276,998,-24,-19,"1,725","2,244",168,-181,691,917,"10,087"
A7,"120,949","80,508","25,663",194,"1,850",4,82,"2,812","2,016",-7,-67,110,"2,063","11,502"
A8,"181,030","96,916","27,533",404,"1,960",129,19,"3,467","1,962",123,-53,92,"1,770","11,819"
A9,"133,025","82,619","20,944",500,"1,837",-51,75,"5,080",679,79,-77,222,"1,200","12,730"
A10,"204,255","102,559","33,471",221,"1,556",-28,-64,"2,055","2,561",82,-184,721,619,"14,239"
A11,"147,876","85,652","29,978",187,"2,062",201,151,"1,899","1,492",83,-52,108,"1,731","14,822"
A12,"184,034","102,701","22,931",-173,"3,399",46,"1,022","2,040","2,550",59,-81,163,"1,733","17,160"
B1,"121,206","84,689","27,111",144,"1,083",21,122,"2,913","1,886",127,-67,141,"1,334","31,790"
B2,"149,371","89,441","27,816",691,"3,687",200,936,"3,046","1,045",72,-151,168,"2,623","31,511"
B3,"154,931","85,249","28,431",343,"2,797",-63,"1,216","1,549",337,68,-90,159,"3,692","28,878"
B4,"154,866","100,871","29,282",-38,"2,312",105,404,"1,898","1,190",47,-77,115,"1,771","28,510"
B5,"110,614","84,245","20,297",404,"1,240",-27,1,"1,294","2,592",42,-39,133,883,"27,779"
B6,"149,191","84,562","27,182",257,"1,696",62,41,"1,963","1,471",-30,-124,123,"1,536","26,625"
B7,"151,166","89,034","32,924",-234,"1,567",-140,744,"6,725","1,577",108,-51,355,"2,911","25,685"
B8,"159,184","85,728","26,962",276,"3,402",105,738,"1,198",560,48,-137,125,"1,907","23,481"
B9,"127,139","82,772","21,755",557,"2,283",-9,294,"2,007","1,720",17,-203,133,"2,286","22,894"
B10,"114,546","86,461","18,713",243,"1,449",148,700,"1,921","1,431",61,-120,459,"2,090","19,019"
B11,"124,711","89,717","37,283",407,"3,031",143,"2,800",825,930,105,-268,177,"1,926","18,470"
B12,"157,487","86,526","31,811",182,"3,371",7,-11,"2,254",601,19,-122,343,"2,522","17,903"
C1,"164,898","87,558","32,435",533,"3,022",108,404,"1,357","1,296",-10,-209,124,"3,778","33,110"
C2,"126,823","85,330","19,514",538,"1,679",67,-2,772,"2,140",22,-73,151,"1,532","34,482"
C3,"172,229","98,944","46,893",54,"4,874",56,-9,171,712,183,-206,257,"1,439","34,734"
C4,"163,331","89,188","24,280",101,"2,192",149,"1,179","2,261","1,753",140,-221,379,"2,568","37,070"
C5,"114,526","84,060","42,990",778,"4,090",184,"3,301","5,637","1,912",131,-369,870,"4,506","39,174"
C6,"176,484","101,618","39,029",455,"2,359",22,220,"1,186","1,629",35,-195,316,"2,294","40,548"
C7,"171,590","98,397","28,899",382,"2,449",83,953,"2,793",964,47,-193,163,"2,134","42,534"
C8,"161,731","90,147","32,852",145,"2,757",-6,"2,023","2,228",598,23,-45,150,"1,662","43,173"
C9,"178,129","88,971","30,760",606,"2,931",141,810,"1,588","1,386",54,-260,174,"3,350","44,192"
C10,"132,071","81,123","52,947",108,"1,509",66,212,401,"2,477",105,-128,354,"1,247","44,734"
C11,"150,798","83,644","21,934",492,"2,020",15,792,"1,219","1,363",66,-94,231,"1,949","45,290"
C12,"171,650","88,309","33,901",858,"2,963",230,"1,157",871,"1,210",71,-273,103,"3,678","45,555"
D1,"91,548","87,895","28,262",111,"2,005",69,714,960,952,137,-188,202,"1,412","63,568"
D2,"131,229","84,699","27,799",836,"5,540",234,"3,583","1,489","1,362",92,-322,171,"2,988","61,784"
D3,"118,476","83,393","37,837",236,"2,270",59,"1,920","1,256","1,144",98,-190,228,"1,846","60,571"
D4,"104,236","87,075","27,909",750,"4,213",35,"1,278",811,898,66,-244,197,894,"58,694"
D5,"166,884","87,222","30,789",556,"4,333",217,"4,284","1,256","1,638",28,-354,200,"3,445","57,761"
D6,"139,103","83,463","27,538",929,"2,872",32,"1,493","2,000","2,509",49,-87,197,"1,567","55,358"
