Sort_id, FSC_A , FSC_W , SSC_A , CD33 640 670_30_A , CD34 640 780_60_A , CD45RA 640 730_45_A , CD90 561 582_15_A , CD49F 561 670_14_A , CD38 561 780_60_A , LIN 488 530_30_A , CD7_10 V405 450/50_A , L_D V405 525/50_A , CD45 V405 780_60_A , Time ,Cell_seeded
1_A1,173916,90619,32689,979,2956,105,4325,3649,2350,83,-346,823,4092,2217,HSC
1_A2,180599,98888,26120,174,3222,32,402,1623,2449,40,-76,183,1775,3760,HSC
1_A3,139469,86363,15485,155,2503,-16,151,2711,527,14,-109,118,2207,4019,HSC
1_A4,144518,84664,29619,330,1294,75,34,979,1809,92,-190,354,854,6182,HSC
1_A5,166339,87089,36185,819,3467,91,1056,553,417,118,-223,167,1969,7904,HSC
1_A6,135547,83828,31518,276,998,-24,-19,1725,2244,168,-181,691,917,10087,HSC
1_A7,120949,80508,25663,194,1850,4,82,2812,2016,-7,-67,110,2063,11502,HSC
1_A8,181030,96916,27533,404,1960,129,19,3467,1962,123,-53,92,1770,11819,HSC
1_A9,133025,82619,20944,500,1837,-51,75,5080,679,79,-77,222,1200,12730,HSC
1_A10,204255,102559,33471,221,1556,-28,-64,2055,2561,82,-184,721,619,14239,HSC
1_A11,147876,85652,29978,187,2062,201,151,1899,1492,83,-52,108,1731,14822,HSC
1_A12,184034,102701,22931,-173,3399,46,1022,2040,2550,59,-81,163,1733,17160,HSC
1_B1,121206,84689,27111,144,1083,21,122,2913,1886,127,-67,141,1334,31790,HSC
1_B2,149371,89441,27816,691,3687,200,936,3046,1045,72,-151,168,2623,31511,HSC
1_B3,154931,85249,28431,343,2797,-63,1216,1549,337,68,-90,159,3692,28878,HSC
1_B4,154866,100871,29282,-38,2312,105,404,1898,1190,47,-77,115,1771,28510,HSC
1_B5,110614,84245,20297,404,1240,-27,1,1294,2592,42,-39,133,883,27779,HSC
1_B6,149191,84562,27182,257,1696,62,41,1963,1471,-30,-124,123,1536,26625,HSC
1_B7,151166,89034,32924,-234,1567,-140,744,6725,1577,108,-51,355,2911,25685,HSC
1_B8,159184,85728,26962,276,3402,105,738,1198,560,48,-137,125,1907,23481,HSC
1_B9,127139,82772,21755,557,2283,-9,294,2007,1720,17,-203,133,2286,22894,HSC
1_B10,114546,86461,18713,243,1449,148,700,1921,1431,61,-120,459,2090,19019,HSC
1_B11,124711,89717,37283,407,3031,143,2800,825,930,105,-268,177,1926,18470,HSC
1_B12,157487,86526,31811,182,3371,7,-11,2254,601,19,-122,343,2522,17903,HSC
1_C1,164898,87558,32435,533,3022,108,404,1357,1296,-10,-209,124,3778,33110,HSC
1_C2,126823,85330,19514,538,1679,67,-2,772,2140,22,-73,151,1532,34482,HSC
1_C3,172229,98944,46893,54,4874,56,-9,171,712,183,-206,257,1439,34734,HSC
1_C4,163331,89188,24280,101,2192,149,1179,2261,1753,140,-221,379,2568,37070,HSC
1_C5,114526,84060,42990,778,4090,184,3301,5637,1912,131,-369,870,4506,39174,HSC
1_C6,176484,101618,39029,455,2359,22,220,1186,1629,35,-195,316,2294,40548,HSC
1_C7,171590,98397,28899,382,2449,83,953,2793,964,47,-193,163,2134,42534,HSC
1_C8,161731,90147,32852,145,2757,-6,2023,2228,598,23,-45,150,1662,43173,HSC
1_C9,178129,88971,30760,606,2931,141,810,1588,1386,54,-260,174,3350,44192,HSC
1_C10,132071,81123,52947,108,1509,66,212,401,2477,105,-128,354,1247,44734,HSC
1_C11,150798,83644,21934,492,2020,15,792,1219,1363,66,-94,231,1949,45290,HSC
1_C12,171650,88309,33901,858,2963,230,1157,871,1210,71,-273,103,3678,45555,HSC
1_D1,91548,87895,28262,111,2005,69,714,960,952,137,-188,202,1412,63568,HSC
1_D2,131229,84699,27799,836,5540,234,3583,1489,1362,92,-322,171,2988,61784,HSC
1_D3,118476,83393,37837,236,2270,59,1920,1256,1144,98,-190,228,1846,60571,HSC
1_D4,104236,87075,27909,750,4213,35,1278,811,898,66,-244,197,894,58694,HSC
1_D5,166884,87222,30789,556,4333,217,4284,1256,1638,28,-354,200,3445,57761,HSC
1_D6,139103,83463,27538,929,2872,32,1493,2000,2509,49,-87,197,1567,55358,HSC
1_D7,158022,85966,32096,595,1732,9,263,2151,2427,37,-204,689,1413,52870,HSC
1_D8,142051,87824,29614,965,1410,21,479,8851,2405,247,-223,725,2107,52341,HSC
1_D9,146516,84789,24524,117,2411,-3,604,1765,1256,72,-102,131,1835,51848,HSC
1_D10,98081,79406,16057,322,2003,-15,1232,1445,1508,76,-117,165,1569,48692,HSC
1_D11,161811,84176,36064,3,2857,33,335,2027,870,17,-234,990,2351,48105,HSC
1_D12,159540,87628,25593,875,1862,165,465,1461,2693,78,-172,92,2121,46554,HSC
1_E1,137307,85820,21363,456,3614,17,94,1575,264,86,-256,1012,2141,64633,HSC
1_E2,129364,96842,66230,526,3338,62,641,906,786,80,-236,446,2356,66001,HSC
1_E3,161700,88865,25957,938,3433,105,1578,1617,1336,84,-304,354,2352,66211,HSC
1_E4,159022,88336,29367,422,2246,151,1126,1707,1606,50,-30,190,1465,68755,HSC
1_E5,168577,90874,36421,729,2484,104,695,1357,1657,93,-159,144,2634,69510,HSC
1_E6,126364,85713,23646,593,1674,415,1,2756,1851,112,-69,454,1589,72314,HSC
1_E7,152663,84723,25215,288,1734,-12,1135,1925,2212,58,-88,189,2534,74124,HSC
1_E8,151071,84476,25148,263,2501,-7,450,1819,2303,57,-91,110,2288,74565,HSC
1_E9,141983,87652,44654,907,6162,161,3724,1712,838,185,-264,261,3416,76848,HSC
1_E10,132784,84165,35463,505,3084,-72,756,5479,1386,82,-197,355,3609,79311,HSC
1_E11,128350,88145,25717,198,1448,41,175,1138,2494,8,-36,155,1097,79953,HSC
1_E12,156159,85957,26042,173,1719,20,-3,1036,1815,2,-152,130,3039,80486,HSC
1_F1,152723,87321,28966,1105,3068,90,4606,1847,987,86,-230,110,3128,103408,HSC
1_F2,153745,89985,24531,67,3519,16,2176,3566,1273,81,-88,150,1847,103049,HSC
1_F3,151310,84917,27869,370,1597,123,-172,1095,2231,98,-106,119,3008,101621,HSC
1_F4,167270,87650,35354,671,3088,147,370,4318,2397,77,-205,202,2214,101087,HSC
1_F5,149102,87538,38698,364,2965,117,2348,1204,2387,122,-111,22,1385,96353,HSC
1_F6,152348,86851,33817,216,4175,-44,3401,1332,1205,119,-222,128,2935,93090,HSC
1_F7,132665,85811,24827,232,1340,46,177,1527,1946,65,18,85,1241,92561,HSC
1_F8,151684,86878,29814,552,1599,72,748,8829,2341,304,-111,192,1905,91653,HSC
1_F9,126504,86403,22733,369,1573,36,233,10735,2091,165,-72,218,896,85181,HSC
1_F10,131871,85764,34991,171,1940,-27,1167,1005,1901,10,-58,107,2452,84230,HSC
1_F11,104974,80602,42259,535,2702,133,3564,3729,1212,263,-133,259,1048,82549,HSC
1_F12,124789,91691,36713,671,3131,147,2560,693,1594,99,-174,108,2424,82103,HSC
