Plate,Well,Sample,Day
1,A2,ARCH,28
1,A3,ARCH,28
1,A6,ARCH,28
1,A7,ARCH,28
1,A9,ARCH,28
1,A10,ARCH,28
1,A11,ARCH,28
1,A12,ARCH,28
1,B1,ARCH,28
1,B2,ARCH,28
1,B3,ARCH,28
1,B4,ARCH,28
1,B5,ARCH,28
1,B6,ARCH,28
1,B7,ARCH,28
1,B8,ARCH,28
1,B9,ARCH,28
1,B10,ARCH,28
1,B11,ARCH,28
1,B12,ARCH,28
1,C1,ARCH,28
1,C2,ARCH,28
1,C4,ARCH,28
1,C5,ARCH,28
1,C6,ARCH,28
1,C7,ARCH,28
1,C8,ARCH,28
1,C9,ARCH,28
1,C11,ARCH,28
1,C12,ARCH,28
1,D3,ARCH,28
1,D5,ARCH,28
1,D6,ARCH,28
1,D7,ARCH,28
1,D8,ARCH,28
1,D9,ARCH,28
1,D11,ARCH,28
1,E5,ARCH,28
1,E6,ARCH,28
1,E7,ARCH,28
1,E8,ARCH,28
1,E10,ARCH,28
1,E11,ARCH,28
1,E12,ARCH,28
1,F1,ARCH,28
1,F2,ARCH,28
1,F3,ARCH,28
1,F4,ARCH,28
1,F5,ARCH,28
1,F7,ARCH,28
1,F8,ARCH,28
1,F9,ARCH,28
1,G1,ARCH,28
1,G2,ARCH,28
1,G3,ARCH,28
1,G5,ARCH,28
1,G6,ARCH,28
1,G7,ARCH,28
1,G8,ARCH,28
1,G9,ARCH,28
1,G10,ARCH,28
1,G12,ARCH,28
1,H1,ARCH,28
1,H7,ARCH,28
1,H8,ARCH,28
1,H9,ARCH,28
1,H10,ARCH,28
1,H11,ARCH,28
1,H12,ARCH,28
2,A3,HC,28
2,A4,HC,28
2,A5,HC,28
2,A6,HC,28
2,A8,HC,28
2,A10,HC,28
2,A11,HC,28
2,A12,HC,28
2,B1,HC,28
2,B2,HC,28
2,B3,HC,28
2,B4,HC,28
2,B5,HC,28
2,B7,HC,28
2,B8,HC,28
2,B10,HC,28
2,B12,HC,28
2,C2,HC,28
2,C3,HC,28
2,C4,HC,28
2,C6,HC,28
2,C7,HC,28
2,C8,HC,28
2,C10,HC,28
2,C12,HC,28
2,D3,HC,28
2,D7,HC,28
2,D11,HC,28
2,D12,HC,28
2,E2,HC,28
2,E4,HC,28
2,E6,HC,28
2,E7,HC,28
2,E8,HC,28
2,E10,HC,28
2,E11,HC,28
2,E12,HC,28
2,F1,HC,28
2,F2,HC,28
2,F3,HC,28
2,F6,HC,28
2,F7,HC,28
2,F8,HC,28
2,F9,HC,28
2,F12,HC,28
2,G2,HC,28
2,G3,HC,28
2,G5,HC,28
2,G6,HC,28
2,G7,HC,28
2,G10,HC,28
2,G11,HC,28
2,G12,HC,28
2,H1,HC,28
2,H6,HC,28
2,H7,HC,28
2,H9,HC,28
2,H10,HC,28
2,H11,HC,28
2,H12,HC,28
3,G3,AML,28
3,G4,AML,28
3,G5,AML,28
3,G6,AML,28
3,A1,HC,28
3,A2,HC,28
3,A4,HC,28
3,A7,HC,28
3,A8,HC,28
3,A9,HC,28
3,A10,HC,28
3,A12,HC,28
3,B3,HC,28
3,B5,HC,28
3,B7,HC,28
3,B11,HC,28
3,C2,HC,28
3,C3,HC,28
3,C6,HC,28
3,C8,HC,28
3,C9,HC,28
