,Single_cells,CD45,Ery,Gran,Mono,NK,CD14_MFI,CD15_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,
ARCH_161_A2_A02_001.fcs,126,0,0,0,0,0,n/a,n/a,-1636,0,0,8.86,
ARCH_161_A3_A03_002.fcs,164,153,1.00,58.0,25.0,0,958,3214,316,38.2,16.4,6.67,
ARCH_161_A6_A06_003.fcs,82.0,55.0,0,16.0,17.0,2.00,798,3634,96.4,30.8,32.7,9.38,
ARCH_161_A7_A07_004.fcs,330,298,1.00,15.0,198,0,7852,4082,310,5.08,67.1,12.8,
ARCH_161_A9_A09_005.fcs,697,681,1.00,278,20.0,1.00,506,1791,183,41.1,2.96,4.65,
ARCH_161_A10_A10_006.fcs,352,310,0,46.0,16.0,0,707,1300,127,14.9,5.19,1.85,
ARCH_161_A11_A11_007.fcs,513,465,1.00,233,92.0,3.00,846,4380,111,50.5,20.0,0,
ARCH_161_A12_A12_008.fcs,545,504,3.00,178,164,3.00,1145,4481,177,35.7,32.9,9.30,
ARCH_161_B1_B01_009.fcs,412,398,0,16.0,4.00,0,525,960,211,4.04,1.01,0,
ARCH_161_B2_B02_010.fcs,382,372,3.00,255,5.00,0,679,2934,317,68.5,1.34,14.3,
ARCH_161_B3_B03_011.fcs,213,201,1.00,73.0,31.0,0,916,2865,369,36.3,15.4,5.88,
ARCH_161_B4_B04_012.fcs,558,548,1.00,301,80.0,0,833,4228,211,54.9,14.6,10.0,
ARCH_161_B5_B05_013.fcs,517,475,3.00,38.0,24.0,0,901,1448,234,8.02,5.06,7.14,
ARCH_161_B6_B06_014.fcs,1049,1031,5.00,414,242,0,1016,3847,406,40.2,23.5,27.3,
ARCH_161_B7_B07_015.fcs,1415,1393,1.00,151,66.0,0,712,1342,164,10.9,4.75,2.50,
ARCH_161_B8_B08_016.fcs,379,367,0,281,5.00,0,597,3483,337,76.8,1.37,0,
ARCH_161_B9_B09_017.fcs,540,511,1.00,97.0,238,0,1794,4575,248,19.1,46.8,2.94,
ARCH_161_B10_B10_018.fcs,17711,17675,1.00,8710,2810,2.00,681,2554,95.1,49.5,16.0,3.95,
ARCH_161_B11_B11_019.fcs,83.0,30.0,1.00,6.00,4.00,0,538,1119,100,20.7,13.8,3.33,
ARCH_161_B12_B12_020.fcs,4352,4303,1.00,1587,1385,1.00,1108,3469,99.0,37.0,32.3,9.62,
ARCH_161_C1_C01_021.fcs,84.0,36.0,2.00,9.00,0,2.00,378,1307,105,31.0,0,4.00,
ARCH_161_C2_C02_022.fcs,1723,1694,2.00,451,84.0,1.00,525,1523,155,26.8,4.99,3.53,
ARCH_161_C4_C04_023.fcs,614,597,2.00,491,21.0,0,503,3253,666,82.4,3.52,23.5,
ARCH_161_C5_C05_024.fcs,352,336,2.00,240,4.00,0,606,2905,320,71.4,1.19,9.09,
ARCH_161_C6_C06_025.fcs,587,566,1.00,39.0,10.0,5.00,369,954,151,7.18,1.84,1.19,
ARCH_161_C7_C07_026.fcs,855,841,3.00,464,100,0,860,4701,309,55.6,12.0,30.8,
ARCH_161_C8_C08_027.fcs,149,124,3.00,88.0,3.00,0,499,3372,65.5,75.2,2.56,4.76,
ARCH_161_C9_C09_028.fcs,471,454,1.00,327,3.00,1.00,394,2387,358,72.2,0.66,9.09,
ARCH_161_C11_C11_029.fcs,705,663,2.00,303,89.0,1.00,532,2328,169,46.2,13.6,8.93,
ARCH_161_C12_C12_030.fcs,39.0,8.00,0,0,0,0,869,727,279,0,0,9.68,
ARCH_161_D3_D03_031.fcs,703,694,1.00,346,185,1.00,884,4133,461,50.8,27.2,9.09,
ARCH_161_D5_D05_032.fcs,285,248,0,154,7.00,2.00,561,2777,166,63.9,2.90,2.50,
ARCH_161_D6_D06_033.fcs,220,211,1.00,93.0,31.0,0,871,3345,289,44.1,14.7,0,
ARCH_161_D7_D07_034.fcs,173,139,1.00,92.0,7.00,0,465,2583,245,67.6,5.15,10.3,
ARCH_161_D8_D08_035.fcs,2143,2100,1.00,976,267,0,512,2297,152,46.9,12.8,3.26,
ARCH_161_D9_D09_036.fcs,384,343,3.00,259,16.0,2.00,454,3227,140,76.4,4.72,9.09,
ARCH_161_D11_D11_037.fcs,3776,3750,0,1090,1197,0,1237,2843,112,29.1,32.0,0,
ARCH_161_E5_E05_038.fcs,378,361,0,180,70.0,0,772,3393,275,49.9,19.4,4.35,
ARCH_161_E6_E06_039.fcs,351,328,0,247,9.00,1.00,541,3413,261,75.5,2.75,10.3,
ARCH_161_E7_E07_040.fcs,14249,14205,0,9211,654,0,475,2681,107,65.3,4.64,1.01,
ARCH_161_E8_E08_041.fcs,442,398,2.00,104,62.0,0,549,1639,104,26.5,15.8,4.48,
ARCH_161_E10_E10_042.fcs,178,146,4.00,72.0,12.0,5.00,666,3126,226,51.4,8.57,7.14,
ARCH_161_E11_E11_043.fcs,1328,1260,1.00,280,18.0,0,337,1242,134,22.4,1.44,0,
ARCH_161_E12_E12_044.fcs,978,926,1.00,246,12.0,2.00,481,1456,146,26.9,1.31,2.90,
ARCH_161_F1_F01_045.fcs,92.0,54.0,0,14.0,2.00,0,398,976,125,25.9,3.70,0,
ARCH_161_F2_F02_046.fcs,790,770,1.00,509,107,0,594,3532,302,66.2,13.9,10.3,
ARCH_161_F3_F03_047.fcs,33.0,16.0,1.00,4.00,0,0,427,1172,166,25.0,0,9.09,
ARCH_161_F4_F04_048.fcs,218,199,0,119,32.0,0,567,3975,286,59.8,16.1,5.56,
ARCH_161_F5_F05_049.fcs,140,126,3.00,90.0,1.00,0,555,3345,565,72.6,0.81,28.6,
ARCH_161_F7_F07_050.fcs,1014,999,2.00,281,14.0,0,324,1360,147,28.2,1.41,3.08,
ARCH_161_F8_F08_051.fcs,145,138,1.00,54.0,30.0,0,846,3427,345,39.4,21.9,20.0,
ARCH_161_F9_F09_052.fcs,1168,1141,1.00,367,22.0,0,294,1392,157,32.2,1.93,8.54,
ARCH_161_G1_G01_053.fcs,203,120,1.00,3.00,2.00,0,249,642,55.2,2.59,1.72,2.11,
ARCH_161_G2_G02_054.fcs,69.0,45.0,0,6.00,1.00,0,445,793,133,13.6,2.27,5.71,
ARCH_161_G3_G03_055.fcs,76.0,35.0,0,5.00,2.00,0,387,914,104,14.7,5.88,8.16,
ARCH_161_G5_G05_056.fcs,694,677,1.00,548,20.0,0,515,3253,502,80.9,2.95,0,
ARCH_161_G6_G06_057.fcs,1022,1007,0,414,228,0,982,3266,198,41.1,22.6,0,
