Sort_id,Sample,Day
1_A2,ARCH,28
1_A3,ARCH,28
1_A6,ARCH,28
1_A7,ARCH,28
1_A9,ARCH,28
1_A10,ARCH,28
1_A11,ARCH,28
1_A12,ARCH,28
1_B1,ARCH,28
1_B2,ARCH,28
1_B3,ARCH,28
1_B4,ARCH,28
1_B5,ARCH,28
1_B6,ARCH,28
1_B7,ARCH,28
1_B8,ARCH,28
1_B9,ARCH,28
1_B10,ARCH,28
1_B11,ARCH,28
1_B12,ARCH,28
1_C1,ARCH,28
1_C2,ARCH,28
1_C4,ARCH,28
1_C5,ARCH,28
1_C6,ARCH,28
1_C7,ARCH,28
1_C8,ARCH,28
1_C9,ARCH,28
1_C11,ARCH,28
1_C12,ARCH,28
1_D3,ARCH,28
1_D5,ARCH,28
1_D6,ARCH,28
1_D7,ARCH,28
1_D8,ARCH,28
1_D9,ARCH,28
1_D11,ARCH,28
1_E5,ARCH,28
1_E6,ARCH,28
1_E7,ARCH,28
1_E8,ARCH,28
1_E10,ARCH,28
1_E11,ARCH,28
1_E12,ARCH,28
1_F1,ARCH,28
1_F2,ARCH,28
1_F3,ARCH,28
1_F4,ARCH,28
1_F5,ARCH,28
1_F7,ARCH,28
1_F8,ARCH,28
1_F9,ARCH,28
1_G1,ARCH,28
1_G2,ARCH,28
1_G3,ARCH,28
1_G5,ARCH,28
1_G6,ARCH,28
1_G7,ARCH,28
1_G8,ARCH,28
1_G9,ARCH,28
1_G10,ARCH,28
1_G12,ARCH,28
1_H1,ARCH,28
1_H7,ARCH,28
1_H8,ARCH,28
1_H9,ARCH,28
1_H10,ARCH,28
1_H11,ARCH,28
1_H12,ARCH,28
