Plate_well,Single_cells,CD45,Ery,Gran,Mono,NK,CD14_MFI,CD15_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,Sort_id,Sample,Day,FSC_A,FSC_W,SSC_A,CD33 640 670_30_A,CD34 640 780_60_A,CD45RA 640 730_45_A,CD90 561 582_15_A,CD49F 561 670_14_A,CD38 561 780_60_A,LIN 488 530_30_A,CD7_10 V405 450/50_A,L_D V405 525/50_A,CD45 V405 780_60_A,Time,Cell_seeded
1_A2,126,0,0,0,0,0,n/a,n/a,-1636,0,0,8.86,1_A2,ARCH,28,180599,98888,26120,174,3222,32,402,1623,2449,40,-76,183,1775,3760,HSC
1_A3,164,153,1,58,25,0,958,3214,316,38.2,16.4,6.67,1_A3,ARCH,28,139469,86363,15485,155,2503,-16,151,2711,527,14,-109,118,2207,4019,HSC
1_A6,82,55,0,16,17,2,798,3634,96.4,30.8,32.7,9.38,1_A6,ARCH,28,135547,83828,31518,276,998,-24,-19,1725,2244,168,-181,691,917,10087,HSC
1_A7,330,298,1,15,198,0,7852,4082,310,5.08,67.1,12.8,1_A7,ARCH,28,120949,80508,25663,194,1850,4,82,2812,2016,-7,-67,110,2063,11502,HSC
1_A9,697,681,1,278,20,1,506,1791,183,41.1,2.96,4.65,1_A9,ARCH,28,133025,82619,20944,500,1837,-51,75,5080,679,79,-77,222,1200,12730,HSC
1_A10,352,310,0,46,16,0,707,1300,127,14.9,5.19,1.85,1_A10,ARCH,28,204255,102559,33471,221,1556,-28,-64,2055,2561,82,-184,721,619,14239,HSC
1_A11,513,465,1,233,92,3,846,4380,111,50.5,20,0,1_A11,ARCH,28,147876,85652,29978,187,2062,201,151,1899,1492,83,-52,108,1731,14822,HSC
1_A12,545,504,3,178,164,3,1145,4481,177,35.7,32.9,9.3,1_A12,ARCH,28,184034,102701,22931,-173,3399,46,1022,2040,2550,59,-81,163,1733,17160,HSC
1_B1,412,398,0,16,4,0,525,960,211,4.04,1.01,0,1_B1,ARCH,28,121206,84689,27111,144,1083,21,122,2913,1886,127,-67,141,1334,31790,HSC
1_B2,382,372,3,255,5,0,679,2934,317,68.5,1.34,14.3,1_B2,ARCH,28,149371,89441,27816,691,3687,200,936,3046,1045,72,-151,168,2623,31511,HSC
1_B3,213,201,1,73,31,0,916,2865,369,36.3,15.4,5.88,1_B3,ARCH,28,154931,85249,28431,343,2797,-63,1216,1549,337,68,-90,159,3692,28878,HSC
1_B4,558,548,1,301,80,0,833,4228,211,54.9,14.6,10,1_B4,ARCH,28,154866,100871,29282,-38,2312,105,404,1898,1190,47,-77,115,1771,28510,HSC
1_B5,517,475,3,38,24,0,901,1448,234,8.02,5.06,7.14,1_B5,ARCH,28,110614,84245,20297,404,1240,-27,1,1294,2592,42,-39,133,883,27779,HSC
1_B6,1049,1031,5,414,242,0,1016,3847,406,40.2,23.5,27.3,1_B6,ARCH,28,149191,84562,27182,257,1696,62,41,1963,1471,-30,-124,123,1536,26625,HSC
1_B7,1415,1393,1,151,66,0,712,1342,164,10.9,4.75,2.5,1_B7,ARCH,28,151166,89034,32924,-234,1567,-140,744,6725,1577,108,-51,355,2911,25685,HSC
1_B8,379,367,0,281,5,0,597,3483,337,76.8,1.37,0,1_B8,ARCH,28,159184,85728,26962,276,3402,105,738,1198,560,48,-137,125,1907,23481,HSC
1_B9,540,511,1,97,238,0,1794,4575,248,19.1,46.8,2.94,1_B9,ARCH,28,127139,82772,21755,557,2283,-9,294,2007,1720,17,-203,133,2286,22894,HSC
1_B10,17711,17675,1,8710,2810,2,681,2554,95.1,49.5,16,3.95,1_B10,ARCH,28,114546,86461,18713,243,1449,148,700,1921,1431,61,-120,459,2090,19019,HSC
1_B11,83,30,1,6,4,0,538,1119,100,20.7,13.8,3.33,1_B11,ARCH,28,124711,89717,37283,407,3031,143,2800,825,930,105,-268,177,1926,18470,HSC
1_B12,4352,4303,1,1587,1385,1,1108,3469,99,37,32.3,9.62,1_B12,ARCH,28,157487,86526,31811,182,3371,7,-11,2254,601,19,-122,343,2522,17903,HSC
1_C1,84,36,2,9,0,2,378,1307,105,31,0,4,1_C1,ARCH,28,164898,87558,32435,533,3022,108,404,1357,1296,-10,-209,124,3778,33110,HSC
1_C2,1723,1694,2,451,84,1,525,1523,155,26.8,4.99,3.53,1_C2,ARCH,28,126823,85330,19514,538,1679,67,-2,772,2140,22,-73,151,1532,34482,HSC
1_C4,614,597,2,491,21,0,503,3253,666,82.4,3.52,23.5,1_C4,ARCH,28,163331,89188,24280,101,2192,149,1179,2261,1753,140,-221,379,2568,37070,HSC
1_C5,352,336,2,240,4,0,606,2905,320,71.4,1.19,9.09,1_C5,ARCH,28,114526,84060,42990,778,4090,184,3301,5637,1912,131,-369,870,4506,39174,HSC
