sample_number,Exp,Day,Plate_well.x,Sort_id,Snumber,Depth,VAF.varscan,VAF.mutect,VAF.platypus,mean_VAF,DNMT3A,Plate_well.y,Single_cells,CD45.x,Ery,NK,Mono,Neut,CD66bneg,CD66bpos,CD14_MFI,CD15_MFI,CD66b_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,CD66bpos_freq,CD66bneg_freq,FSC,FSC-W,SSC,CD33,CD34,CD45RA,CD90,CD49f,CD38,CD19,CD7/10,Zom,CD45.y,Time,Sample,Cell_seeded
871,LEUK14,21,1_G1,4_F3,S871,129,0.2414,0.098,NA,0.16970000000000002,DNMT3A Mut,1_G1,6266,1318,1,0,66,975,352,562,11560,66522,27939,19.3,75.7,5.12,0.97,57.6,36.1,152214,85601,28590,-94,389,16,550,441,423,18,-32,32,881,22060,CD34+/CD38- OR GMP,HSC
978,LEUK14,21,2_C3,7_B4,S978,148,0.3239,0.227,NA,0.27545000000000003,DNMT3A Mut,2_C3,162,29,1,0,2,5,0,4,3101,5925,54350,1040,27.8,11.1,62.2,80,0,138446,87895,29537,352,2026,-61,2103,156,475,-4,-84,37,1283,7151,HSC,HSC
946,LEUK14,21,1_B11,1_G2,S946,158,0.4384,0.452,NA,0.44520000000000004,DNMT3A Mut,1_B11,69,62,0,0,10,11,11,0,2940,6987,6015,169,18,16.4,16.7,0,100,170061,92694,27804,15,892,81,443,302,148,-6,-31,31,760,29533,CD34+/CD38- OR GMP,HSC
967,LEUK14,21,2_G1,9_A8,S967,249,0.3036,0.237,NA,0.2703,DNMT3A Mut,2_G1,78,12,0,0,2,4,1,3,6067,26637,50286,171,36.4,18.2,2.86,75,25,169876,94210,39650,128,1432,4,958,264,390,9,-36,43,1023,2900,HSC,HSC
927,LEUK14,21,1_G8,5_A3,S927,275,0.264,0.381,NA,0.3225,DNMT3A Mut,1_G8,23,11,1,0,1,5,1,3,10895,46532,98871,16.7,45.5,9.09,16.7,60,20,188692,95774,31147,138,588,223,18,66,1126,18,-38,58,397,1196,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
954,LEUK14,21,1_B12,1_G7,S954,331,0.5128,0.6,NA,0.5564,DNMT3A Mut,1_B12,25052,23328,37,0,6305,9825,8432,1037,6067,12698,3761,224,42.2,27.1,13.9,10.6,85.8,153145,86558,20173,33,826,21,74,779,215,7,-37,16,566,31249,CD34+/CD38- OR GMP,HSC
898,LEUK14,21,1_B5,1_E1,S898,383,0.3743,0.465,NA,0.41965,DNMT3A Mut,1_B5,42,28,0,1,9,14,14,0,8373,21260,4371,146,53.8,34.6,0,0,100,168211,88863,37641,-76,1773,44,447,842,343,46,-59,45,941,20265,CD34+/CD38- OR GMP,HSC
963,LEUK14,21,2_C1,7_A12,S963,462,0.3041,0.368,NA,0.33604999999999996,DNMT3A Mut,2_C1,434,424,0,0,48,44,21,19,4435,14891,14584,68.1,18.1,19.8,6.67,43.2,47.7,165261,88073,23044,-10,1219,69,246,207,412,-2,-31,32,868,4598,HSC,HSC
944,LEUK14,21,1_H10,5_H1,S944,496,0.3774,0.409,NA,0.3932,DNMT3A Mut,1_H10,85,61,0,0,8,2,1,1,3195,8467,12993,104,5.71,22.9,4,50,50,153185,89796,20475,11,428,-17,1148,489,269,-19,-2,31,684,30531,CD34+/CD38- OR GMP,HSC
943,LEUK14,21,1_G10,5_B1,S943,1114,0.4799,0.537,NA,0.5084500000000001,DNMT3A Mut,1_G10,419,372,0,0,26,98,28,66,29588,158902,65876,-43.6,28.6,7.58,0,67.3,28.6,170524,90371,28175,126,556,242,37,89,711,6,-49,26,567,8456,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
968,LEUK14,21,2_H1,9_E3,S968,1281,0.3608,0.388,NA,0.3744,DNMT3A Mut,2_H1,6713,5704,10,0,2532,846,845,0,16652,19622,8135,597,16.6,49.7,40.4,0,99.9,148097,87310,28249,2,837,10,117,231,181,-1,3,25,479,15843,HSC,HSC
1043,LEUK14,21,2_E12,8_E7,S1043,1397,0.4405,0.477,NA,0.45875,DNMT3A Mut,2_E12,53490,52424,36,2,13277,3892,3866,10,2957,3312,3934,192,7.48,25.5,9.93,0.26,99.3,111391,82792,35867,-58,985,9,320,11,298,33,-18,24,719,16809,HSC,HSC
949,LEUK14,21,1_E11,4_A7,S949,1616,0.5314,0.581,NA,0.5562,DNMT3A Mut,1_E11,5765,3295,12,0,1579,153,152,1,8581,8208,3448,277,6.32,65.2,19.9,0.65,99.3,149851,87709,18520,-23,568,55,365,236,335,6,-26,21,601,2162,CD34+/CD38- OR GMP,HSC
942,LEUK14,21,1_F10,4_D8,S942,1660,0.5923,0.64,NA,0.61615,DNMT3A Mut,1_F10,12105,5154,173,0,3300,28,28,0,27150,14151,2064,-165,0.62,73.6,10,0,100,155627,88972,31272,-76,1433,10,457,280,270,-15,-15,39,578,12580,CD34+/CD38- OR GMP,HSC
975,LEUK14,21,2_G2,9_C1,S975,2210,0.1257,0.13,NA,0.12785000000000002,DNMT3A Mut,2_G2,803,240,0,0,2,160,10,142,19392,125156,58606,3.85,75.8,0.95,0.95,88.8,6.25,131997,87578,18703,-116,1296,-24,402,436,259,18,0,14,559,8951,HSC,HSC
891,LEUK14,21,1_C4,1_H8,S891,2414,0.6999,0.772,NA,0.73595,DNMT3A Mut,1_C4,105,96,0,0,7,73,7,62,22289,149413,52788,71.9,84.9,8.14,0,84.9,9.59,162490,95734,42566,55,1599,153,151,291,426,27,-88,40,547,34271,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
921,LEUK14,21,1_A8,1_B10,S921,2814,0.6832,0.754,NA,0.7186,DNMT3A Mut,1_A8,133,107,0,0,6,5,0,5,2144,4893,49921,166,4.85,5.83,5.08,100,0,168839,91350,26873,123,989,204,-28,34,497,12,-19,56,640,6308,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
1022,LEUK14,21,2_E9,8_D12,S1022,2951,0.5222,0.552,NA,0.5371,DNMT3A Mut,2_E9,49227,48354,36,2,9653,26767,21765,3892,5900,22289,5451,188,55.6,20,7.59,14.5,81.3,155392,92111,36044,21,676,3,1425,471,337,47,-34,34,1031,11606,HSC,HSC
886,LEUK14,21,1_F3,4_C5,S886,3483,0.4621,0.501,NA,0.48155000000000003,DNMT3A Mut,1_F3,1506,1335,0,0,719,212,171,33,15930,21512,9218,28.2,17,57.7,2.42,15.6,80.7,139158,86771,21786,-47,1082,32,342,141,132,14,5,23,517,8754,CD34+/CD38- OR GMP,HSC
947,LEUK14,21,1_C11,2_C9,S947,3692,0.2122,0.217,NA,0.2146,DNMT3A Mut,1_C11,164,24,0,0,4,13,1,12,20327,110959,44872,42.4,59.1,18.2,3.33,92.3,7.69,106439,85286,16423,70,1223,230,141,80,900,16,-26,23,498,13322,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
1030,LEUK14,21,2_F10,8_H3,S1030,4185,0.3223,0.329,NA,0.32565,DNMT3A Mut,2_F10,53152,32008,102,1,4787,5833,5368,347,2755,8562,5556,39.8,18.5,15.2,2.04,5.95,92,128717,86807,21892,153,781,9,1200,117,76,22,-15,21,896,28696,HSC,HSC
981,LEUK14,21,2_F3,8_E12,S981,5411,0.4725,0.504,NA,0.48824999999999996,DNMT3A Mut,2_F3,868,213,0,0,8,9,4,5,2068,7111,24161,695,5.59,4.97,43,55.6,44.4,151499,87006,23944,140,360,27,1105,69,412,20,-25,12,982,18624,HSC,HSC
934,LEUK14,21,1_F9,4_D7,S934,5432,0.4803,0.516,NA,0.49815,DNMT3A Mut,1_F9,27,11,0,0,0,3,0,3,41631,261573,38723,89.9,42.9,0,25,100,0,189846,93760,37049,61,528,222,-30,183,994,2,-14,32,292,12867,CD34+/CD38- OR GMP,CD34+/CD38- OR GMP
