sample_number,Exp,Day,Plate,well,sample_name..0..If.empty
865,LEUK14,21,Plate1,A1,1_A2
866,LEUK14,21,Plate1,B1,1_D2
867,LEUK14,21,Plate1,C1,1_G9
868,LEUK14,21,Plate1,D1,2_C11
869,LEUK14,21,Plate1,E1,3_D10
870,LEUK14,21,Plate1,F1,4_B4
871,LEUK14,21,Plate1,G1,4_F3
872,LEUK14,21,Plate1,H1,5_B7
873,LEUK14,21,Plate1,A2,1_A3
874,LEUK14,21,Plate1,B2,1_D4
875,LEUK14,21,Plate1,C2,1_G12
876,LEUK14,21,Plate1,D2,2_C12
877,LEUK14,21,Plate1,E2,3_D11
878,LEUK14,21,Plate1,F2,4_B11
879,LEUK14,21,Plate1,G2,4_F10
880,LEUK14,21,Plate1,H2,5_B11
881,LEUK14,21,Plate1,A3,1_A5
882,LEUK14,21,Plate1,B3,1_D10
883,LEUK14,21,Plate1,C3,1_H4
884,LEUK14,21,Plate1,D3,2_F10
885,LEUK14,21,Plate1,E3,3_E6
886,LEUK14,21,Plate1,F3,4_C5
887,LEUK14,21,Plate1,G3,4_F11
888,LEUK14,21,Plate1,H3,5_C2
889,LEUK14,21,Plate1,A4,1_A7
890,LEUK14,21,Plate1,B4,1_D12
891,LEUK14,21,Plate1,C4,1_H8
892,LEUK14,21,Plate1,D4,2_G6
893,LEUK14,21,Plate1,E4,3_E7
894,LEUK14,21,Plate1,F4,4_C7
895,LEUK14,21,Plate1,G4,4_G4
896,LEUK14,21,Plate1,H4,5_C5
897,LEUK14,21,Plate1,A5,1_A12
898,LEUK14,21,Plate1,B5,1_E1
899,LEUK14,21,Plate1,C5,2_A6
900,LEUK14,21,Plate1,D5,2_G11
901,LEUK14,21,Plate1,E5,3_F1
902,LEUK14,21,Plate1,F5,4_C10
903,LEUK14,21,Plate1,G5,4_G6
904,LEUK14,21,Plate1,H5,5_D2
905,LEUK14,21,Plate1,A6,1_B1
906,LEUK14,21,Plate1,B6,1_E5
907,LEUK14,21,Plate1,C6,2_A8
908,LEUK14,21,Plate1,D6,2_H9
909,LEUK14,21,Plate1,E6,3_F9
910,LEUK14,21,Plate1,F6,4_C11
911,LEUK14,21,Plate1,G6,4_H3
912,LEUK14,21,Plate1,H6,5_E10
913,LEUK14,21,Plate1,A7,1_B7
914,LEUK14,21,Plate1,B7,1_E7
915,LEUK14,21,Plate1,C7,2_A10
916,LEUK14,21,Plate1,D7,3_A5
917,LEUK14,21,Plate1,E7,3_G1
918,LEUK14,21,Plate1,F7,4_D1
919,LEUK14,21,Plate1,G7,4_H7
920,LEUK14,21,Plate1,H7,5_F1
921,LEUK14,21,Plate1,A8,1_B10
922,LEUK14,21,Plate1,B8,1_F3
923,LEUK14,21,Plate1,C8,2_B2
924,LEUK14,21,Plate1,D8,3_B7
925,LEUK14,21,Plate1,E8,3_H5
926,LEUK14,21,Plate1,F8,4_D2
927,LEUK14,21,Plate1,G8,5_A3
928,LEUK14,21,Plate1,H8,5_F6
929,LEUK14,21,Plate1,A9,1_C1
930,LEUK14,21,Plate1,B9,1_F4
931,LEUK14,21,Plate1,C9,2_C1
932,LEUK14,21,Plate1,D9,3_C11
933,LEUK14,21,Plate1,E9,3_H7
934,LEUK14,21,Plate1,F9,4_D7
935,LEUK14,21,Plate1,G9,5_A11
936,LEUK14,21,Plate1,H9,5_F7
937,LEUK14,21,Plate1,A10,1_C2
938,LEUK14,21,Plate1,B10,1_F8
939,LEUK14,21,Plate1,C10,2_C6
940,LEUK14,21,Plate1,D10,3_D4
941,LEUK14,21,Plate1,E10,4_A5
942,LEUK14,21,Plate1,F10,4_D8
943,LEUK14,21,Plate1,G10,5_B1
944,LEUK14,21,Plate1,H10,5_H1
945,LEUK14,21,Plate1,A11,1_C4
946,LEUK14,21,Plate1,B11,1_G2
947,LEUK14,21,Plate1,C11,2_C9
948,LEUK14,21,Plate1,D11,3_D8
949,LEUK14,21,Plate1,E11,4_A7
950,LEUK14,21,Plate1,F11,4_E10
951,LEUK14,21,Plate1,G11,5_B2
952,LEUK14,21,Plate1,H11,5_H4
953,LEUK14,21,Plate1,A12,1_C12
954,LEUK14,21,Plate1,B12,1_G7
955,LEUK14,21,Plate1,C12,2_C10
956,LEUK14,21,Plate1,D12,3_D9
957,LEUK14,21,Plate1,E12,4_A10
958,LEUK14,21,Plate1,F12,4_F1
959,LEUK14,21,Plate1,G12,5_B4
960,LEUK14,21,Plate1,H12,6_A5
961,LEUK14,21,Plate2,A1,6_B1
962,LEUK14,21,Plate2,B1,6_F4
963,LEUK14,21,Plate2,C1,7_A12
964,LEUK14,21,Plate2,D1,7_E4
965,LEUK14,21,Plate2,E1,7_G10
966,LEUK14,21,Plate2,F1,8_E8
967,LEUK14,21,Plate2,G1,9_A8
968,LEUK14,21,Plate2,H1,9_E3
969,LEUK14,21,Plate2,A2,6_B3
970,LEUK14,21,Plate2,B2,6_F11
971,LEUK14,21,Plate2,C2,7_B2
972,LEUK14,21,Plate2,D2,7_E6
973,LEUK14,21,Plate2,E2,7_H3
974,LEUK14,21,Plate2,F2,8_E10
975,LEUK14,21,Plate2,G2,9_C1
976,LEUK14,21,Plate2,A3,6_B6
977,LEUK14,21,Plate2,B3,6_G5
978,LEUK14,21,Plate2,C3,7_B4
979,LEUK14,21,Plate2,D3,7_E7
980,LEUK14,21,Plate2,E3,7_H5
981,LEUK14,21,Plate2,F3,8_E12
982,LEUK14,21,Plate2,G3,9_C2
983,LEUK14,21,Plate2,A4,6_B7
984,LEUK14,21,Plate2,B4,6_G10
985,LEUK14,21,Plate2,C4,7_B6
986,LEUK14,21,Plate2,D4,7_E9
987,LEUK14,21,Plate2,E4,7_H11
988,LEUK14,21,Plate2,F4,8_F4
989,LEUK14,21,Plate2,G4,9_C4
990,LEUK14,21,Plate2,A5,6_B8
991,LEUK14,21,Plate2,B5,6_G12
992,LEUK14,21,Plate2,C5,7_B7
993,LEUK14,21,Plate2,D5,7_E10
994,LEUK14,21,Plate2,E5,7_H12
995,LEUK14,21,Plate2,F5,8_F5
996,LEUK14,21,Plate2,G5,9_C6
997,LEUK14,21,Plate2,A6,6_B10
998,LEUK14,21,Plate2,B6,6_H2
999,LEUK14,21,Plate2,C6,7_B9
1000,LEUK14,21,Plate2,D6,7_F1
1001,LEUK14,21,Plate2,E6,8_A9
1002,LEUK14,21,Plate2,F6,8_F7
1003,LEUK14,21,Plate2,G6,9_C8
1004,LEUK14,21,Plate2,A7,6_C9
1005,LEUK14,21,Plate2,B7,6_H3
1006,LEUK14,21,Plate2,C7,7_C7
1007,LEUK14,21,Plate2,D7,7_F7
1008,LEUK14,21,Plate2,E7,8_B3
1009,LEUK14,21,Plate2,F7,8_G2
1010,LEUK14,21,Plate2,G7,9_C11
1011,LEUK14,21,Plate2,A8,6_D1
1012,LEUK14,21,Plate2,B8,6_H10
1013,LEUK14,21,Plate2,C8,7_C12
1014,LEUK14,21,Plate2,D8,7_F10
1015,LEUK14,21,Plate2,E8,8_D4
1016,LEUK14,21,Plate2,F8,8_G9
1017,LEUK14,21,Plate2,G8,9_C12
1018,LEUK14,21,Plate2,A9,6_E2
1019,LEUK14,21,Plate2,B9,7_A1
1020,LEUK14,21,Plate2,C9,7_D5
1021,LEUK14,21,Plate2,D9,7_F12
1022,LEUK14,21,Plate2,E9,8_D12
1023,LEUK14,21,Plate2,F9,8_G11
1024,LEUK14,21,Plate2,G9,9_D7
1025,LEUK14,21,Plate2,A10,6_E3
1026,LEUK14,21,Plate2,B10,7_A6
1027,LEUK14,21,Plate2,C10,7_D9
1028,LEUK14,21,Plate2,D10,7_G1
1029,LEUK14,21,Plate2,E10,8_E2
1030,LEUK14,21,Plate2,F10,8_H3
1031,LEUK14,21,Plate2,G10,9_D8
1032,LEUK14,21,Plate2,A11,6_E5
1033,LEUK14,21,Plate2,B11,7_A8
1034,LEUK14,21,Plate2,C11,7_D11
1035,LEUK14,21,Plate2,D11,7_G3
1036,LEUK14,21,Plate2,E11,8_E3
1037,LEUK14,21,Plate2,F11,9_A2
1038,LEUK14,21,Plate2,G11,9_D11
1039,LEUK14,21,Plate2,A12,6_E9
1040,LEUK14,21,Plate2,B12,7_A9
1041,LEUK14,21,Plate2,C12,7_D12
1042,LEUK14,21,Plate2,D12,7_G4
1043,LEUK14,21,Plate2,E12,8_E7
1044,LEUK14,21,Plate2,F12,9_A5
1045,LEUK14,21,Plate2,G12,9_D12
