Plate_well,Single_cells,CD45,Ery,NK,Mono,Neut,CD66bneg,CD66bpos,CD14_MFI,CD15_MFI,CD66b_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,CD66bpos_freq,CD66bneg_freq
1_A1,146,142,0,0,35,64,64,0,14021,40540,7939,166,45.4,24.8,0,0,100
1_A2,1978,1966,0,0,868,471,302,144,9054,12582,10294,133,24.1,44.4,5.88,30.6,64.1
1_A3,33403,32414,58,0,7061,9842,8502,1194,4091,8620,6866,224,30.4,21.8,3.98,12.1,86.4
1_A4,6562,6524,2,2,2258,1047,820,190,5451,8794,6616,217,16.2,34.9,10.4,18.1,78.3
1_A5,346,339,1,0,3,98,56,35,27345,153895,24508,488,34.8,1.06,14.3,35.7,57.1
1_A6,4580,4536,0,0,238,3915,107,3753,11146,69170,71226,100,87.7,5.33,4.57,95.9,2.73
1_A7,1873,124,1,0,7,12,1,11,1371,3769,36724,638,11.3,6.6,35.2,91.7,8.33
1_A8,133,107,0,0,6,5,0,5,2144,4893,49921,166,4.85,5.83,5.08,100,0
1_A9,87,56,1,0,2,18,18,0,4066,9642,9996,289,35.3,3.92,18.4,0,100
1_A10,1677,1405,0,0,20,1231,51,1147,22027,152386,63356,53.9,89.3,1.45,0.35,93.2,4.14
1_A11,10163,9744,2,0,119,9288,9213,43,9177,58606,5874,305,95.9,1.23,10,0.46,99.2
1_A12,1502,1397,0,0,32,1117,79,1003,10578,67010,56781,91.2,81,2.32,4.14,89.8,7.07
1_B1,111,90,0,0,2,21,19,2,2799,5925,8208,74.5,23.3,2.22,12.5,9.52,90.5
1_B2,15458,15024,4,2,5171,1841,1808,18,4801,6363,4407,202,12.3,34.6,11.5,0.98,98.2
1_B3,22284,21935,4,0,7696,8527,8437,49,8543,18372,4066,278,39.5,35.6,6.12,0.57,98.9
1_B4,1984,1957,1,0,489,899,898,0,12467,31869,6806,146,46.5,25.3,12.2,0,99.9
1_B5,42,28,0,1,9,14,14,0,8373,21260,4371,146,53.8,34.6,0,0,100
1_B6,18395,17460,9,0,6722,5872,2841,2688,8639,13114,18115,278,34.1,39.1,24,45.8,48.4
1_B7,112,87,0,0,17,49,6,40,14054,75897,43800,112,58.3,20.2,6.25,81.6,12.2
1_B8,4638,4506,26,5,2618,69,66,3,28889,13083,6502,298,1.67,63.2,29.6,4.35,95.7
1_B9,2702,2563,0,0,322,1618,186,1343,23096,148314,47789,144,70.3,14,6.48,83,11.5
1_B10,17821,17350,45,5,3861,823,753,10,2755,6516,4903,199,4.82,22.6,8.61,1.22,91.5
1_B11,69,62,0,0,10,11,11,0,2940,6987,6015,169,18,16.4,16.7,0,100
1_B12,25052,23328,37,0,6305,9825,8432,1037,6067,12698,3761,224,42.2,27.1,13.9,10.6,85.8
1_C1,7449,7421,0,0,902,5945,2671,2671,11070,64761,21010,126,80.4,12.2,3.49,44.9,44.9
1_C2,2738,2701,5,0,1805,365,56,295,23650,16079,65078,93.8,13.7,67.7,12.5,80.8,15.3
1_C3,1658,1616,0,1,524,456,209,208,11936,30305,21060,286,28.9,33.2,30.2,45.6,45.8
1_C4,105,96,0,0,7,73,7,62,22289,149413,52788,71.9,84.9,8.14,0,84.9,9.59
1_C5,391,376,1,0,83,6,4,0,3400,7957,5071,-20.5,1.65,22.9,0,0,66.7
1_C6,811,793,0,0,156,210,19,188,23482,105902,83289,78.4,27.9,20.7,9.52,89.5,9.05
1_C7,1890,1564,0,0,350,662,183,432,7365,23538,29588,209,43.6,23,0.86,65.3,27.6
1_C8,9679,9398,0,0,626,6344,1045,4875,5737,25277,34998,75.8,67.8,6.69,1,76.8,16.5
1_C9,570,398,1,0,88,78,9,68,14086,37169,60196,104,27.9,31.4,4.89,87.2,11.5
1_C10,3527,1713,6,0,423,681,656,14,14316,49200,8775,156,44.1,27.4,5.74,2.06,96.3
1_C11,164,24,0,0,4,13,1,12,20327,110959,44872,42.4,59.1,18.2,3.33,92.3,7.69
1_C12,148,68,3,0,4,11,11,0,3723,6516,5799,880,17.2,6.25,55.1,0,100
1_D1,789,428,1,0,175,158,0,157,30160,39004,86616,47.5,38.8,43,0.46,99.4,0
1_D2,4385,2601,0,0,404,1742,100,1591,11455,57897,68833,15.4,68.4,15.9,0.085,91.3,5.74
1_D3,13242,6753,2,0,3666,397,344,37,8973,12727,4008,-24.4,6.09,56.3,0.29,9.32,86.6
1_D4,7937,3051,0,1,1916,154,152,2,11146,13327,4801,73.2,5.33,66.3,4.79,1.3,98.7
1_D5,3310,1169,0,0,328,598,70,507,16079,67668,49439,-12.8,54.5,29.9,0.25,84.8,11.7
1_D6,2010,407,2,0,22,39,5,30,1856,5427,34663,289,10.7,6.04,7.24,76.9,12.8
1_D7,600,388,0,0,74,191,7,184,20813,98871,114559,50.1,55,21.3,0.36,96.3,3.66
1_D8,60,24,0,0,4,5,5,0,3847,7512,7080,816,26.3,21.1,51.4,0,100
1_D9,351,222,1,0,16,68,47,17,5976,27476,10412,80.9,42,9.88,7.5,25,69.1
1_D10,994,329,0,0,1,249,50,185,15030,94835,47443,-42.4,78.1,0.31,0.41,74.3,20.1
1_D11,6877,2623,2,0,510,1574,760,678,11773,57336,20472,79.6,61.2,19.8,0.52,43.1,48.3
1_D12,8083,4966,0,0,1603,1524,746,685,5568,15455,15455,30.8,31.7,33.3,0.59,44.9,49
1_E1,3882,1953,0,0,229,1359,226,1069,11351,62589,50286,34.7,71.6,12.1,0.082,78.7,16.6
1_E2,9410,4850,1,0,1684,1762,527,1134,6281,18415,27021,24.4,37.5,35.8,0.14,64.4,29.9
1_E3,12570,7053,0,0,727,4846,1029,3506,6573,30891,35336,27,69.6,10.4,0.33,72.3,21.2
1_E4,48,25,0,0,1,17,4,13,4290,27280,28478,41.1,73.9,4.35,0,76.5,23.5
1_E5,3850,27,0,0,0,1,0,1,705,1774,113161,50.1,5,0,0.68,100,0
1_E6,30633,6015,31,4,2808,266,262,2,5416,5007,2691,-91.2,4.63,48.8,4.01,0.75,98.5
1_E7,17935,5290,0,0,2219,1901,605,1185,7596,20327,27541,-1.28,36.5,42.6,0.063,62.3,31.8
1_E8,3279,1171,1,0,369,190,20,157,15563,41132,49921,-82.2,17.8,34.6,0.29,82.6,10.5
1_E9,56,4,0,0,2,1,0,1,3991,9156,60196,-99,25,50,0,100,0
1_E10,174,13,0,0,0,0,0,0,3058,7546,n/a,233,0,0,14.1,0,0
1_E11,5765,3295,12,0,1579,153,152,1,8581,8208,3448,277,6.32,65.2,19.9,0.65,99.3
1_E12,6689,1633,0,0,160,1127,79,1000,10064,47328,56095,-88.7,70.7,10,0.053,88.7,7.01
1_F1,2813,309,0,1,27,160,25,126,7579,42547,45419,64.2,55.7,9.41,0.61,78.8,15.6
1_F2,186,165,0,0,62,3,3,0,10110,10578,3693,-42.4,3.03,62.6,0,0,100
1_F3,1506,1335,0,0,719,212,171,33,15930,21512,9218,28.2,17,57.7,2.42,15.6,80.7
1_F4,6905,6643,3,0,3332,2336,1421,760,15893,26573,12553,107,35.4,50.5,2.22,32.5,60.8
1_F5,31021,22055,581,1,6912,3232,3123,31,5725,7496,3539,275,14.8,31.6,34.9,0.96,96.6
1_F6,11196,6192,0,0,1507,3769,552,3089,12467,55148,53955,38.5,61.8,24.7,0.28,82,14.6
1_F7,1729,933,0,0,234,392,71,301,17408,62133,48725,70.6,46.7,27.9,0.78,76.8,18.1
1_F8,3630,1906,0,1,11,1686,167,1461,15241,101078,62589,15.4,89.2,0.58,0.56,86.7,9.91
1_F9,27,11,0,0,0,3,0,3,41631,261573,38723,89.9,42.9,0,25,100,0
1_F10,12105,5154,173,0,3300,28,28,0,27150,14151,2064,-165,0.62,73.6,10,0,100
1_F11,544,156,0,0,4,110,19,84,17367,110959,39099,27,72.4,2.63,1.17,76.4,17.3
1_F12,43291,12817,81,1,1314,1449,1438,2,2266,5169,3305,-59.1,11.4,10.3,6.21,0.14,99.2
1_G1,6266,1318,1,0,66,975,352,562,11560,66522,27939,19.3,75.7,5.12,0.97,57.6,36.1
1_G2,30395,9581,1,0,4067,1269,680,506,4623,7612,11325,-42.4,13.6,43.5,0.19,39.9,53.6
1_G3,3371,2948,3,0,1304,515,285,200,10846,19576,16926,38.5,17.9,45.3,10.7,38.8,55.3
1_G4,11484,11435,1,0,3283,6071,4832,867,12582,44333,9951,190,53.4,28.9,1.23,14.3,79.6
1_G5,26391,23641,2,0,7013,3608,2017,1424,3366,5874,11534,84.8,15.3,29.8,1.72,39.5,55.9
1_G6,1145,966,3,0,51,724,93,588,18633,122418,44548,96.4,77.3,5.44,2.41,81.2,12.8
1_G7,7090,6367,1,0,411,5456,245,5102,11095,66522,74793,48.8,86,6.48,0.36,93.5,4.49
1_G8,23,11,1,0,1,5,1,3,10895,46532,98871,16.7,45.5,9.09,16.7,60,20
1_G9,1265,1151,2,0,301,388,74,309,16382,41431,68498,24.4,36.8,28.5,1.41,79.6,19.1
1_G10,419,372,0,0,26,98,28,66,29588,158902,65876,-43.6,28.6,7.58,0,67.3,28.6
1_G11,1282,1144,9,0,604,132,49,77,17327,19165,25038,135,13,59.6,24.5,58.3,37.1
1_G12,5860,5142,0,0,102,4491,614,3667,10554,66522,50776,30.8,87.7,1.99,0.38,81.7,13.7
1_H1,3724,3314,0,0,482,1896,174,1652,14217,70707,57476,38.5,58.4,14.8,0,87.1,9.18
1_H2,1971,1485,0,0,31,1259,103,1118,16192,108268,72809,27,88,2.17,0.44,88.8,8.18
1_H3,7379,7310,0,0,530,5810,432,5183,10294,56505,57058,83.5,79.9,7.28,0.59,89.2,7.44
1_H4,20541,18627,1,0,5946,8672,5510,2335,8658,23819,12934,123,46.7,32,1.03,26.9,63.5
1_H5,102,92,0,0,3,65,25,32,20961,143996,30088,79.6,82.3,3.8,7.69,49.2,38.5
1_H6,18517,17577,17,0,4865,5999,5989,7,12212,20862,6349,653,36,29.2,41.4,0.12,99.8
1_H7,10903,1514,56,1,15,9,7,0,868,3253,844,638,0.63,1.05,41.5,0,77.8
1_H8,52,14,1,0,2,0,0,0,7748,8873,n/a,332,0,22.2,27.6,0,0
1_H9,4671,4346,10,0,1298,1307,334,912,12325,30597,38817,86.1,38.2,38,5.16,69.8,25.6
1_H10,85,61,0,0,8,2,1,1,3195,8467,12993,104,5.71,22.9,4,50,50
1_H11,271,206,0,0,58,29,12,11,13764,26384,21768,-19.3,20.9,41.7,5.56,37.9,41.4
1_H12,939,761,4,0,235,2,2,0,20862,25337,1028,8.98,0.38,44.8,10.7,0,100
2_A1,3639,3550,2,0,1480,1596,159,1398,16079,41531,62741,71.9,45.7,42.4,1.55,87.6,9.96
2_A2,20027,19479,3,0,9241,1789,1777,4,9664,8099,5324,92.5,9.25,47.8,4.41,0.22,99.3
2_A3,22754,22086,5,0,4128,10985,1915,8657,4903,19120,46872,95.1,49.9,18.8,2.64,78.8,17.4
2_A4,4367,3947,0,0,1270,1487,722,697,19576,36459,26384,75.8,37.9,32.3,0.087,46.9,48.6
2_A5,12812,12034,1,0,4413,5492,2887,2256,12018,28342,18200,65.5,45.8,36.8,0.49,41.1,52.6
2_A6,3931,1367,2,0,80,425,52,360,5007,18115,60638,289,41.2,7.76,9.61,84.7,12.2
