,Single_cells,CD45,Ery,NK,Mono,Neut,CD66bneg,CD66bpos,CD14_MFI,CD15_MFI,CD66b_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,66bpos_freq,66bneg_freq,
LEUK14_Plate1_A1_A01_001.fcs,146,142,0,0,35.0,64.0,64.0,0,14021,40540,7939,166,45.4,24.8,0,0,100,
LEUK14_Plate1_A2_A02_002.fcs,1978,1966,0,0,868,471,302,144,9054,12582,10294,133,24.1,44.4,5.88,30.6,64.1,
LEUK14_Plate1_A3_A03_003.fcs,33403,32414,58.0,0,7061,9842,8502,1194,4091,8620,6866,224,30.4,21.8,3.98,12.1,86.4,
LEUK14_Plate1_A4_A04_004.fcs,6562,6524,2.00,2.00,2258,1047,820,190,5451,8794,6616,217,16.2,34.9,10.4,18.1,78.3,
LEUK14_Plate1_A5_A05_005.fcs,346,339,1.00,0,3.00,98.0,56.0,35.0,27345,153895,24508,488,34.8,1.06,14.3,35.7,57.1,
LEUK14_Plate1_A6_A06_006.fcs,4580,4536,0,0,238,3915,107,3753,11146,69170,71226,100,87.7,5.33,4.57,95.9,2.73,
LEUK14_Plate1_A7_A07_007.fcs,1873,124,1.00,0,7.00,12.0,1.00,11.0,1371,3769,36724,638,11.3,6.60,35.2,91.7,8.33,
LEUK14_Plate1_A8_A08_008.fcs,133,107,0,0,6.00,5.00,0,5.00,2144,4893,49921,166,4.85,5.83,5.08,100,0,
LEUK14_Plate1_A9_A09_009.fcs,87.0,56.0,1.00,0,2.00,18.0,18.0,0,4066,9642,9996,289,35.3,3.92,18.4,0,100,
LEUK14_Plate1_A10_A10_010.fcs,1677,1405,0,0,20.0,1231,51.0,1147,22027,152386,63356,53.9,89.3,1.45,0.35,93.2,4.14,
LEUK14_Plate1_A11_A11_011.fcs,10163,9744,2.00,0,119,9288,9213,43.0,9177,58606,5874,305,95.9,1.23,10.0,0.46,99.2,
LEUK14_Plate1_A12_A12_012.fcs,1502,1397,0,0,32.0,1117,79.0,1003,10578,67010,56781,91.2,81.0,2.32,4.14,89.8,7.07,
LEUK14_Plate1_B1_B01_013.fcs,111,90.0,0,0,2.00,21.0,19.0,2.00,2799,5925,8208,74.5,23.3,2.22,12.5,9.52,90.5,
LEUK14_Plate1_B2_B02_014.fcs,15458,15024,4.00,2.00,5171,1841,1808,18.0,4801,6363,4407,202,12.3,34.6,11.5,0.98,98.2,
LEUK14_Plate1_B3_B03_015.fcs,22284,21935,4.00,0,7696,8527,8437,49.0,8543,18372,4066,278,39.5,35.6,6.12,0.57,98.9,
LEUK14_Plate1_B4_B04_016.fcs,1984,1957,1.00,0,489,899,898,0,12467,31869,6806,146,46.5,25.3,12.2,0,99.9,
LEUK14_Plate1_B5_B05_017.fcs,42.0,28.0,0,1.00,9.00,14.0,14.0,0,8373,21260,4371,146,53.8,34.6,0,0,100,
LEUK14_Plate1_B6_B06_018.fcs,18395,17460,9.00,0,6722,5872,2841,2688,8639,13114,18115,278,34.1,39.1,24.0,45.8,48.4,
LEUK14_Plate1_B7_B07_019.fcs,112,87.0,0,0,17.0,49.0,6.00,40.0,14054,75897,43800,112,58.3,20.2,6.25,81.6,12.2,
