Plate_well,Sort_id
1_A1,1_A2
1_A2,1_A3
1_A3,1_A5
1_A4,1_A7
1_A5,1_A12
1_A6,1_B1
1_A7,1_B7
1_A8,1_B10
1_A9,1_C1
1_A10,1_C2
1_A11,1_C4
1_A12,1_C12
1_B1,1_D2
1_B2,1_D4
1_B3,1_D10
1_B4,1_D12
1_B5,1_E1
1_B6,1_E5
1_B7,1_E7
1_B8,1_F3
1_B9,1_F4
1_B10,1_F8
1_B11,1_G2
1_B12,1_G7
1_C1,1_G9
1_C2,1_G12
1_C3,1_H4
1_C4,1_H8
1_C5,2_A6
1_C6,2_A8
1_C7,2_A10
1_C8,2_B2
1_C9,2_C1
1_C10,2_C6
1_C11,2_C9
1_C12,2_C10
1_D1,2_C11
1_D2,2_C12
1_D3,2_F10
1_D4,2_G6
1_D5,2_G11
1_D6,2_H9
1_D7,3_A5
1_D8,3_B7
1_D9,3_C11
1_D10,3_D4
1_D11,3_D8
1_D12,3_D9
1_E1,3_D10
1_E2,3_D11
1_E3,3_E6
1_E4,3_E7
1_E5,3_F1
1_E6,3_F9
1_E7,3_G1
1_E8,3_H5
1_E9,3_H7
1_E10,4_A5
1_E11,4_A7
1_E12,4_A10
1_F1,4_B4
1_F2,4_B11
1_F3,4_C5
1_F4,4_C7
1_F5,4_C10
1_F6,4_C11
1_F7,4_D1
1_F8,4_D2
1_F9,4_D7
1_F10,4_D8
1_F11,4_E10
1_F12,4_F1
1_G1,4_F3
1_G2,4_F10
1_G3,4_F11
1_G4,4_G4
1_G5,4_G6
1_G6,4_H3
1_G7,4_H7
1_G8,5_A3
1_G9,5_A11
1_G10,5_B1
1_G11,5_B2
1_G12,5_B4
1_H1,5_B7
1_H2,5_B11
1_H3,5_C2
1_H4,5_C5
1_H5,5_D2
1_H6,5_E10
1_H7,5_F1
1_H8,5_F6
1_H9,5_F7
1_H10,5_H1
1_H11,5_H4
1_H12,6_A5
2_A1,6_B1
2_A2,6_B3
2_A3,6_B6
2_A4,6_B7
2_A5,6_B8
2_A6,6_B10
2_A7,6_C9
2_A8,6_D1
2_A9,6_E2
2_A10,6_E3
2_A11,6_E5
2_A12,6_E9
2_B1,6_F4
2_B2,6_F11
2_B3,6_G5
2_B4,6_G10
2_B5,6_G12
2_B6,6_H2
2_B7,6_H3
2_B8,6_H10
2_B9,7_A1
2_B10,7_A6
2_B11,7_A8
2_B12,7_A9
2_C1,7_A12
2_C2,7_B2
2_C3,7_B4
2_C4,7_B6
2_C5,7_B7
2_C6,7_B9
2_C7,7_C7
2_C8,7_C12
2_C9,7_D5
2_C10,7_D9
2_C11,7_D11
2_C12,7_D12
2_D1,7_E4
2_D2,7_E6
2_D3,7_E7
2_D4,7_E9
2_D5,7_E10
2_D6,7_F1
2_D7,7_F7
2_D8,7_F10
2_D9,7_F12
2_D10,7_G1
2_D11,7_G3
2_D12,7_G4
2_E1,7_G10
2_E2,7_H3
2_E3,7_H5
2_E4,7_H11
2_E5,7_H12
2_E6,8_A9
2_E7,8_B3
2_E8,8_D4
2_E9,8_D12
2_E10,8_E2
2_E11,8_E3
2_E12,8_E7
2_F1,8_E8
2_F2,8_E10
2_F3,8_E12
2_F4,8_F4
2_F5,8_F5
2_F6,8_F7
2_F7,8_G2
2_F8,8_G9
2_F9,8_G11
2_F10,8_H3
2_F11,9_A2
2_F12,9_A5
2_G1,9_A8
2_G2,9_C1
2_G3,9_C2
2_G4,9_C4
2_G5,9_C6
2_G6,9_C8
2_G7,9_C11
2_G8,9_C12
2_G9,9_D7
2_G10,9_D8
2_G11,9_D11
2_G12,9_D12
2_H1,9_E3
