Plate_well,variable,Sort_id
plate_1_A01,Plate_1,1_A2
plate_1_A02,Plate_1,1_A3
plate_1_A03,Plate_1,1_A5
plate_1_A04,Plate_1,1_A7
plate_1_A05,Plate_1,1_A12
plate_1_A06,Plate_1,1_B1
plate_1_A07,Plate_1,1_B7
plate_1_A08,Plate_1,1_B10
plate_1_A09,Plate_1,1_C1
plate_1_A10,Plate_1,1_C2
plate_1_A11,Plate_1,1_C4
plate_1_A12,Plate_1,1_C12
plate_1_B01,Plate_1,1_D2
plate_1_B02,Plate_1,1_D4
plate_1_B03,Plate_1,1_D10
plate_1_B04,Plate_1,1_D12
plate_1_B05,Plate_1,1_E1
plate_1_B06,Plate_1,1_E5
plate_1_B07,Plate_1,1_E7
plate_1_B08,Plate_1,1_F3
plate_1_B09,Plate_1,1_F4
plate_1_B10,Plate_1,1_F8
plate_1_B11,Plate_1,1_G2
plate_1_B12,Plate_1,1_G7
plate_1_C01,Plate_1,1_G9
plate_1_C02,Plate_1,1_G12
plate_1_C03,Plate_1,1_H4
plate_1_C04,Plate_1,1_H8
plate_1_C05,Plate_1,2_A6
plate_1_C06,Plate_1,2_A8
plate_1_C07,Plate_1,2_A10
plate_1_C08,Plate_1,2_B2
plate_1_C09,Plate_1,2_C1
plate_1_C10,Plate_1,2_C6
plate_1_C11,Plate_1,2_C9
plate_1_C12,Plate_1,2_C10
plate_1_D01,Plate_1,2_C11
plate_1_D02,Plate_1,2_C12
plate_1_D03,Plate_1,2_F10
plate_1_D04,Plate_1,2_G6
plate_1_D05,Plate_1,2_G11
plate_1_D06,Plate_1,2_H9
plate_1_D07,Plate_1,3_A5
plate_1_D08,Plate_1,3_B7
plate_1_D09,Plate_1,3_C11
plate_1_D10,Plate_1,3_D4
plate_1_D11,Plate_1,3_D8
plate_1_D12,Plate_1,3_D9
plate_1_E01,Plate_1,3_D10
plate_1_E02,Plate_1,3_D11
plate_1_E03,Plate_1,3_E6
plate_1_E04,Plate_1,3_E7
plate_1_E05,Plate_1,3_F1
plate_1_E06,Plate_1,3_F9
plate_1_E07,Plate_1,3_G1
plate_1_E08,Plate_1,3_H5
plate_1_E09,Plate_1,3_H7
plate_1_E10,Plate_1,4_A5
plate_1_E11,Plate_1,4_A7
plate_1_E12,Plate_1,4_A10
plate_1_F01,Plate_1,4_B4
plate_1_F02,Plate_1,4_B11
plate_1_F03,Plate_1,4_C5
plate_1_F04,Plate_1,4_C7
plate_1_F05,Plate_1,4_C10
plate_1_F06,Plate_1,4_C11
