Plate_1,1,2,3,4,5,6,7,8,9,10,11,12
A,1_A2,1_A3,1_A5,1_A7,1_A12,1_B1,1_B7,1_B10,1_C1,1_C2,1_C4,1_C12
B,1_D2,1_D4,1_D10,1_D12,1_E1,1_E5,1_E7,1_F3,1_F4,1_F8,1_G2,1_G7
C,1_G9,1_G12,1_H4,1_H8,2_A6,2_A8,2_A10,2_B2,2_C1,2_C6,2_C9,2_C10
D,2_C11,2_C12,2_F10,2_G6,2_G11,2_H9,3_A5,3_B7,3_C11,3_D4,3_D8,3_D9
E,3_D10,3_D11,3_E6,3_E7,3_F1,3_F9,3_G1,3_H5,3_H7,4_A5,4_A7,4_A10
F,4_B4,4_B11,4_C5,4_C7,4_C10,4_C11,4_D1,4_D2,4_D7,4_D8,4_E10,4_F1
G,4_F3,4_F10,4_F11,4_G4,4_G6,4_H3,4_H7,5_A3,5_A11,5_B1,5_B2,5_B4
H,5_B7,5_B11,5_C2,5_C5,5_D2,5_E10,5_F1,5_F6,5_F7,5_H1,5_H4,6_A5
,,,,,,,,,,,,
Plate_2,1,2,3,4,5,6,7,8,9,10,11,12
A,6_B1,6_B3,6_B6,6_B7,6_B8,6_B10,6_C9,6_D1,6_E2,6_E3,6_E5,6_E9
B,6_F4,6_F11,6_G5,6_G10,6_G12,6_H2,6_H3,6_H10,7_A1,7_A6,7_A8,7_A9
C,7_A12,7_B2,7_B4,7_B6,7_B7,7_B9,7_C7,7_C12,7_D5,7_D9,7_D11,7_D12
D,7_E4,7_E6,7_E7,7_E9,7_E10,7_F1,7_F7,7_F10,7_F12,7_G1,7_G3,7_G4
E,7_G10,7_H3,7_H5,7_H11,7_H12,8_A9,8_B3,8_D4,8_D12,8_E2,8_E3,8_E7
F,8_E8,8_E10,8_E12,8_F4,8_F5,8_F7,8_G2,8_G9,8_G11,8_H3,9_A2,9_A5
G,9_A8,9_C1,9_C2,9_C4,9_C6,9_C8,9_C11,9_C12,9_D7,9_D8,9_D11,9_D12
H,9_E3,,,,,,,,,,,
