Plate_well,Sort_id,Exp,platename,Sample_id
1_H12,1_H12,LEUK19_D21,LEUK19 DNA P1,1362
1_H11,1_H11,LEUK19_D21,LEUK19 DNA P1,1355
1_H10,1_H10,LEUK19_D21,LEUK19 DNA P1,1349
1_H9,1_H9,LEUK19_D21,LEUK19 DNA P1,1343
1_H8,1_H8,LEUK19_D21,LEUK19 DNA P1,1337
1_H7,1_H7,LEUK19_D21,LEUK19 DNA P1,1331
1_H6,1_H6,LEUK19_D21,LEUK19 DNA P1,1326
1_H4,1_H4,LEUK19_D21,LEUK19 DNA P1,1314
1_H2,1_H2,LEUK19_D21,LEUK19 DNA P1,1300
1_G12,1_G12,LEUK19_D21,LEUK19 DNA P1,1361
1_G11,1_G11,LEUK19_D21,LEUK19 DNA P1,1354
1_G9,1_G9,LEUK19_D21,LEUK19 DNA P1,1342
1_G6,1_G6,LEUK19_D21,LEUK19 DNA P1,1325
1_G5,1_G5,LEUK19_D21,LEUK19 DNA P1,1319
1_G4,1_G4,LEUK19_D21,LEUK19 DNA P1,1313
1_G2,1_G2,LEUK19_D21,LEUK19 DNA P1,1299
1_G1,1_G1,LEUK19_D21,LEUK19 DNA P1,1292
1_F12,1_F12,LEUK19_D21,LEUK19 DNA P1,1360
1_F11,1_F11,LEUK19_D21,LEUK19 DNA P1,1353
1_F10,1_F10,LEUK19_D21,LEUK19 DNA P1,1348
1_F9,1_F9,LEUK19_D21,LEUK19 DNA P1,1341
1_F8,1_F8,LEUK19_D21,LEUK19 DNA P1,1336
1_F7,1_F7,LEUK19_D21,LEUK19 DNA P1,1330
1_F5,1_F5,LEUK19_D21,LEUK19 DNA P1,1318
1_F4,1_F4,LEUK19_D21,LEUK19 DNA P1,1312
1_F3,1_F3,LEUK19_D21,LEUK19 DNA P1,1306
1_F2,1_F2,LEUK19_D21,LEUK19 DNA P1,1298
1_F1,1_F1,LEUK19_D21,LEUK19 DNA P1,1291
1_E12,1_E12,LEUK19_D21,LEUK19 DNA P1,1359
1_E11,1_E11,LEUK19_D21,LEUK19 DNA P1,1352
1_E10,1_E10,LEUK19_D21,LEUK19 DNA P1,1347
1_E9,1_E9,LEUK19_D21,LEUK19 DNA P1,1340
1_E7,1_E7,LEUK19_D21,LEUK19 DNA P1,1329
1_E6,1_E6,LEUK19_D21,LEUK19 DNA P1,1324
1_E5,1_E5,LEUK19_D21,LEUK19 DNA P1,1317
1_E4,1_E4,LEUK19_D21,LEUK19 DNA P1,1311
1_E3,1_E3,LEUK19_D21,LEUK19 DNA P1,1305
1_E2,1_E2,LEUK19_D21,LEUK19 DNA P1,1297
1_E1,1_E1,LEUK19_D21,LEUK19 DNA P1,1290
1_D12,1_D12,LEUK19_D21,LEUK19 DNA P1,1358
1_D11,1_D11,LEUK19_D21,LEUK19 DNA P1,1351
1_D10,1_D10,LEUK19_D21,LEUK19 DNA P1,1346
1_D9,1_D9,LEUK19_D21,LEUK19 DNA P1,1339
1_D8,1_D8,LEUK19_D21,LEUK19 DNA P1,1335
1_D7,1_D7,LEUK19_D21,LEUK19 DNA P1,1328
1_D6,1_D6,LEUK19_D21,LEUK19 DNA P1,1323
1_D5,1_D5,LEUK19_D21,LEUK19 DNA P1,1316
1_D4,1_D4,LEUK19_D21,LEUK19 DNA P1,1310
1_D3,1_D3,LEUK19_D21,LEUK19 DNA P1,1304
1_D2,1_D2,LEUK19_D21,LEUK19 DNA P1,1296
1_D1,1_D1,LEUK19_D21,LEUK19 DNA P1,1289
1_C9,1_C9,LEUK19_D21,LEUK19 DNA P1,1338
1_C8,1_C8,LEUK19_D21,LEUK19 DNA P1,1334
1_C6,1_C6,LEUK19_D21,LEUK19 DNA P1,1322
1_C5,1_C5,LEUK19_D21,LEUK19 DNA P1,1315
1_C4,1_C4,LEUK19_D21,LEUK19 DNA P1,1309
1_C3,1_C3,LEUK19_D21,LEUK19 DNA P1,1303
1_C2,1_C2,LEUK19_D21,LEUK19 DNA P1,1295
1_C1,1_C1,LEUK19_D21,LEUK19 DNA P1,1288
1_B12,1_B12,LEUK19_D21,LEUK19 DNA P1,1357
1_B11,1_B11,LEUK19_D21,LEUK19 DNA P1,1350
1_B10,1_B10,LEUK19_D21,LEUK19 DNA P1,1345
1_B8,1_B8,LEUK19_D21,LEUK19 DNA P1,1333
1_B6,1_B6,LEUK19_D21,LEUK19 DNA P1,1321
1_B4,1_B4,LEUK19_D21,LEUK19 DNA P1,1308
1_B3,1_B3,LEUK19_D21,LEUK19 DNA P1,1302
1_B2,1_B2,LEUK19_D21,LEUK19 DNA P1,1294
1_B1,1_B1,LEUK19_D21,LEUK19 DNA P1,1287
1_A12,1_A12,LEUK19_D21,LEUK19 DNA P1,1356
1_A10,1_A10,LEUK19_D21,LEUK19 DNA P1,1344
1_A8,1_A8,LEUK19_D21,LEUK19 DNA P1,1332
1_A7,1_A7,LEUK19_D21,LEUK19 DNA P1,1327
1_A6,1_A6,LEUK19_D21,LEUK19 DNA P1,1320
1_A4,1_A4,LEUK19_D21,LEUK19 DNA P1,1307
1_A3,1_A3,LEUK19_D21,LEUK19 DNA P1,1301
1_A2,1_A2,LEUK19_D21,LEUK19 DNA P1,1293
1_A1,1_A1,LEUK19_D21,LEUK19 DNA P1,1286
2_H12,2_H12,LEUK19_D21,LEUK19 DNA P2,1439
2_H11,2_H11,LEUK19_D21,LEUK19 DNA P2,1432
2_H9,2_H9,LEUK19_D21,LEUK19 DNA P2,1421
2_H8,2_H8,LEUK19_D21,LEUK19 DNA P2,1416
2_H7,2_H7,LEUK19_D21,LEUK19 DNA P2,1409
2_H6,2_H6,LEUK19_D21,LEUK19 DNA P2,1402
2_H5,2_H5,LEUK19_D21,LEUK19 DNA P2,1394
2_H4,2_H4,LEUK19_D21,LEUK19 DNA P2,1389
2_H3,2_H3,LEUK19_D21,LEUK19 DNA P2,1382
2_H2,2_H2,LEUK19_D21,LEUK19 DNA P2,1375
2_H1,2_H1,LEUK19_D21,LEUK19 DNA P2,1368
2_G12,2_G12,LEUK19_D21,LEUK19 DNA P2,1438
2_G10,2_G10,LEUK19_D21,LEUK19 DNA P2,1427
2_G8,2_G8,LEUK19_D21,LEUK19 DNA P2,1415
2_G7,2_G7,LEUK19_D21,LEUK19 DNA P2,1408
2_G6,2_G6,LEUK19_D21,LEUK19 DNA P2,1401
2_G3,2_G3,LEUK19_D21,LEUK19 DNA P2,1381
2_G2,2_G2,LEUK19_D21,LEUK19 DNA P2,1374
2_G1,2_G1,LEUK19_D21,LEUK19 DNA P2,1367
2_F12,2_F12,LEUK19_D21,LEUK19 DNA P2,1437
2_F10,2_F10,LEUK19_D21,LEUK19 DNA P2,1426
2_F9,2_F9,LEUK19_D21,LEUK19 DNA P2,1420
2_F8,2_F8,LEUK19_D21,LEUK19 DNA P2,1414
2_F7,2_F7,LEUK19_D21,LEUK19 DNA P2,1407
2_F6,2_F6,LEUK19_D21,LEUK19 DNA P2,1400
2_F5,2_F5,LEUK19_D21,LEUK19 DNA P2,1393
2_F4,2_F4,LEUK19_D21,LEUK19 DNA P2,1388
2_F3,2_F3,LEUK19_D21,LEUK19 DNA P2,1380
2_F2,2_F2,LEUK19_D21,LEUK19 DNA P2,1373
2_E12,2_E12,LEUK19_D21,LEUK19 DNA P2,1436
2_E11,2_E11,LEUK19_D21,LEUK19 DNA P2,1431
2_E10,2_E10,LEUK19_D21,LEUK19 DNA P2,1425
2_E9,2_E9,LEUK19_D21,LEUK19 DNA P2,1419
2_E8,2_E8,LEUK19_D21,LEUK19 DNA P2,1413
2_E7,2_E7,LEUK19_D21,LEUK19 DNA P2,1406
2_E6,2_E6,LEUK19_D21,LEUK19 DNA P2,1399
2_E5,2_E5,LEUK19_D21,LEUK19 DNA P2,1392
2_E4,2_E4,LEUK19_D21,LEUK19 DNA P2,1387
2_E3,2_E3,LEUK19_D21,LEUK19 DNA P2,1379
2_E2,2_E2,LEUK19_D21,LEUK19 DNA P2,1372
2_E1,2_E1,LEUK19_D21,LEUK19 DNA P2,1366
2_D12,2_D12,LEUK19_D21,LEUK19 DNA P2,1435
2_D10,2_D10,LEUK19_D21,LEUK19 DNA P2,1424
2_D9,2_D9,LEUK19_D21,LEUK19 DNA P2,1418
