Plate 1,1,2,3,4,5,6,7,8,9,10,11,12
A,1_A1,1_A2,1_A3,1_A4,,1_A6,1_A7,1_A8,,1_A10,,1_A12
B,1_B1,1_B2,1_B3,1_B4,,1_B6,,1_B8,,1_B10,1_B11,1_B12
C,1_C1,1_C2,1_C3,1_C4,1_C5,1_C6,,1_C8,1_C9,,,
D,1_D1,1_D2,1_D3,1_D4,1_D5,1_D6,1_D7,1_D8,1_D9,1_D10,1_D11,1_D12
E,1_E1,1_E2,1_E3,1_E4,1_E5,1_E6,1_E7,,1_E9,1_E10,1_E11,1_E12
F,1_F1,1_F2,1_F3,1_F4,1_F5,,1_F7,1_F8,1_F9,1_F10,1_F11,1_F12
G,1_G1,1_G2,,1_G4,1_G5,1_G6,,,1_G9,,1_G11,1_G12
H,,1_H2,,1_H4,,1_H6,1_H7,1_H8,1_H9,1_H10,1_H11,1_H12
,,,,,,,,,,,,
Plate 2,1,2,3,4,5,6,7,8,9,10,11,12
A,2_H12,2_H11,2_H10,2_H9,2_H8,2_H7,2_H6,2_H5,2_H4,2_H3,2_H2,2_H1
B,2_G12,,2_G10,2_G9,2_G8,2_G7,2_G6,,,2_G3,2_G2,2_G1
C,2_F12,2_F11,2_F10,2_F9,2_F8,2_F7,2_F6,2_F5,2_F4,2_F3,2_F2,
D,2_E12,2_E11,2_E10,2_E9,2_E8,2_E7,2_E6,2_E5,2_E4,2_E3,2_E2,2_E1
E,2_D12,2_D11,2_D10,2_D9,2_D8,2_D7,2_D6,2_D5,2_D4,2_D3,2_D2,2_D1
F,,2_C11,2_C10,2_C9,2_C8,2_C7,2_C6,2_C5,2_C4,2_C3,2_C2,2_C1
G,2_B12,2_B11,2_B10,,,2_B7,2_B6,2_B5,2_B4,2_B3,,2_B1
H,2_A12,2_A11,2_A10,2_A9,2_A8,2_A7,2_A6,2_A5,2_A4,2_A3,2_A2,2_A1
,,,,,,,,,,,,
Plate 3,1,2,3,4,5,6,7,8,9,10,11,12
A,3_A1,,3_A3,3_A4,3_A5,,3_A7,3_A8,3_A9,3_A10,3_A11,3_A12
B,3_B1,3_B2,3_B3,3_B4,,,3_B7,3_B8,,3_B10,3_B11,3_B12
C,3_C1,,3_C3,3_C4,3_C5,3_C6,,3_C8,3_C9,3_C10,3_C11,3_C12
D,3_D1,3_D2,3_D3,,3_D5,3_D6,3_D7,3_D8,3_D9,3_D10,3_D11,3_D12
E,3_E1,3_E2,,3_E4,3_E5,3_E6,3_E7,,3_E9,,3_E11,3_E12
F,3_F1,3_F2,3_F3,3_F4,3_F5,3_F6,3_F7,3_F8,3_F9,3_F10,3_F11,3_F12
G,3_G1,3_G2,3_G3,3_G4,,3_G6,3_G7,3_G8,3_G9,3_G10,3_G11,3_G12
H,,3_H2,3_H3,3_H4,3_H5,3_H6,3_H7,3_H8,3_H9,3_H10,,3_H12
,,,,,,,,,,,,
Plate 4,1,2,3,4,5,6,7,8,9,10,11,12
A,,4_A2,,4_A4,,,,,,,,
B,4_B1,4_B2,4_B3,,4_B5,,,,,,,
C,4_C1,4_C2,4_C3,4_C4,4_C5,4_C6,,,,,,
D,4_D1,4_D2,4_D3,4_D4,4_D5,4_D6,4_D7,,,,,
E,4_E1,,,,4_E5,4_E6,4_E7,,,,,
F,4_F1,,4_F3,4_F4,4_F5,,4_F7,,,,,4_F12
G,4_G1,4_G2,4_G3,4_G4,4_G5,,4_G7,,,,,
H,4_H1,4_H2,4_H3,,,4_H6,4_H7,4_H8,,4_H10,4_H11,
,,,,,,,,,,,,
Plate 5,1,2,3,4,5,6,7,8,9,10,11,12
A,,5_A2,5_A3,5_A4,,,,5_A8,,,,
B,5_B1,5_B2,5_B3,5_B4,,,,,,,,
C,5_C1,5_C2,5_C3,,5_C5,,,,,5_C10,5_C11,
D,5_D1,5_D2,5_D3,,5_D5,5_D6,,5_D8,,,,
E,5_E1,5_E2,5_E3,,5_E5,,,5_E8,,,,5_E12
F,,5_F2,5_F3,,,,,5_F8,,,,
G,5_G1,,5_G3,,,5_G6,,,5_G9,,,
H,5_H1,,5_H3,,,,,,5_H9,,,
,,,,,,,,,,,,
Plate 6,1,2,3,4,5,6,7,8,9,10,11,12
A,,6_A2,6_A3,6_A4,6_A5,6_A6,6_A7,6_A8,6_A9,6_A10,6_A11,
B,,6_B2,6_B3,6_B4,6_B5,6_B6,6_B7,,6_B9,6_B10,6_B11,6_B12
C,6_C1,6_C2,6_C3,6_C4,,6_C6,6_C7,6_C8,6_C9,6_C10,6_C11,
D,6_D1,6_D2,,6_D4,6_D5,6_D6,6_D7,6_D8,6_D9,6_D10,,
E,6_E1,6_E2,6_E3,6_E4,6_E5,,6_E7,6_E8,6_E9,6_E10,6_E11,6_E12
F,6_F1,6_F2,6_F3,6_F4,6_F5,6_F6,6_F7,6_F8,,6_F10,6_F11,6_F12
G,6_G1,6_G2,6_G3,6_G4,6_G5,6_G6,6_G7,6_G8,6_G9,6_G10,6_G11,
H,6_H1,6_H2,6_H3,6_H4,6_H5,6_H6,6_H7,,6_H9,,6_H11,
