Sort_id,Cell_seeded,FSC-A,FSC-W,SSC-A,CD33,CD34,CD45Ra,CD90,CD49f,CD38,CD19,CD7-10,dead,CD45,Time
1_A1,HSC,153488,84925,16418,-227,3565,112,79,756,-17,11,110,162,1211,781
1_A2,HSC,142059,80449,20039,-43,2908,88,7,755,24,42,49,154,999,1014
1_A3,HSC,165143,85027,29304,-71,3221,73,62,-138,22,55,140,325,1645,1255
1_A4,HSC,141591,81379,20938,-155,7002,201,316,1123,-137,20,112,203,2763,1515
1_A5,HSC,145575,81752,25237,-110,7119,253,107,262,-210,72,99,296,1898,1779
1_A6,HSC,111840,77209,18007,-205,6205,147,-39,960,-233,61,32,293,5287,2008
1_A7,HSC,172059,91115,20151,-199,5584,164,492,809,-77,47,105,271,2137,2271
1_A8,HSC,183200,88785,25341,-292,6866,51,1306,310,-277,6,145,255,3290,2534
1_A9,HSC,165383,86669,28061,-240,9433,113,-134,42,-139,23,48,320,5891,2828
1_A10,HSC,159427,84124,23896,-101,3674,23,49,1071,-116,27,105,255,1200,3084
1_A11,HSC,167161,85830,27346,-199,3023,-61,316,288,-7,30,175,242,1296,3402
1_A12,HSC,172499,85945,25482,-61,4546,8,116,-26,-45,25,108,244,2047,3681
1_B1,HSC,142540,80759,20534,-133,4538,52,24,616,-258,35,68,177,1201,7704
1_B2,HSC,134929,81365,23101,-37,3016,119,27,48,-38,19,134,210,1275,7342
1_B3,HSC,136849,89525,15479,71,2714,128,3,1532,-18,55,73,154,1329,7003
1_B4,HSC,140846,92834,19216,91,3302,41,49,198,-154,33,73,168,1265,6393
1_B5,HSC,159504,87191,35622,-29,4237,50,916,-263,43,18,215,301,2489,6071
1_B6,HSC,161805,84902,27639,-146,4265,3,3,131,-66,26,95,218,1404,5720
1_B7,HSC,156365,84443,27737,39,2920,101,209,257,98,43,86,180,1362,5509
1_B8,HSC,135122,82384,14726,-25,4800,59,-60,63,-185,49,29,216,3656,5284
1_B9,HSC,160835,86182,21957,-256,8722,118,-73,145,-134,40,46,250,3413,4955
1_B10,HSC,142275,81678,16915,-93,2971,101,-8,219,-35,56,118,131,882,4657
