Plate_well,Sort_id,Exp,platename,Sample_id
1_A8,Pos Ctrl,LEUK23_D21,LEUK23 DNA Plate1 31/1/20,957
1_A7,Neg Ctrl,LEUK23_D21,LEUK23 DNA Plate1 31/1/20,956
1_A6,8_E2,LEUK23_D21,LEUK23 DNA Plate1 31/1/20,955
1_A5,7_F1,LEUK23_D21,LEUK23 DNA Plate1 31/1/20,954
1_A4,7_D11,LEUK23_D21,LEUK23 DNA Plate1 31/1/20,953
1_A3,6_C3,LEUK23_D21,LEUK23 DNA Plate1 31/1/20,952
1_A2,4_A10,LEUK23_D21,LEUK23 DNA Plate1 31/1/20,951
1_A1,4_A8,LEUK23_D21,LEUK23 DNA Plate1 31/1/20,950
2_H12,6_B12,LEUK23_D21,LEUK23 DNA P2 D28,288
2_H11,6_B8,LEUK23_D21,LEUK23 DNA P2 D28,280
2_H10,6_B2,LEUK23_D21,LEUK23 DNA P2 D28,272
2_H9,6_B1,LEUK23_D21,LEUK23 DNA P2 D28,264
2_H8,6_A6,LEUK23_D21,LEUK23 DNA P2 D28,256
2_H7,6_A5,LEUK23_D21,LEUK23 DNA P2 D28,248
2_H6,5_H12,LEUK23_D21,LEUK23 DNA P2 D28,240
2_H5,5_H11,LEUK23_D21,LEUK23 DNA P2 D28,232
2_H4,5_H9,LEUK23_D21,LEUK23 DNA P2 D28,224
2_H3,5_H8,LEUK23_D21,LEUK23 DNA P2 D28,216
2_H2,5_H6,LEUK23_D21,LEUK23 DNA P2 D28,208
2_H1,5_H5,LEUK23_D21,LEUK23 DNA P2 D28,200
2_G12,5_G12,LEUK23_D21,LEUK23 DNA P2 D28,287
2_G11,5_G11,LEUK23_D21,LEUK23 DNA P2 D28,279
2_G10,5_G6,LEUK23_D21,LEUK23 DNA P2 D28,271
2_G9,5_G5,LEUK23_D21,LEUK23 DNA P2 D28,263
2_G8,5_G3,LEUK23_D21,LEUK23 DNA P2 D28,255
2_G7,5_G2,LEUK23_D21,LEUK23 DNA P2 D28,247
2_G6,5_F12,LEUK23_D21,LEUK23 DNA P2 D28,239
2_G5,5_F10,LEUK23_D21,LEUK23 DNA P2 D28,231
2_G4,5_F2,LEUK23_D21,LEUK23 DNA P2 D28,223
2_G3,5_F1,LEUK23_D21,LEUK23 DNA P2 D28,215
2_G2,5_E10,LEUK23_D21,LEUK23 DNA P2 D28,207
2_G1,5_E9,LEUK23_D21,LEUK23 DNA P2 D28,199
