PLATE1,1,2,3,4,5,6,7,8,9,10,11,12
A,4_A8,4_A10,6_C3,7_D11,7_F1,8_E2,Neg Ctrl,Pos Ctrl,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
PLATE2,1,2,3,4,5,6,7,8,9,10,11,12
A,1_A4,1_B7,1_B11,1_C3,1_C4,1_C5,1_C7,1_C9,1_D3,1_E3,1_E7,1_E8
B,1_G2,1_G3,1_G7,1_H12,2_A3,2_D5,2_D9,2_D10,2_E5,2_E6,2_E10,2_F3
C,2_F7,2_G3,2_G4,2_G9,2_G12,2_H3,2_H5,2_H6,3_A8,3_B11,3_C2,3_D10
D,3_E9,3_H7,3_H8,4_A7,4_B3,4_B6,4_B7,4_B12,4_C8,4_D4,4_F7,4_F10
E,4_G1,4_G9,4_H4,5_A1,5_A2,5_A3,5_A11,5_B2,5_B10,5_C2,5_C9,5_C10
F,5_C11,5_C12,5_D5,5_D8,5_D11,5_E1,5_E4,5_E5,5_E8,5_F1,5_F2,5_F10
G,5_F12,5_G2,5_G3,5_G5,5_G6,5_G11,5_G12,5_H5,5_H6,5_H8,5_H9,5_H11
H,5_H12,6_A5,6_A6,6_B1,6_B2,6_B8,6_B12,6_C7,6_C9,6_C10,6_C11,6_D1
,,,,,,,,,,,,
PLATE3,1,2,3,4,5,6,7,8,9,10,11,12
A,6_D6,6_E4,6_E9,6_E12,6_F2,6_F4,6_F6,6_G2,6_G4,6_G5,6_G10,6_G11
B,6_H2,6_H8,7_B10,7_C7,7_F8,7_H7,8_A3,8_A12,8_B3,8_C5,8_C6,8_C10
C,8_D2,8_D11,8_D12,8_E6,8_E10,8_E11,8_E12,8_F1,8_F2,8_F8,8_F9,8_F10
D,8_G2,8_G6,8_G11,8_H1,8_H3,8_H5,8_H7,8_H10,9_A1,9_A3,9_A8,9_B2
E,9_B6,9_B7,9_C1,9_C2,9_C3,9_C4,9_C5,9_C8,9_D1,9_D8,9_D11,9_D12
F,9_E3,9_E6,9_E9,9_F2,9_F4,9_F5,9_F6,9_F9,9_F11,9_G4,9_G5,9_G6
G,9_G9,9_H1,9_H3,9_H7,9_H11,10_A3,10_A9,10_A10,10_B2,10_B4,10_B5,10_B6
H,10_B10,10_B12,10_C1,10_D2,10_D8,10_F1,10_F4,10_G8,10_G9,11_A7,11_A8,11_A9
,,,,,,,,,,,,
PLATE4,1,2,3,4,5,6,7,8,9,10,11,12
A,11_B1,11_C6,11_D4,11_D6,11_D12,11_E2,11_E4,11_G9,11_G10,11_H3,11_H4,11_H9
B,12_C2,12_C3,12_C4,12_D1,12_D5,12_E3,12_E4,12_E6,12_E8,12_E11,12_E12,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
