Plate_well,variable,Sort_id
plate1_A01,PLATE1,4_A8
plate1_A02,PLATE1,4_A10
plate1_A03,PLATE1,6_C3
plate1_A04,PLATE1,7_D11
plate1_A05,PLATE1,7_F1
plate1_A06,PLATE1,8_E2
plate1_A07,PLATE1,Neg Ctrl
plate1_A08,PLATE1,Pos Ctrl
plate2_A01,PLATE2,1_A4
plate2_A02,PLATE2,1_B7
plate2_A03,PLATE2,1_B11
plate2_A04,PLATE2,1_C3
plate2_A05,PLATE2,1_C4
plate2_A06,PLATE2,1_C5
plate2_A07,PLATE2,1_C7
plate2_A08,PLATE2,1_C9
plate2_A09,PLATE2,1_D3
plate2_A10,PLATE2,1_E3
plate2_A11,PLATE2,1_E7
plate2_A12,PLATE2,1_E8
plate2_B01,PLATE2,1_G2
plate2_B02,PLATE2,1_G3
plate2_B03,PLATE2,1_G7
plate2_B04,PLATE2,1_H12
plate2_B05,PLATE2,2_A3
plate2_B06,PLATE2,2_D5
plate2_B07,PLATE2,2_D9
plate2_B08,PLATE2,2_D10
plate2_B09,PLATE2,2_E5
plate2_B10,PLATE2,2_E6
plate2_B11,PLATE2,2_E10
plate2_B12,PLATE2,2_F3
plate2_C01,PLATE2,2_F7
plate2_C02,PLATE2,2_G3
plate2_C03,PLATE2,2_G4
plate2_C04,PLATE2,2_G9
plate2_C05,PLATE2,2_G12
plate2_C06,PLATE2,2_H3
plate2_C07,PLATE2,2_H5
plate2_C08,PLATE2,2_H6
plate2_C09,PLATE2,3_A8
plate2_C10,PLATE2,3_B11
plate2_C11,PLATE2,3_C2
plate2_C12,PLATE2,3_D10
plate2_D01,PLATE2,3_E9
plate2_D02,PLATE2,3_H7
plate2_D03,PLATE2,3_H8
plate2_D04,PLATE2,4_A7
plate2_D05,PLATE2,4_B3
plate2_D06,PLATE2,4_B6
plate2_D07,PLATE2,4_B7
plate2_D08,PLATE2,4_B12
plate2_D09,PLATE2,4_C8
plate2_D10,PLATE2,4_D4
plate2_D11,PLATE2,4_F7
plate2_D12,PLATE2,4_F10
plate2_E01,PLATE2,4_G1
plate2_E02,PLATE2,4_G9
plate2_E03,PLATE2,4_H4
plate2_E04,PLATE2,5_A1
plate2_E05,PLATE2,5_A2
plate2_E06,PLATE2,5_A3
plate2_E07,PLATE2,5_A11
plate2_E08,PLATE2,5_B2
plate2_E09,PLATE2,5_B10
plate2_E10,PLATE2,5_C2
plate2_E11,PLATE2,5_C9
plate2_E12,PLATE2,5_C10
plate2_F01,PLATE2,5_C11
plate2_F02,PLATE2,5_C12
plate2_F03,PLATE2,5_D5
plate2_F04,PLATE2,5_D8
plate2_F05,PLATE2,5_D11
plate2_F06,PLATE2,5_E1
plate2_F07,PLATE2,5_E4
plate2_F08,PLATE2,5_E5
plate2_F09,PLATE2,5_E8
plate2_F10,PLATE2,5_F1
plate2_F11,PLATE2,5_F2
plate2_F12,PLATE2,5_F10
plate2_G01,PLATE2,5_F12
plate2_G02,PLATE2,5_G2
plate2_G03,PLATE2,5_G3
plate2_G04,PLATE2,5_G5
plate2_G05,PLATE2,5_G6
plate2_G06,PLATE2,5_G11
plate2_G07,PLATE2,5_G12
plate2_G08,PLATE2,5_H5
plate2_G09,PLATE2,5_H6
plate2_G10,PLATE2,5_H8
plate2_G11,PLATE2,5_H9
plate2_G12,PLATE2,5_H11
plate2_H01,PLATE2,5_H12
plate2_H02,PLATE2,6_A5
plate2_H03,PLATE2,6_A6
plate2_H04,PLATE2,6_B1
plate2_H05,PLATE2,6_B2
plate2_H06,PLATE2,6_B8
plate2_H07,PLATE2,6_B12
plate2_H08,PLATE2,6_C7
plate2_H09,PLATE2,6_C9
plate2_H10,PLATE2,6_C10
plate2_H11,PLATE2,6_C11
plate2_H12,PLATE2,6_D1
plate3_A01,PLATE3,6_D6
