Sort_id,FSC-A,FSC-W,SSC-A,CD33,CD45RA,CD34,CD90,CD49f,CD38,CD19,Live/Dead,CD7/10,CD45,Time,Cell_seeded
1_A1,76064,87154,14249,63,14,1385,-26,1125,-44,1,-50,324,1503,609,HSC
1_A2,62512,87502,12352,-74,38,970,-16,1236,-103,20,-55,232,1927,893,HSC
1_A3,74099,86004,14698,70,13,1372,173,746,-22,17,-25,493,1943,1154,HSC
1_A4,67772,85498,13768,51,4,899,46,752,-89,26,-31,324,2106,1494,HSC
1_A5,59322,87593,23462,-27,30,1622,79,628,-96,21,-57,574,3217,1752,HSC
1_A6,69547,84409,13212,101,29,1789,273,126,69,28,-69,325,1323,2148,HSC
1_A7,73394,86521,12108,-5,-36,843,-64,1721,-113,30,-82,230,1560,2734,HSC
1_A8,75929,86877,17307,385,-5,1485,90,1189,51,14,-79,309,3273,2972,HSC
1_A9,76257,87418,26044,13,4,1027,29,383,76,27,-7,556,2287,3189,HSC
1_A10,75418,87148,14574,326,28,1813,70,3338,-153,35,-109,809,935,3402,HSC
1_A11,80399,94130,18248,164,25,1716,594,1335,-192,5,-64,388,1888,3618,HSC
1_A12,74338,90615,16401,109,32,1060,-10,1281,-37,46,3,419,2189,3829,HSC
1_B1,71312,88908,13524,20,5,1303,277,2197,20,27,-65,330,2007,6419,HSC
1_B2,67487,90573,12048,61,33,1245,-53,1182,-157,34,-23,447,2389,6227,HSC
1_B3,76815,89182,13847,127,-13,968,425,1270,20,46,-55,304,1992,6020,HSC
1_B4,60868,83561,17837,0,9,1966,-75,716,-308,2,-45,287,1789,5820,HSC
1_B5,68468,84194,14990,114,19,1084,120,1091,18,30,-10,330,1807,5628,HSC
1_B6,61849,82553,10722,99,20,1566,-2,975,-23,40,-44,297,1178,5433,HSC
1_B7,66698,82217,18129,338,33,1176,125,2097,0,-7,-55,303,1613,5234,HSC
1_B8,65842,84225,12671,137,21,1282,-16,1973,-45,25,0,350,2039,5028,HSC
1_B9,72586,88171,15103,70,0,1668,28,441,-160,31,-36,336,3007,4823,HSC
1_B10,75924,89932,15473,247,43,1254,19,1486,-84,47,14,377,2218,4624,HSC
1_B11,80176,88050,16212,136,11,1096,9,554,-46,-1,-40,463,2290,4332,HSC
1_B12,72545,87378,13875,30,18,1220,53,1003,-24,20,24,405,2545,4103,HSC
