Plate_well,exp,fcs.name,SingleCells.count,NonEry.count,CD56neg.count,CD14neg.count,IntermediateNeut.count,IntermediateNeut.freq.of.CD14neg,MatureNeut.count,MatureNeut.freq.of.CD14neg,MatureNeut.FSC.A,MatureNeut.SSC.A,EarlyNeut.count,EarlyNeut.freq.of.CD14neg,Mono.count,Mono.freq.of.NonEry,Mono.freq.of.CD56neg,Mono.CD11b.Median,Mono.CD14.Median,Mono.FSC.A,Mono.SSC.A,Mono2.count,Mono2.freq.of.NonEry,Mono2.freq.of.CD56neg,Mono2.CD11b.Median,Mono2.CD14.Median,Mono2.FSC.A,Mono2.SSC.A,Ery.count,IntermediateNeut.FSC.A,IntermediateNeut.SSC.A,EarlyNeut.FSC.A,EarlyNeut.SSC.A,CD66bNeut.CD11b.Median,CD66bNeut.CD66b.Median,CD66bNeut.FSC.A,CD66bNeut.SSC.A,TrueFalse,Sort_id,FSC-A,FSC-W,SSC-A,CD33,CD45RA,CD34,CD90,CD49f,CD38,CD19,Live/Dead,CD7/10,CD45,Time,Cell_seeded
1_A1,AML3,AML_151044_Plate1_A1_A01_001.fcs,2043,2042,2033,1028,233,22.7,724,70.4,164672,58048,4,0.39,510,25,25.1,2206,5812,175616,68672,456,22.3,22.4,2202,6616,175744,69760,0,153728,44672,75968,19456,1467,20009,161536,55040,TRUE,1_A1,76064,87154,14249,63,14,1385,-26,1125,-44,1,-50,324,1503,609,HSC
1_A2,AML3,AML_151044_Plate1_A2_A02_002.fcs,39216,37773,37549,20158,52,0.26,11,0.055,222464,57344,8405,41.7,8496,22.5,22.6,2314,3305,205568,79488,8493,22.5,22.6,2314,3305,205568,79488,6,183104,41280,173760,46592,1884,5462,141120,57344,TRUE,1_A2,62512,87502,12352,-74,38,970,-16,1236,-103,20,-55,232,1927,893,HSC
1_A3,AML3,AML_151044_Plate1_A3_A03_003.fcs,7803,7678,7541,2162,1050,48.6,128,5.92,225216,56768,567,26.2,4761,62,63.1,6120,5093,262080,156544,4753,61.9,63,6107,5103,262080,156544,0,189824,41728,176832,51136,786,9652,192384,44096,TRUE,1_A3,74099,86004,14698,70,13,1372,173,746,-22,17,-25,493,1943,1154,HSC
1_A4,AML3,AML_151044_Plate1_A4_A04_004.fcs,12519,12483,12457,7538,283,3.75,44,0.58,227008,63104,5633,74.7,4032,32.3,32.4,3366,6404,179776,73088,4031,32.3,32.4,3366,6404,179776,73088,0,193728,46464,184320,47680,1053,3921,212160,57792,TRUE,1_A4,67772,85498,13768,51,4,899,46,752,-89,26,-31,324,2106,1494,HSC
1_A5,AML3,AML_151044_Plate1_A5_A05_005.fcs,583,332,308,305,1,0.33,0,0,NA,NA,2,0.66,2,0.6,0.65,2975,5568,146112,76352,2,0.6,0.65,2975,5568,146112,76352,12,186816,37568,162560,54464,968,15489,186816,37568,TRUE,1_A5,59322,87593,23462,-27,30,1622,79,628,-96,21,-57,574,3217,1752,HSC
1_A6,AML3,AML_151044_Plate1_A6_A06_006.fcs,73,72,71,45,24,53.3,8,17.8,135040,58688,9,20,14,19.4,19.7,7921,10723,211520,161920,13,18.1,18.3,8562,11854,215808,172992,0,151872,63808,144512,65856,745,15893,149184,63808,TRUE,1_A6,69547,84409,13212,101,29,1789,273,126,69,28,-69,325,1323,2148,HSC
1_A7,AML3,AML_151044_Plate1_A7_A07_007.fcs,1425,222,205,73,0,0,0,0,NA,NA,1,1.37,11,4.95,5.37,2634,2744,262080,262080,9,4.05,4.39,2480,3894,262080,262080,27,NA,NA,262080,170752,-401,10638,262080,262080,TRUE,1_A7,73394,86521,12108,-5,-36,843,-64,1721,-113,30,-82,230,1560,2734,HSC
1_A8,AML3,AML_151044_Plate1_A8_A08_008.fcs,58,16,14,11,0,0,0,0,NA,NA,0,0,1,6.25,7.14,4091,1202,262080,262080,0,0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1_A8,75929,86877,17307,385,-5,1485,90,1189,51,14,-79,309,3273,2972,HSC
1_A10,AML3,AML_151044_Plate1_A10_A10_009.fcs,388,57,23,12,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1_A10,75418,87148,14574,326,28,1813,70,3338,-153,35,-109,809,935,3402,HSC
1_A11,AML3,AML_151044_Plate1_A11_A11_010.fcs,13019,12943,12675,7116,53,0.74,10,0.14,218368,62784,3509,49.3,3929,30.4,31,3113,4024,230528,102336,3928,30.3,31,3107,4024,230528,102272,0,185152,47040,192256,52288,1332,3113,218432,64640,TRUE,1_A11,80399,94130,18248,164,25,1716,594,1335,-192,5,-64,388,1888,3618,HSC
1_A12,AML3,AML_151044_Plate1_A12_A12_011.fcs,3690,3666,3445,2479,90,3.63,194,7.83,190784,64064,394,15.9,752,20.5,21.8,3761,6474,220608,98240,750,20.5,21.8,3761,6488,220288,98176,0,169664,47808,176320,55744,1655,4722,196288,69760,TRUE,1_A12,74338,90615,16401,109,32,1060,-10,1281,-37,46,3,419,2189,3829,HSC
1_B1,AML3,AML_151044_Plate1_B1_B01_012.fcs,7864,7839,7642,6041,11,0.18,1,0.017,191104,115392,456,7.55,619,7.9,8.1,2002,6911,180288,64576,614,7.83,8.03,1998,6926,179904,64192,0,173376,58176,166720,43776,2670,6250,96576,62976,TRUE,1_B1,71312,88908,13524,20,5,1303,277,2197,20,27,-65,330,2007,6419,HSC
1_B2,AML3,AML_151044_Plate1_B2_B02_013.fcs,16292,16220,16211,11330,125,1.1,20,0.18,237376,61888,10118,89.3,3679,22.7,22.7,3448,3170,204672,82560,3679,22.7,22.7,3448,3170,204672,82560,0,206720,47360,194240,44736,1181,3136,229248,60160,TRUE,1_B2,67487,90573,12048,61,33,1245,-53,1182,-157,34,-23,447,2389,6227,HSC
1_B3,AML3,AML_151044_Plate1_B3_B03_014.fcs,4251,4231,3880,1246,3,0.24,2,0.16,40576,29120,77,6.18,2290,54.1,59,4672,3525,243200,110656,2283,54,58.8,4662,3525,243200,110592,0,188480,50816,168448,44480,2544,6753,81024,52224,TRUE,1_B3,76815,89182,13847,127,-13,968,425,1270,20,46,-55,304,1992,6020,HSC
1_B5,AML3,AML_151044_Plate1_B5_B05_015.fcs,13943,13439,13223,4173,3,0.072,1,0.024,154560,45504,1446,34.7,6365,47.4,48.1,4343,3469,257728,123136,6362,47.3,48.1,4343,3469,257600,123072,9,149056,46656,159424,47104,2490,6575,83392,56448,TRUE,1_B5,68468,84194,14990,114,19,1084,120,1091,18,30,-10,330,1807,5628,HSC
