Well,Time,FSC-A,FSC-W,SSC-A,640 670/30-A,640 730/45-A,640 780/60-A,561 582/15-A,561 670/14-A,561 780/60-A,488 530/30-A,V405 450/50-A,V405 525/50-A,V405 780/60-A
A1,688.0999756,56773.71094,93539.53125,12397.02051,1092.099976,219.0900116,1278.359985,575.0999756,1164.599976,806.3999634,9.630000114,281.2600098,243.5399933,2374.719971
A2,911.7999878,62701.53125,85939.72656,10589.79004,647.2200317,204.3500061,1396.950073,126,636.2999878,639,13.9100008,250.0999908,298.480011,2191.859863
A3,1394.099976,52879.80078,88257.79688,8909.890625,1528.27002,397.980011,2590.219971,226.7999878,1967.399902,1141.199951,14.9800005,343.5799866,415.7399902,3754.780029
A4,1806.400024,53281.55859,84419.89063,11207.18066,1947.02002,485.0800171,3244.140137,528.2999878,2222.099854,1646.099976,6.420000076,249.2799988,202.5399933,3137.320068
A5,2036.5,58907.12891,85525.55469,10927.91016,572.8500366,197.6500092,1538.98999,293.3999939,397.7999878,803.6999512,-4.28000021,239.4400024,251.7399902,2064.76001
A6,2294.399902,62086.80078,88711.28906,12781.15039,1304.48999,351.75,2041.48999,244.7999878,1886.399902,986.3999634,37.45000076,328.8200073,451,3251.300049
A7,2535,63256.74219,89410.21875,10997.46094,639.1799927,190.2799988,1266.300049,-3.599999905,652.5,674.0999756,-4.28000021,226.3199921,286.1799927,1621.140015
A8,2758.800049,58986.17969,86959.96875,11629.83105,1639.48999,347.0599976,1943,317.6999817,3159.899902,998.0999756,73.83000183,319.7999878,346.0400085,2793.73999
A9,3035.199951,65780.75781,90109.27344,10644.36035,1417.050049,346.3900146,2312.170166,234,2049.300049,1125.900024,3.210000038,232.8800049,405.8999939,1872.880005
A10,3309.300049,58305.42188,90952.6875,13721.68066,1285.060059,379.2200012,2247.180176,213.2999878,1995.299927,1144.799927,59.92000198,714.2199707,730.6199951,3972.080078
A11,3507.300049,67101.35938,89127.57813,14434.30078,1797.609985,404.0100098,2386.540039,167.3999939,3476.699951,1252.799927,20.33000183,351.7799988,414.9199829,3150.439941
A12,3763.300049,62150.96875,87644.99219,13319.36035,844.8699951,238.5200043,1624.080078,221.3999939,1347.299927,1016.099976,12.84000015,253.3800049,266.5,2268.119873
B1,4055.899902,58760.19141,85440.92969,13184.54102,776.5300293,245.8899994,1551.050049,134.0999908,617.3999634,918.8999634,23.54000092,266.5,300.1199951,2159.060059
B2,4373.700195,55663.28906,87585.8125,12718.02051,1246.869995,385.25,2781.170166,269.1000061,1400.399902,1239.299927,-3.210000038,367.3599854,297.6600037,4592.819824
B3,4624.100098,60706.67969,86099.22656,10161.79004,933.9800415,203.0100098,1266.969971,84.59999847,1693.799927,639,-4.28000021,98.40000153,243.5399933,827.3800049
B4,4872.799805,63898.44141,89095.10938,11064.87012,1620.060059,355.7700195,2187.550049,333,3337.199951,1245.599976,32.10000229,228.7799988,266.5,1776.939941
B5,5138.799805,60991.26172,87197.28125,13278.7002,1230.790039,338.3500061,2143.330078,365.3999939,1701,1190.699951,17.12000084,246.8199921,346.8599854,2477.219971
B6,5466.5,61822.67969,87236.49219,11971.16016,1599.960083,302.8399963,1772.820068,77.40000153,2864.699951,990.8999634,9.630000114,392.7799988,365.7200012,3221.780029
B7,5709.299805,68728.85938,94194.95313,15990.08105,1939.650024,438.8500061,2674.640137,2059.199951,3653.099854,1624.5,69.55000305,337.8399963,466.5799866,3095.5
B8,5949.200195,60928.94922,88183.5625,13089.31055,1179.200073,322.9400024,2126.580078,135,1727.099976,1108.799927,49.22000122,364.0799866,378.8399963,3844.97998
B9,6180.100098,61517.64063,87790.875,12694.48047,1054.580078,306.1900024,2114.52002,224.0999908,1217.699951,926.0999756,38.52000046,273.8800049,328.8200073,2652.699951
B10,6414.799805,73946.16406,94788.09375,15578.13086,2016.030029,501.1600037,3172.450195,1584.899902,2846.699951,1615.5,-5.350000381,348.5,282.8999939,2707.639893
B11,6864.600098,66827.9375,91132.29688,12371.34082,1538.320068,294.1300049,1511.52002,405.8999939,3012.299805,968.3999634,36.38000107,305.0400085,379.6600037,2899.52002
B12,7080.100098,62621.55078,88168.21875,9679.220703,600.3200073,158.1200104,1060.609985,-14.39999962,1043.099976,511.1999817,17.12000084,188.5999908,206.6399994,1635.900024
C1,7353.100098,57615.35938,84860.78125,10067.63086,1981.860107,335.6700134,1534.970093,65.69999695,4410,946.7999878,39.59000015,231.2400055,200.8999939,2176.280029
C2,7728.100098,63990.51172,93427.55469,13752.71094,3249.5,326.960022,576.8699951,197.0999908,8851.5,859.5,58.85000229,96.76000214,278.7999878,499.3800049
C3,8067.5,69274.77344,93972.34375,12409.86035,1638.150024,432.8200073,2696.080078,429.2999878,2105.099854,1428.299927,28.8900013,346.0400085,349.3200073,3224.23999
C4,8321.700195,69742.5625,95200.03125,15057.04102,1592.590088,345.7200012,1741.330078,38.70000076,3263.399902,1003.5,14.9800005,206.6399994,355.0599976,2107.399902
C5,8547.400391,66827.00781,91178.45313,10166.07031,845.5400391,196.980011,1232.800049,527.3999634,1083.599976,681.2999878,33.17000198,282.0799866,345.2200012,2204.97998
C6,8922.400391,49778.25,85594.60938,9498.390625,917.2300415,148.0700073,872.3400269,171,1676.699951,619.2000122,18.19000053,169.7400055,243.5399933,1506.339966
C7,9182,67475.21875,94759.69531,10235.62012,847.5500488,201.6699982,1189.25,237.5999908,1258.199951,858.5999756,38.52000046,185.3199921,305.8599854,753.5800171
C8,9465.299805,60254.69922,85277.32813,10331.9209,1156.420044,243.2100067,1266.969971,97.19999695,2286,878.3999634,4.28000021,218.9400024,282.8999939,1407.119995
C9,9782.200195,52176.71875,82930.02344,9804.410156,615.0599976,128.6399994,850.9000244,45.89999771,919.7999878,414.8999939,32.10000229,44.27999878,232.8800049,508.3999939
C10,10071.7002,55414.98047,90615.20313,11099.11035,1270.320068,237.1800079,1269.650024,1136.699951,2526.300049,800.0999756,13.9100008,233.6999969,217.3000031,2318.959961
C11,10340.5,66538.71094,88714.67969,11680.12012,812.0400391,153.4300079,1035.150024,282.6000061,1260,598.5,13.9100008,222.2200012,303.3999939,2121.340088
C12,10563,66807.48438,92868.70313,11270.31055,1851.880005,345.0500183,1857.910034,279.8999939,3362.399902,1093.5,38.52000046,241.8999939,364.0799866,2182.02002
D1,10793.2998,63037.26172,90493.52344,15481.83105,1152.400024,337.0100098,2131.939941,17.10000038,1527.299927,1083.599976,38.52000046,421.480011,379.6600037,4549.359863
D2,11223.59961,55729.32031,91678.22656,13522.66113,521.2600098,140.0299988,1136.98999,116.0999985,355.5,685.7999878,21.40000153,200.0800018,218.1199951,1783.5
