Well,All Events #Events,All Events %Parent,All Events FSC-A Mean,All Events FSC-A Median,All Events FSC-W Mean,All Events FSC-W Median,All Events SSC-A Mean,All Events SSC-A Median,All Events CD33 640 670/30-A Mean,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Mean,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Mean,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Mean,All Events CD90 561 582/15-A Median,All Events CD49f 561 670/14-A Mean,All Events CD49f 561 670/14-A Median,All Events CD38 561 780/60-A Mean,All Events CD38 561 780/60-A Median,All Events Lineage 488 530/30-A Mean,All Events Lineage 488 530/30-A Median,All Events CD7_CD10 V405 450/50-A Mean,All Events CD7_CD10 V405 450/50-A Median,All Events Live V405 525/50-A Mean,All Events Live V405 525/50-A Median,All Events CD45 V405 780/60-A Mean,All Events CD45 V405 780/60-A Median,All Events Time Mean,All Events Time Median,Cells #Events,Cells %Parent,Cells FSC-A Mean,Cells FSC-A Median,Cells FSC-W Mean,Cells FSC-W Median,Cells SSC-A Mean,Cells SSC-A Median,Cells CD33 640 670/30-A Mean,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Mean,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Mean,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Mean,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Mean,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Mean,Cells CD38 561 780/60-A Median,Cells Lineage 488 530/30-A Mean,Cells Lineage 488 530/30-A Median,Cells CD7_CD10 V405 450/50-A Mean,Cells CD7_CD10 V405 450/50-A Median,Cells Live V405 525/50-A Mean,Cells Live V405 525/50-A Median,Cells CD45 V405 780/60-A Mean,Cells CD45 V405 780/60-A Median,Cells Time Mean,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Mean,Singlets FSC-A Median,Singlets FSC-W Mean,Singlets FSC-W Median,Singlets SSC-A Mean,Singlets SSC-A Median,Singlets CD33 640 670/30-A Mean,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Mean,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Mean,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Mean,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Mean,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Mean,Singlets CD38 561 780/60-A Median,Singlets Lineage 488 530/30-A Mean,Singlets Lineage 488 530/30-A Median,Singlets CD7_CD10 V405 450/50-A Mean,Singlets CD7_CD10 V405 450/50-A Median,Singlets Live V405 525/50-A Mean,Singlets Live V405 525/50-A Median,Singlets CD45 V405 780/60-A Mean,Singlets CD45 V405 780/60-A Median,Singlets Time Mean,Singlets Time Median,Live #Events,Live %Parent,Live FSC-A Mean,Live FSC-A Median,Live FSC-W Mean,Live FSC-W Median,Live SSC-A Mean,Live SSC-A Median,Live CD33 640 670/30-A Mean,Live CD33 640 670/30-A Median,Live CD45RA 640 730/45-A Mean,Live CD45RA 640 730/45-A Median,Live CD34 640 780/60-A Mean,Live CD34 640 780/60-A Median,Live CD90 561 582/15-A Mean,Live CD90 561 582/15-A Median,Live CD49f 561 670/14-A Mean,Live CD49f 561 670/14-A Median,Live CD38 561 780/60-A Mean,Live CD38 561 780/60-A Median,Live Lineage 488 530/30-A Mean,Live Lineage 488 530/30-A Median,Live CD7_CD10 V405 450/50-A Mean,Live CD7_CD10 V405 450/50-A Median,Live Live V405 525/50-A Mean,Live Live V405 525/50-A Median,Live CD45 V405 780/60-A Mean,Live CD45 V405 780/60-A Median,Live Time Mean,Live Time Median,Lin- #Events,Lin- %Parent,Lin- FSC-A Mean,Lin- FSC-A Median,Lin- FSC-W Mean,Lin- FSC-W Median,Lin- SSC-A Mean,Lin- SSC-A Median,Lin- CD33 640 670/30-A Mean,Lin- CD33 640 670/30-A Median,Lin- CD45RA 640 730/45-A Mean,Lin- CD45RA 640 730/45-A Median,Lin- CD34 640 780/60-A Mean,Lin- CD34 640 780/60-A Median,Lin- CD90 561 582/15-A Mean,Lin- CD90 561 582/15-A Median,Lin- CD49f 561 670/14-A Mean,Lin- CD49f 561 670/14-A Median,Lin- CD38 561 780/60-A Mean,Lin- CD38 561 780/60-A Median,Lin- Lineage 488 530/30-A Mean,Lin- Lineage 488 530/30-A Median,Lin- CD7_CD10 V405 450/50-A Mean,Lin- CD7_CD10 V405 450/50-A Median,Lin- Live V405 525/50-A Mean,Lin- Live V405 525/50-A Median,Lin- CD45 V405 780/60-A Mean,Lin- CD45 V405 780/60-A Median,Lin- Time Mean,Lin- Time Median,CD33- #Events,CD33- %Parent,CD33- FSC-A Mean,CD33- FSC-A Median,CD33- FSC-W Mean,CD33- FSC-W Median,CD33- SSC-A Mean,CD33- SSC-A Median,CD33- CD33 640 670/30-A Mean,CD33- CD33 640 670/30-A Median,CD33- CD45RA 640 730/45-A Mean,CD33- CD45RA 640 730/45-A Median,CD33- CD34 640 780/60-A Mean,CD33- CD34 640 780/60-A Median,CD33- CD90 561 582/15-A Mean,CD33- CD90 561 582/15-A Median,CD33- CD49f 561 670/14-A Mean,CD33- CD49f 561 670/14-A Median,CD33- CD38 561 780/60-A Mean,CD33- CD38 561 780/60-A Median,CD33- Lineage 488 530/30-A Mean,CD33- Lineage 488 530/30-A Median,CD33- CD7_CD10 V405 450/50-A Mean,CD33- CD7_CD10 V405 450/50-A Median,CD33- Live V405 525/50-A Mean,CD33- Live V405 525/50-A Median,CD33- CD45 V405 780/60-A Mean,CD33- CD45 V405 780/60-A Median,CD33- Time Mean,CD33- Time Median,CD34+/CD45+ #Events,CD34+/CD45+ %Parent,CD34+/CD45+ FSC-A Mean,CD34+/CD45+ FSC-A Median,CD34+/CD45+ FSC-W Mean,CD34+/CD45+ FSC-W Median,CD34+/CD45+ SSC-A Mean,CD34+/CD45+ SSC-A Median,CD34+/CD45+ CD33 640 670/30-A Mean,CD34+/CD45+ CD33 640 670/30-A Median,CD34+/CD45+ CD45RA 640 730/45-A Mean,CD34+/CD45+ CD45RA 640 730/45-A Median,CD34+/CD45+ CD34 640 780/60-A Mean,CD34+/CD45+ CD34 640 780/60-A Median,CD34+/CD45+ CD90 561 582/15-A Mean,CD34+/CD45+ CD90 561 582/15-A Median,CD34+/CD45+ CD49f 561 670/14-A Mean,CD34+/CD45+ CD49f 561 670/14-A Median,CD34+/CD45+ CD38 561 780/60-A Mean,CD34+/CD45+ CD38 561 780/60-A Median,CD34+/CD45+ Lineage 488 530/30-A Mean,CD34+/CD45+ Lineage 488 530/30-A Median,CD34+/CD45+ CD7_CD10 V405 450/50-A Mean,CD34+/CD45+ CD7_CD10 V405 450/50-A Median,CD34+/CD45+ Live V405 525/50-A Mean,CD34+/CD45+ Live V405 525/50-A Median,CD34+/CD45+ CD45 V405 780/60-A Mean,CD34+/CD45+ CD45 V405 780/60-A Median,CD34+/CD45+ Time Mean,CD34+/CD45+ Time Median,CD34+/CD38- #Events,CD34+/CD38- %Parent,CD34+/CD38- FSC-A Mean,CD34+/CD38- FSC-A Median,CD34+/CD38- FSC-W Mean,CD34+/CD38- FSC-W Median,CD34+/CD38- SSC-A Mean,CD34+/CD38- SSC-A Median,CD34+/CD38- CD33 640 670/30-A Mean,CD34+/CD38- CD33 640 670/30-A Median,CD34+/CD38- CD45RA 640 730/45-A Mean,CD34+/CD38- CD45RA 640 730/45-A Median,CD34+/CD38- CD34 640 780/60-A Mean,CD34+/CD38- CD34 640 780/60-A Median,CD34+/CD38- CD90 561 582/15-A Mean,CD34+/CD38- CD90 561 582/15-A Median,CD34+/CD38- CD49f 561 670/14-A Mean,CD34+/CD38- CD49f 561 670/14-A Median,CD34+/CD38- CD38 561 780/60-A Mean,CD34+/CD38- CD38 561 780/60-A Median,CD34+/CD38- Lineage 488 530/30-A Mean,CD34+/CD38- Lineage 488 530/30-A Median,CD34+/CD38- CD7_CD10 V405 450/50-A Mean,CD34+/CD38- CD7_CD10 V405 450/50-A Median,CD34+/CD38- Live V405 525/50-A Mean,CD34+/CD38- Live V405 525/50-A Median,CD34+/CD38- CD45 V405 780/60-A Mean,CD34+/CD38- CD45 V405 780/60-A Median,CD34+/CD38- Time Mean,CD34+/CD38- Time Median,CD90+ HSC #Events,CD90+ HSC %Parent,CD90+ HSC FSC-A Mean,CD90+ HSC FSC-A Median,CD90+ HSC FSC-W Mean,CD90+ HSC FSC-W Median,CD90+ HSC SSC-A Mean,CD90+ HSC SSC-A Median,CD90+ HSC CD33 640 670/30-A Mean,CD90+ HSC CD33 640 670/30-A Median,CD90+ HSC CD45RA 640 730/45-A Mean,CD90+ HSC CD45RA 640 730/45-A Median,CD90+ HSC CD34 640 780/60-A Mean,CD90+ HSC CD34 640 780/60-A Median,CD90+ HSC CD90 561 582/15-A Mean,CD90+ HSC CD90 561 582/15-A Median,CD90+ HSC CD49f 561 670/14-A Mean,CD90+ HSC CD49f 561 670/14-A Median,CD90+ HSC CD38 561 780/60-A Mean,CD90+ HSC CD38 561 780/60-A Median,CD90+ HSC Lineage 488 530/30-A Mean,CD90+ HSC Lineage 488 530/30-A Median,CD90+ HSC CD7_CD10 V405 450/50-A Mean,CD90+ HSC CD7_CD10 V405 450/50-A Median,CD90+ HSC Live V405 525/50-A Mean,CD90+ HSC Live V405 525/50-A Median,CD90+ HSC CD45 V405 780/60-A Mean,CD90+ HSC CD45 V405 780/60-A Median,CD90+ HSC Time Mean,CD90+ HSC Time Median
A1,1,,"146,682","146,682","90,963","90,963","85,587","85,587",79,79,151,151,"5,057","5,057","1,661","1,661","1,175","1,175",733,733,264,264,-13,-13,379,379,"1,851","1,851","2,760","2,760",1,100,"146,682","146,682","90,963","90,963","85,587","85,587",79,79,151,151,"5,057","5,057","1,661","1,661","1,175","1,175",733,733,264,264,-13,-13,379,379,"1,851","1,851","2,760","2,760",1,100,"146,682","146,682","90,963","90,963","85,587","85,587",79,79,151,151,"5,057","5,057","1,661","1,661","1,175","1,175",733,733,264,264,-13,-13,379,379,"1,851","1,851","2,760","2,760",1,100,"146,682","146,682","90,963","90,963","85,587","85,587",79,79,151,151,"5,057","5,057","1,661","1,661","1,175","1,175",733,733,264,264,-13,-13,379,379,"1,851","1,851","2,760","2,760",1,100,"146,682","146,682","90,963","90,963","85,587","85,587",79,79,151,151,"5,057","5,057","1,661","1,661","1,175","1,175",733,733,264,264,-13,-13,379,379,"1,851","1,851","2,760","2,760",1,100,"146,682","146,682","90,963","90,963","85,587","85,587",79,79,151,151,"5,057","5,057","1,661","1,661","1,175","1,175",733,733,264,264,-13,-13,379,379,"1,851","1,851","2,760","2,760",1,100,"146,682","146,682","90,963","90,963","85,587","85,587",79,79,151,151,"5,057","5,057","1,661","1,661","1,175","1,175",733,733,264,264,-13,-13,379,379,"1,851","1,851","2,760","2,760",1,100,"146,682","146,682","90,963","90,963","85,587","85,587",79,79,151,151,"5,057","5,057","1,661","1,661","1,175","1,175",733,733,264,264,-13,-13,379,379,"1,851","1,851","2,760","2,760",1,100,"146,682","146,682","90,963","90,963","85,587","85,587",79,79,151,151,"5,057","5,057","1,661","1,661","1,175","1,175",733,733,264,264,-13,-13,379,379,"1,851","1,851","2,760","2,760"
A2,1,,"105,031","105,031","86,677","86,677","98,987","98,987",56,56,94,94,"4,279","4,279","1,418","1,418","1,283","1,283",782,782,87,87,604,604,361,361,888,888,"3,146","3,146",1,100,"105,031","105,031","86,677","86,677","98,987","98,987",56,56,94,94,"4,279","4,279","1,418","1,418","1,283","1,283",782,782,87,87,604,604,361,361,888,888,"3,146","3,146",1,100,"105,031","105,031","86,677","86,677","98,987","98,987",56,56,94,94,"4,279","4,279","1,418","1,418","1,283","1,283",782,782,87,87,604,604,361,361,888,888,"3,146","3,146",1,100,"105,031","105,031","86,677","86,677","98,987","98,987",56,56,94,94,"4,279","4,279","1,418","1,418","1,283","1,283",782,782,87,87,604,604,361,361,888,888,"3,146","3,146",1,100,"105,031","105,031","86,677","86,677","98,987","98,987",56,56,94,94,"4,279","4,279","1,418","1,418","1,283","1,283",782,782,87,87,604,604,361,361,888,888,"3,146","3,146",1,100,"105,031","105,031","86,677","86,677","98,987","98,987",56,56,94,94,"4,279","4,279","1,418","1,418","1,283","1,283",782,782,87,87,604,604,361,361,888,888,"3,146","3,146",1,100,"105,031","105,031","86,677","86,677","98,987","98,987",56,56,94,94,"4,279","4,279","1,418","1,418","1,283","1,283",782,782,87,87,604,604,361,361,888,888,"3,146","3,146",1,100,"105,031","105,031","86,677","86,677","98,987","98,987",56,56,94,94,"4,279","4,279","1,418","1,418","1,283","1,283",782,782,87,87,604,604,361,361,888,888,"3,146","3,146",1,100,"105,031","105,031","86,677","86,677","98,987","98,987",56,56,94,94,"4,279","4,279","1,418","1,418","1,283","1,283",782,782,87,87,604,604,361,361,888,888,"3,146","3,146"
A3,1,,"154,867","154,867","94,970","94,970","119,172","119,172",144,144,212,212,"5,671","5,671","7,376","7,376","2,036","2,036",447,447,208,208,18,18,458,458,"2,568","2,568","4,397","4,397",1,100,"154,867","154,867","94,970","94,970","119,172","119,172",144,144,212,212,"5,671","5,671","7,376","7,376","2,036","2,036",447,447,208,208,18,18,458,458,"2,568","2,568","4,397","4,397",1,100,"154,867","154,867","94,970","94,970","119,172","119,172",144,144,212,212,"5,671","5,671","7,376","7,376","2,036","2,036",447,447,208,208,18,18,458,458,"2,568","2,568","4,397","4,397",1,100,"154,867","154,867","94,970","94,970","119,172","119,172",144,144,212,212,"5,671","5,671","7,376","7,376","2,036","2,036",447,447,208,208,18,18,458,458,"2,568","2,568","4,397","4,397",1,100,"154,867","154,867","94,970","94,970","119,172","119,172",144,144,212,212,"5,671","5,671","7,376","7,376","2,036","2,036",447,447,208,208,18,18,458,458,"2,568","2,568","4,397","4,397",1,100,"154,867","154,867","94,970","94,970","119,172","119,172",144,144,212,212,"5,671","5,671","7,376","7,376","2,036","2,036",447,447,208,208,18,18,458,458,"2,568","2,568","4,397","4,397",1,100,"154,867","154,867","94,970","94,970","119,172","119,172",144,144,212,212,"5,671","5,671","7,376","7,376","2,036","2,036",447,447,208,208,18,18,458,458,"2,568","2,568","4,397","4,397",1,100,"154,867","154,867","94,970","94,970","119,172","119,172",144,144,212,212,"5,671","5,671","7,376","7,376","2,036","2,036",447,447,208,208,18,18,458,458,"2,568","2,568","4,397","4,397",1,100,"154,867","154,867","94,970","94,970","119,172","119,172",144,144,212,212,"5,671","5,671","7,376","7,376","2,036","2,036",447,447,208,208,18,18,458,458,"2,568","2,568","4,397","4,397"
A4,1,,"134,994","134,994","88,813","88,813","87,620","87,620",273,273,55,55,"4,996","4,996","4,469","4,469","1,792","1,792",651,651,120,120,163,163,304,304,"1,769","1,769","8,162","8,162",1,100,"134,994","134,994","88,813","88,813","87,620","87,620",273,273,55,55,"4,996","4,996","4,469","4,469","1,792","1,792",651,651,120,120,163,163,304,304,"1,769","1,769","8,162","8,162",1,100,"134,994","134,994","88,813","88,813","87,620","87,620",273,273,55,55,"4,996","4,996","4,469","4,469","1,792","1,792",651,651,120,120,163,163,304,304,"1,769","1,769","8,162","8,162",1,100,"134,994","134,994","88,813","88,813","87,620","87,620",273,273,55,55,"4,996","4,996","4,469","4,469","1,792","1,792",651,651,120,120,163,163,304,304,"1,769","1,769","8,162","8,162",1,100,"134,994","134,994","88,813","88,813","87,620","87,620",273,273,55,55,"4,996","4,996","4,469","4,469","1,792","1,792",651,651,120,120,163,163,304,304,"1,769","1,769","8,162","8,162",1,100,"134,994","134,994","88,813","88,813","87,620","87,620",273,273,55,55,"4,996","4,996","4,469","4,469","1,792","1,792",651,651,120,120,163,163,304,304,"1,769","1,769","8,162","8,162",1,100,"134,994","134,994","88,813","88,813","87,620","87,620",273,273,55,55,"4,996","4,996","4,469","4,469","1,792","1,792",651,651,120,120,163,163,304,304,"1,769","1,769","8,162","8,162",1,100,"134,994","134,994","88,813","88,813","87,620","87,620",273,273,55,55,"4,996","4,996","4,469","4,469","1,792","1,792",651,651,120,120,163,163,304,304,"1,769","1,769","8,162","8,162",1,100,"134,994","134,994","88,813","88,813","87,620","87,620",273,273,55,55,"4,996","4,996","4,469","4,469","1,792","1,792",651,651,120,120,163,163,304,304,"1,769","1,769","8,162","8,162"
A5,1,,"83,721","83,721","88,677","88,677","106,805","106,805",25,25,51,51,"3,640","3,640",892,892,"1,101","1,101",693,693,164,164,97,97,293,293,"1,726","1,726","8,430","8,430",1,100,"83,721","83,721","88,677","88,677","106,805","106,805",25,25,51,51,"3,640","3,640",892,892,"1,101","1,101",693,693,164,164,97,97,293,293,"1,726","1,726","8,430","8,430",1,100,"83,721","83,721","88,677","88,677","106,805","106,805",25,25,51,51,"3,640","3,640",892,892,"1,101","1,101",693,693,164,164,97,97,293,293,"1,726","1,726","8,430","8,430",1,100,"83,721","83,721","88,677","88,677","106,805","106,805",25,25,51,51,"3,640","3,640",892,892,"1,101","1,101",693,693,164,164,97,97,293,293,"1,726","1,726","8,430","8,430",1,100,"83,721","83,721","88,677","88,677","106,805","106,805",25,25,51,51,"3,640","3,640",892,892,"1,101","1,101",693,693,164,164,97,97,293,293,"1,726","1,726","8,430","8,430",1,100,"83,721","83,721","88,677","88,677","106,805","106,805",25,25,51,51,"3,640","3,640",892,892,"1,101","1,101",693,693,164,164,97,97,293,293,"1,726","1,726","8,430","8,430",1,100,"83,721","83,721","88,677","88,677","106,805","106,805",25,25,51,51,"3,640","3,640",892,892,"1,101","1,101",693,693,164,164,97,97,293,293,"1,726","1,726","8,430","8,430",1,100,"83,721","83,721","88,677","88,677","106,805","106,805",25,25,51,51,"3,640","3,640",892,892,"1,101","1,101",693,693,164,164,97,97,293,293,"1,726","1,726","8,430","8,430",1,100,"83,721","83,721","88,677","88,677","106,805","106,805",25,25,51,51,"3,640","3,640",892,892,"1,101","1,101",693,693,164,164,97,97,293,293,"1,726","1,726","8,430","8,430"
A6,1,,"90,234","90,234","87,246","87,246","151,568","151,568",60,60,166,166,"3,370","3,370",591,591,"1,562","1,562",912,912,217,217,36,36,429,429,"1,610","1,610","9,889","9,889",1,100,"90,234","90,234","87,246","87,246","151,568","151,568",60,60,166,166,"3,370","3,370",591,591,"1,562","1,562",912,912,217,217,36,36,429,429,"1,610","1,610","9,889","9,889",1,100,"90,234","90,234","87,246","87,246","151,568","151,568",60,60,166,166,"3,370","3,370",591,591,"1,562","1,562",912,912,217,217,36,36,429,429,"1,610","1,610","9,889","9,889",1,100,"90,234","90,234","87,246","87,246","151,568","151,568",60,60,166,166,"3,370","3,370",591,591,"1,562","1,562",912,912,217,217,36,36,429,429,"1,610","1,610","9,889","9,889",1,100,"90,234","90,234","87,246","87,246","151,568","151,568",60,60,166,166,"3,370","3,370",591,591,"1,562","1,562",912,912,217,217,36,36,429,429,"1,610","1,610","9,889","9,889",1,100,"90,234","90,234","87,246","87,246","151,568","151,568",60,60,166,166,"3,370","3,370",591,591,"1,562","1,562",912,912,217,217,36,36,429,429,"1,610","1,610","9,889","9,889",1,100,"90,234","90,234","87,246","87,246","151,568","151,568",60,60,166,166,"3,370","3,370",591,591,"1,562","1,562",912,912,217,217,36,36,429,429,"1,610","1,610","9,889","9,889",1,100,"90,234","90,234","87,246","87,246","151,568","151,568",60,60,166,166,"3,370","3,370",591,591,"1,562","1,562",912,912,217,217,36,36,429,429,"1,610","1,610","9,889","9,889",1,100,"90,234","90,234","87,246","87,246","151,568","151,568",60,60,166,166,"3,370","3,370",591,591,"1,562","1,562",912,912,217,217,36,36,429,429,"1,610","1,610","9,889","9,889"
A7,1,,"82,143","82,143","84,379","84,379","119,710","119,710",285,285,185,185,"3,681","3,681","9,330","9,330","1,760","1,760",503,503,289,289,27,27,521,521,"2,893","2,893","10,842","10,842",1,100,"82,143","82,143","84,379","84,379","119,710","119,710",285,285,185,185,"3,681","3,681","9,330","9,330","1,760","1,760",503,503,289,289,27,27,521,521,"2,893","2,893","10,842","10,842",1,100,"82,143","82,143","84,379","84,379","119,710","119,710",285,285,185,185,"3,681","3,681","9,330","9,330","1,760","1,760",503,503,289,289,27,27,521,521,"2,893","2,893","10,842","10,842",1,100,"82,143","82,143","84,379","84,379","119,710","119,710",285,285,185,185,"3,681","3,681","9,330","9,330","1,760","1,760",503,503,289,289,27,27,521,521,"2,893","2,893","10,842","10,842",1,100,"82,143","82,143","84,379","84,379","119,710","119,710",285,285,185,185,"3,681","3,681","9,330","9,330","1,760","1,760",503,503,289,289,27,27,521,521,"2,893","2,893","10,842","10,842",1,100,"82,143","82,143","84,379","84,379","119,710","119,710",285,285,185,185,"3,681","3,681","9,330","9,330","1,760","1,760",503,503,289,289,27,27,521,521,"2,893","2,893","10,842","10,842",1,100,"82,143","82,143","84,379","84,379","119,710","119,710",285,285,185,185,"3,681","3,681","9,330","9,330","1,760","1,760",503,503,289,289,27,27,521,521,"2,893","2,893","10,842","10,842",1,100,"82,143","82,143","84,379","84,379","119,710","119,710",285,285,185,185,"3,681","3,681","9,330","9,330","1,760","1,760",503,503,289,289,27,27,521,521,"2,893","2,893","10,842","10,842",1,100,"82,143","82,143","84,379","84,379","119,710","119,710",285,285,185,185,"3,681","3,681","9,330","9,330","1,760","1,760",503,503,289,289,27,27,521,521,"2,893","2,893","10,842","10,842"
A8,1,,"146,210","146,210","90,372","90,372","95,674","95,674",154,154,241,241,"5,391","5,391","3,257","3,257",900,900,647,647,204,204,68,68,418,418,636,636,"11,390","11,390",1,100,"146,210","146,210","90,372","90,372","95,674","95,674",154,154,241,241,"5,391","5,391","3,257","3,257",900,900,647,647,204,204,68,68,418,418,636,636,"11,390","11,390",1,100,"146,210","146,210","90,372","90,372","95,674","95,674",154,154,241,241,"5,391","5,391","3,257","3,257",900,900,647,647,204,204,68,68,418,418,636,636,"11,390","11,390",1,100,"146,210","146,210","90,372","90,372","95,674","95,674",154,154,241,241,"5,391","5,391","3,257","3,257",900,900,647,647,204,204,68,68,418,418,636,636,"11,390","11,390",1,100,"146,210","146,210","90,372","90,372","95,674","95,674",154,154,241,241,"5,391","5,391","3,257","3,257",900,900,647,647,204,204,68,68,418,418,636,636,"11,390","11,390",1,100,"146,210","146,210","90,372","90,372","95,674","95,674",154,154,241,241,"5,391","5,391","3,257","3,257",900,900,647,647,204,204,68,68,418,418,636,636,"11,390","11,390",1,100,"146,210","146,210","90,372","90,372","95,674","95,674",154,154,241,241,"5,391","5,391","3,257","3,257",900,900,647,647,204,204,68,68,418,418,636,636,"11,390","11,390",1,100,"146,210","146,210","90,372","90,372","95,674","95,674",154,154,241,241,"5,391","5,391","3,257","3,257",900,900,647,647,204,204,68,68,418,418,636,636,"11,390","11,390",1,100,"146,210","146,210","90,372","90,372","95,674","95,674",154,154,241,241,"5,391","5,391","3,257","3,257",900,900,647,647,204,204,68,68,418,418,636,636,"11,390","11,390"
A9,1,,"107,982","107,982","89,529","89,529","71,131","71,131",155,155,8,8,"2,773","2,773","4,603","4,603",430,430,646,646,21,21,-89,-89,437,437,"1,929","1,929","11,736","11,736",1,100,"107,982","107,982","89,529","89,529","71,131","71,131",155,155,8,8,"2,773","2,773","4,603","4,603",430,430,646,646,21,21,-89,-89,437,437,"1,929","1,929","11,736","11,736",1,100,"107,982","107,982","89,529","89,529","71,131","71,131",155,155,8,8,"2,773","2,773","4,603","4,603",430,430,646,646,21,21,-89,-89,437,437,"1,929","1,929","11,736","11,736",1,100,"107,982","107,982","89,529","89,529","71,131","71,131",155,155,8,8,"2,773","2,773","4,603","4,603",430,430,646,646,21,21,-89,-89,437,437,"1,929","1,929","11,736","11,736",1,100,"107,982","107,982","89,529","89,529","71,131","71,131",155,155,8,8,"2,773","2,773","4,603","4,603",430,430,646,646,21,21,-89,-89,437,437,"1,929","1,929","11,736","11,736",1,100,"107,982","107,982","89,529","89,529","71,131","71,131",155,155,8,8,"2,773","2,773","4,603","4,603",430,430,646,646,21,21,-89,-89,437,437,"1,929","1,929","11,736","11,736",1,100,"107,982","107,982","89,529","89,529","71,131","71,131",155,155,8,8,"2,773","2,773","4,603","4,603",430,430,646,646,21,21,-89,-89,437,437,"1,929","1,929","11,736","11,736",1,100,"107,982","107,982","89,529","89,529","71,131","71,131",155,155,8,8,"2,773","2,773","4,603","4,603",430,430,646,646,21,21,-89,-89,437,437,"1,929","1,929","11,736","11,736",1,100,"107,982","107,982","89,529","89,529","71,131","71,131",155,155,8,8,"2,773","2,773","4,603","4,603",430,430,646,646,21,21,-89,-89,437,437,"1,929","1,929","11,736","11,736"
A10,1,,"145,022","145,022","93,972","93,972","84,383","84,383",249,249,172,172,"6,823","6,823","1,000","1,000",587,587,758,758,162,162,-11,-11,344,344,"1,150","1,150","12,093","12,093",1,100,"145,022","145,022","93,972","93,972","84,383","84,383",249,249,172,172,"6,823","6,823","1,000","1,000",587,587,758,758,162,162,-11,-11,344,344,"1,150","1,150","12,093","12,093",1,100,"145,022","145,022","93,972","93,972","84,383","84,383",249,249,172,172,"6,823","6,823","1,000","1,000",587,587,758,758,162,162,-11,-11,344,344,"1,150","1,150","12,093","12,093",1,100,"145,022","145,022","93,972","93,972","84,383","84,383",249,249,172,172,"6,823","6,823","1,000","1,000",587,587,758,758,162,162,-11,-11,344,344,"1,150","1,150","12,093","12,093",1,100,"145,022","145,022","93,972","93,972","84,383","84,383",249,249,172,172,"6,823","6,823","1,000","1,000",587,587,758,758,162,162,-11,-11,344,344,"1,150","1,150","12,093","12,093",1,100,"145,022","145,022","93,972","93,972","84,383","84,383",249,249,172,172,"6,823","6,823","1,000","1,000",587,587,758,758,162,162,-11,-11,344,344,"1,150","1,150","12,093","12,093",1,100,"145,022","145,022","93,972","93,972","84,383","84,383",249,249,172,172,"6,823","6,823","1,000","1,000",587,587,758,758,162,162,-11,-11,344,344,"1,150","1,150","12,093","12,093",1,100,"145,022","145,022","93,972","93,972","84,383","84,383",249,249,172,172,"6,823","6,823","1,000","1,000",587,587,758,758,162,162,-11,-11,344,344,"1,150","1,150","12,093","12,093",1,100,"145,022","145,022","93,972","93,972","84,383","84,383",249,249,172,172,"6,823","6,823","1,000","1,000",587,587,758,758,162,162,-11,-11,344,344,"1,150","1,150","12,093","12,093"
