"Plate_well","exp","fcs.name","SingleCells.count","NonEry.count","CD56neg.count","CD14neg.count","IntermediateNeut.count","IntermediateNeut.freq.of.CD14neg","MatureNeut.count","MatureNeut.freq.of.CD14neg","MatureNeut.FSC.A","MatureNeut.SSC.A","EarlyNeut.count","EarlyNeut.freq.of.CD14neg","Mono.count","Mono.freq.of.NonEry","Mono.freq.of.CD56neg","Mono.CD11b.Median","Mono.CD14.Median","Mono.FSC.A","Mono.SSC.A","Mono2.count","Mono2.freq.of.NonEry","Mono2.freq.of.CD56neg","Mono2.CD11b.Median","Mono2.CD14.Median","Mono2.FSC.A","Mono2.SSC.A","Ery.count","IntermediateNeut.FSC.A","IntermediateNeut.SSC.A","EarlyNeut.FSC.A","EarlyNeut.SSC.A","CD66bNeut.CD11b.Median","CD66bNeut.CD66b.Median","CD66bNeut.FSC.A","CD66bNeut.SSC.A","TrueFalse"
"13_A1","ARCH4","PLATE 13 LEUK_BM_A1_A01_001.fcs",56,56,55,4,0,0,0,0,NA,NA,1,25,48,85.7,87.3,7349,5664,147584,197632,47,83.9,85.5,7349,5664,200640,147584,0,NA,NA,91008,131392,NA,NA,NA,NA,"TRUE"
"13_A2","ARCH4","PLATE 13 LEUK_BM_A2_A02_002.fcs",846,843,841,353,46,13,15,4.25,131264,106944,245,69.4,431,51.1,51.2,3678,1881,100992,113280,428,50.8,50.9,3678,1881,113280,100608,0,115904,88512,109888,87808,594,6942,119424,90496,"TRUE"
"13_A3","ARCH4","PLATE 13 LEUK_BM_A3_A03_003.fcs",57399,49382,49376,9462,4254,45,1022,10.8,110720,113408,2785,29.4,36786,74.5,74.5,2843,1718,101376,130560,36135,73.2,73.2,2860,1735,130624,101312,2,107904,97856,91648,91136,553,24566,108096,100224,"TRUE"
"13_A4","ARCH4","PLATE 13 LEUK_BM_A4_A04_004.fcs",94057,80762,80753,26000,1920,7.38,379,1.46,116032,109312,21616,83.1,49108,60.8,60.8,2524,1633,97088,107008,48904,60.6,60.6,2524,1636,106944,97088,1,108992,91776,100032,83776,540,9074,109760,94080,"TRUE"
"13_A5","ARCH4","PLATE 13 LEUK_BM_A5_A05_005.fcs",20801,20676,20672,17066,6962,40.8,9549,56,98240,94528,50,0.29,1420,6.87,6.87,2168,774,105536,115712,150,0.73,0.73,3561,1345,155264,109312,0,94656,82304,94016,76160,903,24742,96704,89088,"TRUE"
"13_A6","ARCH4","PLATE 13 LEUK_BM_A6_A06_006.fcs",71105,68049,68041,43165,25350,58.7,4493,10.4,129728,124288,6366,14.7,21928,32.2,32.2,3176,1649,99904,120576,19615,28.8,28.8,3299,1771,121792,99968,3,114048,96320,106752,90752,558,18073,115840,99392,"TRUE"
"13_A7","ARCH4","PLATE 13 LEUK_BM_A7_A07_007.fcs",14603,14375,14367,4936,32,0.65,3,0.061,86272,89472,3832,77.6,6922,48.2,48.2,2156,2476,102656,105728,6902,48,48,2156,2476,105600,102656,0,95168,90112,100480,85632,458,13575,95168,90112,"TRUE"
"13_A8","ARCH4","PLATE 13 LEUK_BM_A8_A08_008.fcs",958,744,743,614,0,0,0,0,NA,NA,20,3.26,35,4.7,4.71,2691,503,137472,198784,9,1.21,1.21,2911,500,173184,144128,53,NA,NA,85760,112192,3325,4518,130688,225024,"TRUE"
"13_A9","ARCH4","PLATE 13 LEUK_BM_A9_A09_009.fcs",57789,47477,47457,13127,169,1.29,54,0.41,122432,117184,11658,88.8,31029,65.4,65.4,2414,1642,94720,96768,30979,65.3,65.3,2414,1642,96768,94720,1,111232,91392,98432,84736,600,7253,113152,94720,"TRUE"
"13_A10","ARCH4","PLATE 13 LEUK_BM_A10_A10_010.fcs",203,200,200,91,65,71.4,3,3.3,83584,70592,6,6.59,17,8.5,8.5,2076,2227,99584,103232,12,6,6,2270,2227,84288,83648,0,122368,101312,78656,72000,343,9707,121600,99776,"TRUE"
