Plate 13,1,2,3,4,5,6,7,8,9,10,11,12
A,1_A1,1_A6,1_B4,1_B11,1_C4,1_C9,1_C10,1_D4,1_D7,1_D8,1_E2,1_E3
B,1_E9,1_E12,1_F2,1_F10,1_F12,1_G1,1_G2,2_B11,2_C11,2_C8,2_D5,2_D11
C,2_G2,2_G9,2_H1,3_A1,3_A8,3_A9,3_B7,3_D2,3_D8,3_D9,3_E2,3_E7
D,3_E9,3_E10,3_E11,3_G4,3_G6,3_H1,3_H2,3_H4,3_H9,4_C5,4_C8,4_D4
E,4_D9,4_D10,4_E5,4_E9,4_F1,4_F12,4_G4,4_G9,4_H10,5_A10,5_A12,5_B9
F,5_C1,5_C2,5_C5,5_C9,5_D8,5_D12,5_E7,5_E12,5_F7,5_F10,5_G1,5_G4
G,5_G5,5_H6,6_A11,6_B3,6_B6,6_B10,6_C4,6_C5,6_C8,6_D1,6_D4,6_D8
H,6_D11,6_E2,6_E6,6_E8,6_F8,6_F10,6_G2,6_G7,6_G9,6_G12,6_H1,6_H3
,,,,,,,,,,,,
Plate 14,1,2,3,4,5,6,7,8,9,10,11,12
A,7_A1,7_A2,7_A4,7_A6,7_A7,7_A8,7_A10,7_B4,7_B9,7_B10,7_B11,7_C2
B,7_C3,7_C8,7_D2,7_D12,7_E5,7_E11,7_F3,7_F5,7_F12,7_G4,7_H9,7_H10
C,7_H12,8_A3,8_A4,8_B7,8_B4,8_B5,8_C8,8_C10,8_D1,8_D2,8_D5,8_D6
D,8_D9,8_E6,8_E7,8_E9,8_E10,8_F5,9_F10,8_F12,8_G1,8_H11,8_H12,9_A6
E,9_A7,9_C3,9_C8,9_D3,9_D4,9_E2,9_E4,9_E11,9_E12,9_F12,9_G3,9_G8
F,9_H7,9_H9,10_A2,10_A3,10_A6,10_A11,10_B1,10_B6,10_B11,10_C5,10_C10,10_C12
G,10_D1,10_D5,10_D7,10_E6,10_E7,10_E10,10_F11,10_G6,10_G8,,,
H,,,,,,,,,,,,
