FSC_A,FSC_W,SSC_A,CD33,CD45RA,CD34,CD90,CD49f,CD38,Lineage,CD7_CD10,Live,CD45,Time,Sort_id,Cell_seeded
149210,89382,88201,239,120,4240,999,693,417,134,43,222,1139,2935,1_A1,HSC
145418,92971,100255,180,75,3744,867,2140,100,113,14,276,1664,3207,1_A2,HSC
161435,92295,105040,60,151,3628,1350,1284,598,220,73,546,2386,3644,1_A3,HSC
158452,89609,105134,295,47,4255,1503,780,820,153,66,460,1436,4836,1_A4,HSC
155024,90476,86998,148,150,5686,825,1614,342,117,119,411,1479,5174,1_A5,HSC
157049,92173,82742,141,147,3959,414,2819,364,149,119,460,2190,5394,1_A6,HSC
128448,94916,102886,231,83,2577,5163,696,664,114,25,608,2238,7587,1_A7,HSC
109884,88015,55986,68,94,4268,14038,1092,96,304,109,432,1006,9455,1_A8,HSC
128792,83821,72629,123,121,3515,1259,913,865,255,15,347,1655,10793,1_A9,HSC
144136,88715,86315,96,6,3894,2578,1030,291,138,60,415,1558,11408,1_A10,HSC
138884,94283,88933,42,97,3878,1786,5174,558,209,45,271,1277,12492,1_A11,HSC
128355,90995,81062,131,8,3683,8606,870,496,165,-8,579,1940,13242,1_A12,HSC
125720,88147,84853,46,18,2488,273,518,493,134,65,410,1035,24145,1_B1,HSC
119185,88847,102091,347,83,5222,4184,1201,819,128,97,401,1947,23705,1_B2,HSC
138198,88776,95863,1,106,4687,5137,2433,472,-21,28,262,2842,19505,1_B3,HSC
166874,98466,91248,239,279,2526,2596,1451,642,207,78,418,1646,18661,1_B4,HSC
135852,89919,90409,245,188,4705,2844,2246,481,93,80,384,2102,18288,1_B5,HSC
132182,90138,100418,304,56,2682,4319,709,829,273,941,563,1576,17947,1_B6,HSC
147958,90194,99821,15,190,2772,1439,1103,699,168,131,361,718,17388,1_B7,HSC
96428,89716,106439,252,104,5193,1013,855,705,148,17,294,1252,16871,1_B8,HSC
134465,87794,82595,267,134,4528,3429,1794,776,177,137,367,2176,15257,1_B9,HSC
96630,85439,127439,158,139,5315,4457,1247,793,197,789,414,1115,14713,1_B10,HSC
155338,90522,100402,283,64,4715,2633,2401,130,111,42,439,2354,14447,1_B11,HSC
132736,85954,64577,129,128,2819,978,548,637,143,177,333,1299,13934,1_B12,HSC
125559,87348,92539,-8,145,3999,208,2190,177,206,-23,418,1099,24924,1_C1,HSC
96715,85914,88374,63,72,2561,2259,642,707,184,23,394,1730,25157,1_C2,HSC
154858,90571,75660,142,195,3550,1432,1623,336,127,146,383,1404,26481,1_C3,HSC
177736,99921,91325,296,119,5918,2870,2336,390,130,51,387,2064,26815,1_C4,HSC
133191,92321,74096,346,177,6052,138,458,776,168,283,398,495,27854,1_C5,HSC
112629,91619,136558,402,181,5119,865,765,602,180,425,451,380,28112,1_C6,HSC
