Plate_well,Sort_id
13_A1,1_A1
13_A2,1_A6
13_A3,1_B4
13_A4,1_B11
13_A5,1_C4
13_A6,1_C9
13_A7,1_C10
13_A8,1_D4
13_A9,1_D7
13_A10,1_D8
13_A11,1_E2
13_A12,1_E3
13_B1,1_E9
13_B2,1_E12
13_B3,1_F2
13_B4,1_F10
13_B5,1_F12
13_B6,1_G1
13_B7,1_G2
13_B8,2_B11
13_B9,2_C11
13_B10,2_C8
13_B11,2_D5
13_B12,2_D11
13_C1,2_G2
13_C2,2_G9
13_C3,2_H1
13_C4,3_A1
13_C5,3_A8
13_C6,3_A9
13_C7,3_B7
13_C8,3_D2
13_C9,3_D8
13_C10,3_D9
13_C11,3_E2
13_C12,3_E7
13_D1,3_E9
13_D2,3_E10
13_D3,3_E11
13_D4,3_G4
13_D5,3_G6
13_D6,3_H1
13_D7,3_H2
13_D8,3_H4
13_D9,3_H9
13_D10,4_C5
13_D11,4_C8
13_D12,4_D4
13_E1,4_D9
13_E2,4_D10
13_E3,4_E5
13_E4,4_E9
13_E5,4_F1
13_E6,4_F12
13_E7,4_G4
13_E8,4_G9
13_E9,4_H10
13_E10,5_A10
13_E11,5_A12
13_E12,5_B9
13_F1,5_C1
13_F2,5_C2
13_F3,5_C5
13_F4,5_C9
13_F5,5_D8
13_F6,5_D12
13_F7,5_E7
13_F8,5_E12
13_F9,5_F7
13_F10,5_F10
13_F11,5_G1
13_F12,5_G4
13_G1,5_G5
13_G2,5_H6
13_G3,6_A11
13_G4,6_B3
13_G5,6_B6
13_G6,6_B10
13_G7,6_C4
13_G8,6_C5
13_G9,6_C8
13_G10,6_D1
13_G11,6_D4
13_G12,6_D8
13_H1,6_D11
13_H2,6_E2
13_H3,6_E6
13_H4,6_E8
13_H5,6_F8
13_H6,6_F10
13_H7,6_G2
13_H8,6_G7
13_H9,6_G9
13_H10,6_G12
13_H11,6_H1
13_H12,6_H3
14_A1,7_A1
14_A2,7_A2
14_A3,7_A4
14_A4,7_A6
14_A5,7_A7
14_A6,7_A8
14_A7,7_A10
14_A8,7_B4
14_A9,7_B9
14_A10,7_B10
14_A11,7_B11
14_A12,7_C2
14_B1,7_C3
14_B2,7_C8
14_B3,7_D2
14_B4,7_D12
14_B5,7_E5
14_B6,7_E11
14_B7,7_F3
14_B8,7_F5
14_B9,7_F12
14_B10,7_G4
14_B11,7_H9
14_B12,7_H10
14_C1,7_H12
14_C2,8_A3
14_C3,8_A4
14_C4,8_B7
14_C5,8_B4
14_C6,8_B5
14_C7,8_C8
14_C8,8_C10
14_C9,8_D1
14_C10,8_D2
14_C11,8_D5
14_C12,8_D6
14_D1,8_D9
14_D2,8_E6
14_D3,8_E7
14_D4,8_E9
14_D5,8_E10
14_D6,8_F5
14_D7,9_F10
14_D8,8_F12
14_D9,8_G1
14_D10,8_H11
14_D11,8_H12
14_D12,9_A6
14_E1,9_A7
14_E2,9_C3
14_E3,9_C8
14_E4,9_D3
14_E5,9_D4
14_E6,9_E2
14_E7,9_E4
14_E8,9_E11
14_E9,9_E12
14_E10,9_F12
14_E11,9_G3
14_E12,9_G8
14_F1,9_H7
14_F2,9_H9
14_F3,10_A2
14_F4,10_A3
14_F5,10_A6
14_F6,10_A11
14_F7,10_B1
14_F8,10_B6
14_F9,10_B11
14_F10,10_C5
14_F11,10_C10
14_F12,10_C12
14_G1,10_D1
14_G2,10_D5
14_G3,10_D7
14_G4,10_E6
14_G5,10_E7
14_G6,10_E10
14_G7,10_F11
14_G8,10_G6
14_G9,10_G8
