sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
contig_mean,804.0989399,2513.282686,134.8833922,3452.265018,18855.96113,20676,15403.69611
contig_median,249,1105,21,2077,17195,18240,15512
contig_sum,227560,711259,38172,976991,5336237,5851308,4359246
plate1_10A5_BC-plate-_B_23_S23_L001,227,4821,796,5844,24518,27766,18674
plate1_10A5_BC-plate-_B_24_S24_L001,159,3594,441,4194,18354,20596,14160
plate1_10B4_BC-plate-_B_31_S31_L001,5171,5977,5,11153,34143,38916,22990
plate1_10B4_BC-plate-_B_32_S32_L001,4223,5837,2,10062,27982,32318,17920
plate1_10B6_BC-plate-_B_39_S39_L001,812,3953,10,4775,23351,26128,18576
plate1_10B6_BC-plate-_B_40_S40_L001,968,3535,3,4506,19170,21584,14664
plate1_10C4_BC-plate-_B_47_S47_L001,4467,948,1,5416,20020,22148,14604
plate1_10C4_BC-plate-_B_48_S48_L001,3825,957,0,4782,16108,17934,11326
plate1_10C6_BC-plate-_B_55_S55_L001,393,614,100,1107,14017,14590,12910
plate1_10C6_BC-plate-_B_56_S56_L001,547,467,122,1136,11808,12328,10672
plate1_10D7_BC-plate-_B_63_S63_L001,1027,618,1383,3028,24846,26366,21818
plate1_10D7_BC-plate-_B_64_S64_L001,1085,571,1224,2880,18514,19918,15634
plate1_10F8_BC-plate-_B_71_S71_L001,367,4684,119,5170,23340,26250,18170
plate1_10F8_BC-plate-_B_72_S72_L001,250,4272,143,4665,17943,20546,13278
plate1_10G6_BC-plate-_B_79_S79_L001,37,46,1,84,11036,11104,10952
plate1_10G6_BC-plate-_B_80_S80_L001,25,47,0,72,8204,8266,8132
plate1_10G7_BC-plate-_B_87_S87_L001,1673,5175,132,6980,24462,28066,17482
plate1_10G7_BC-plate-_B_88_S88_L001,1852,2675,183,4710,16578,18748,11868
plate1_1B3_BC-plate-_B_1_S1_L001,1609,113,8,1730,11182,11778,9452
plate1_1B6_BC-plate-_B_9_S9_L001,708,133,10,851,9683,10056,8832
plate1_1D4_BC-plate-_B_17_S17_L001,2824,42,2,2868,14142,15090,11274
plate1_1D5_BC-plate-_B_25_S25_L001,354,2230,143,2727,14747,16110,12020
plate1_1E5_BC-plate-_B_33_S33_L001,676,414,218,1308,13100,13720,11792
plate1_1E6_BC-plate-_B_41_S41_L001,71,369,13,453,8343,8602,7890
plate1_1F3_BC-plate-_B_49_S49_L001,2887,400,5,3292,16212,17426,12920
plate1_1F4_BC-plate-_B_57_S57_L001,446,679,457,1582,14906,15742,13324
plate1_1G3_BC-plate-_B_65_S65_L001,112,4783,1,4896,21848,24698,16952
plate1_1H7_BC-plate-_B_73_S73_L001,38,4292,92,4422,18384,21202,13962
plate1_2A1_BC-plate-_B_81_S81_L001,31,41,0,72,8824,8882,8752
plate1_2A2_BC-plate-_B_89_S89_L001,250,4001,44,4295,16207,18628,11912
plate1_2A4_BC-plate-_B_2_S2_L001,1008,1252,61,2321,15941,17006,13620
plate1_2B11_BC-plate-_B_18_S18_L001,104,28,1,133,687,734,554
plate1_2B6_BC-plate-_B_10_S10_L001,189,1311,72,1572,16028,16954,14456
plate1_2C1_BC-plate-_B_26_S26_L001,184,1263,820,2267,21697,22904,19430
plate1_2D2_BC-plate-_B_34_S34_L001,475,2483,144,3102,20002,21764,16900
plate1_2E1_BC-plate-_B_42_S42_L001,1592,2810,98,4500,21166,23374,16666
plate1_2F1_BC-plate-_B_50_S50_L001,722,1748,92,2562,19678,21014,17116
plate1_2F6_BC-plate-_B_58_S58_L001,1861,703,614,3178,21494,22888,18316
plate1_2H4_BC-plate-_B_66_S66_L001,294,5440,49,5783,25555,28826,19772
plate1_3D1_BC-plate-_B_74_S74_L001,31,50,1,82,12416,12488,12334
plate1_3E2_BC-plate-_B_82_S82_L001,26,57,2,85,12221,12294,12136
plate1_3F2_BC-plate-_B_90_S90_L001,591,1934,98,2623,13107,14468,10484
plate1_3F3_BC-plate-_B_3_S3_L001,258,1161,56,1475,17145,17938,15670
plate1_3G8_BC-plate-_B_11_S11_L001,1650,735,14,2399,16803,17956,14404
plate1_3H2_BC-plate-_B_19_S19_L001,526,1549,42,2117,14901,15952,12784
plate1_3H3_BC-plate-_B_27_S27_L001,384,3065,43,3492,21926,23712,18434
plate1_4B2_BC-plate-_B_35_S35_L001,282,1549,132,1963,19263,20484,17300
plate1_4B3_BC-plate-_B_43_S43_L001,867,1818,337,3022,17090,18610,14068
plate1_4B6_BC-plate-_B_51_S51_L001,1085,244,1,1330,16168,16724,14838
plate1_4C5_BC-plate-_B_59_S59_L001,161,1302,40,1503,15781,16608,14278
plate1_4E1_BC-plate-_B_67_S67_L001,428,1530,119,2077,17765,18882,15688
plate1_4F1_BC-plate-_B_75_S75_L001,45,442,6,493,13085,13378,12592
plate1_4H4_BC-plate-_B_83_S83_L001,72,267,72,411,11395,11658,10984
plate1_4H5_BC-plate-_B_91_S91_L001,37,1063,21,1121,14353,14998,13232
plate1_5C2_BC-plate-_B_4_S4_L001,149,1151,62,1362,15120,15878,13758
plate1_5D5_BC-plate-_B_12_S12_L001,246,834,70,1150,13120,13782,11970
plate1_5E1_BC-plate-_B_20_S20_L001,940,2556,80,3576,19880,21752,16304
plate1_5F1_BC-plate-_B_28_S28_L001,2606,101,2,2709,19601,20540,16892
plate1_5H3_BC-plate-_B_36_S36_L001,1225,1575,237,3037,19725,21270,16688
plate1_5H9_BC-plate-_B_44_S44_L001,1414,927,286,2627,16181,17358,13554
plate1_6B6_BC-plate-_B_52_S52_L001,63,8521,63,8647,29747,34544,21100
plate1_6C3_BC-plate-_B_60_S60_L001,48,72,1,121,10261,10352,10140
plate1_6E7_BC-plate-_B_68_S68_L001,59,549,1,609,13439,13806,12830
plate1_6G6_BC-plate-_B_76_S76_L001,28,91,3,122,9988,10078,9866
plate1_6H3_BC-plate-_B_84_S84_L001,571,2256,80,2907,17509,19050,14602
plate1_7A4_BC-plate-_B_92_S92_L001,421,2195,115,2731,15215,16752,12484
plate1_7C4_BC-plate-_B_5_S5_L001,291,223,49,563,11193,11438,10630
plate1_7D5_BC-plate-_B_13_S13_L001,152,420,21,593,8317,8660,7724
plate1_7E4_BC-plate-_B_21_S21_L001,663,3610,131,4404,17940,20224,13536
plate1_7F1_BC-plate-_B_29_S29_L001,112,380,62,554,11254,11550,10700
plate1_7F5_BC-plate-_B_37_S37_L001,675,970,53,1698,14530,15388,12832
plate1_7G1_BC-plate-_B_45_S45_L001,157,234,24,415,8787,9010,8372
plate1_7H5_BC-plate-_B_53_S53_L001,556,1242,156,1954,14150,15152,12196
plate1_8A1_BC-plate-_B_61_S61_L001,515,1158,97,1770,11906,12786,10136
plate1_8C3_BC-plate-_B_69_S69_L001,279,390,25,694,13428,13782,12734
plate1_8C5_BC-plate-_B_77_S77_L001,0,6,0,6,102,102,96
plate1_8D3_BC-plate-_B_85_S85_L001,249,410,36,695,10055,10422,9360
plate1_8F1_BC-plate-_B_93_S93_L001,147,212,31,390,6786,6992,6396
plate1_8H6_BC-plate-_B_6_S6_L001,222,1249,66,1537,13263,14092,11726
