"Plate_well","exp","fcs.name","SingleCells.count","NonEry.count","CD56neg.count","CD14neg.count","IntermediateNeut.count","IntermediateNeut.freq.of.CD14neg","MatureNeut.count","MatureNeut.freq.of.CD14neg","MatureNeut.FSC.A","MatureNeut.SSC.A","EarlyNeut.count","EarlyNeut.freq.of.CD14neg","Mono.count","Mono.freq.of.NonEry","Mono.freq.of.CD56neg","Mono.CD11b.Median","Mono.CD14.Median","Mono.FSC.A","Mono.SSC.A","Mono2.count","Mono2.freq.of.NonEry","Mono2.freq.of.CD56neg","Mono2.CD11b.Median","Mono2.CD14.Median","Mono2.FSC.A","Mono2.SSC.A","Ery.count","IntermediateNeut.FSC.A","IntermediateNeut.SSC.A","EarlyNeut.FSC.A","EarlyNeut.SSC.A","TrueFalse"
"plate1_A01","ARCH1","LEUK4_plate1_FACS_A1_A01_001.fcs",44962,44953,44613,24028,NA,NA,NA,NA,NA,NA,NA,NA,19877,44.2,44.6,2068,5114,110272,49024,19873,44.2,44.5,2068,5114,110272,49024,0,NA,NA,NA,NA,"TRUE"
"plate1_A02","ARCH1","LEUK4_plate1_FACS_A2_A02_002.fcs",47211,47206,46427,32842,NA,NA,NA,NA,NA,NA,NA,NA,13186,27.9,28.4,2981,4682,109120,51008,13181,27.9,28.4,2981,4682,109120,51008,0,NA,NA,NA,NA,"TRUE"
"plate1_A03","ARCH1","LEUK4_plate1_FACS_A3_A03_003.fcs",39518,39511,39269,27020,NA,NA,NA,NA,NA,NA,NA,NA,12049,30.5,30.7,3612,7397,115072,56832,12043,30.5,30.7,3612,7397,115008,56832,0,NA,NA,NA,NA,"TRUE"
"plate1_A04","ARCH1","LEUK4_plate1_FACS_A4_A04_004.fcs",15776,15773,15531,10719,NA,NA,NA,NA,NA,NA,NA,NA,4743,30.1,30.5,4481,8467,137664,80192,4742,30.1,30.5,4481,8467,137600,80192,0,NA,NA,NA,NA,"TRUE"
"plate1_A05","ARCH1","LEUK4_plate1_FACS_A5_A05_005.fcs",30522,30514,30246,23874,NA,NA,NA,NA,NA,NA,NA,NA,6195,20.3,20.5,3739,5103,119296,70016,6191,20.3,20.5,3739,5103,119296,70016,0,NA,NA,NA,NA,"TRUE"
"plate1_A06","ARCH1","LEUK4_plate1_FACS_A6_A06_006.fcs",42796,42781,41884,27531,NA,NA,NA,NA,NA,NA,NA,NA,13825,32.3,33,2428,4537,108224,56832,13823,32.3,33,2428,4537,108224,56832,0,NA,NA,NA,NA,"TRUE"
"plate1_A07","ARCH1","LEUK4_plate1_FACS_A7_A07_007.fcs",10783,10770,10254,7209,NA,NA,NA,NA,NA,NA,NA,NA,2962,27.5,28.9,4016,8448,148928,98240,2960,27.5,28.9,4016,8467,148928,98240,0,NA,NA,NA,NA,"TRUE"
"plate1_A08","ARCH1","LEUK4_plate1_FACS_A8_A08_008.fcs",30084,30079,29573,12610,NA,NA,NA,NA,NA,NA,NA,NA,16574,55.1,56,2466,6120,114240,59840,16569,55.1,56,2466,6133,114240,59840,0,NA,NA,NA,NA,"TRUE"
"plate1_A09","ARCH1","LEUK4_plate1_FACS_A9_A09_009.fcs",42556,42547,40842,35335,NA,NA,NA,NA,NA,NA,NA,NA,5290,12.4,13,3427,4556,118336,64384,5288,12.4,12.9,3434,4556,118336,64384,1,NA,NA,NA,NA,"TRUE"
"plate1_A10","ARCH1","LEUK4_plate1_FACS_A10_A10_010.fcs",12014,12013,11429,6220,NA,NA,NA,NA,NA,NA,NA,NA,5137,42.8,44.9,2529,6002,160512,108480,5126,42.7,44.9,2529,6015,160448,108416,0,NA,NA,NA,NA,"TRUE"
"plate1_A11","ARCH1","LEUK4_plate1_FACS_A11_A11_011.fcs",33644,33641,33571,29123,NA,NA,NA,NA,NA,NA,NA,NA,4321,12.8,12.9,3716,3663,109376,59264,4317,12.8,12.9,3716,3663,109376,59264,0,NA,NA,NA,NA,"TRUE"
