Plate_well,variable,Sort_id
plate1_A01,PLATE1,1_B3
plate1_A02,PLATE1,1_B6
plate1_A03,PLATE1,1_D4
plate1_A04,PLATE1,1_D5
plate1_A05,PLATE1,1_E5
plate1_A06,PLATE1,1_E6
plate1_A07,PLATE1,1_F3
plate1_A08,PLATE1,1_F4
plate1_A09,PLATE1,1_G3
plate1_A10,PLATE1,1_H7
plate1_A11,PLATE1,2_A1
plate1_A12,PLATE1,2_A2
plate1_B01,PLATE1,2_A4
plate1_B02,PLATE1,2_B6
plate1_B03,PLATE1,2_B11
plate1_B04,PLATE1,2_C1
plate1_B05,PLATE1,2_D2
plate1_B06,PLATE1,2_E1
plate1_B07,PLATE1,2_F1
plate1_B08,PLATE1,2_F6
plate1_B09,PLATE1,2_H4
plate1_B10,PLATE1,3_D1
plate1_B11,PLATE1,3_E2
plate1_B12,PLATE1,3_F2
plate1_C01,PLATE1,3_F3
plate1_C02,PLATE1,3_G8
plate1_C03,PLATE1,3_H2
plate1_C04,PLATE1,3_H3
plate1_C05,PLATE1,4_B2
plate1_C06,PLATE1,4_B3
plate1_C07,PLATE1,4_B6
plate1_C08,PLATE1,4_C5
plate1_C09,PLATE1,4_E1
plate1_C10,PLATE1,4_F1
plate1_C11,PLATE1,4_H4
plate1_C12,PLATE1,4_H5
plate1_D01,PLATE1,5_C2
plate1_D02,PLATE1,5_D5
plate1_D03,PLATE1,5_E1
plate1_D04,PLATE1,5_F1
plate1_D05,PLATE1,5_H3
plate1_D06,PLATE1,5_H9
plate1_D07,PLATE1,6_B6
plate1_D08,PLATE1,6_C3
plate1_D09,PLATE1,6_E7
plate1_D10,PLATE1,6_G6
plate1_D11,PLATE1,6_H3
plate1_D12,PLATE1,7_A4
plate1_E01,PLATE1,7_C4
plate1_E02,PLATE1,7_D5
plate1_E03,PLATE1,7_E4
plate1_E04,PLATE1,7_F1
plate1_E05,PLATE1,7_F5
plate1_E06,PLATE1,7_G1
plate1_E07,PLATE1,7_H5
plate1_E08,PLATE1,8_A1
plate1_E09,PLATE1,8_C3
plate1_E10,PLATE1,8_C5
plate1_E11,PLATE1,8_D3
plate1_E12,PLATE1,8_F1
plate1_F01,PLATE1,8_H6
plate1_F02,PLATE1,9_A1
plate1_F03,PLATE1,9_A6
plate1_F04,PLATE1,9_B3
plate1_F05,PLATE1,9_B5
plate1_F06,PLATE1,9_B9
plate1_F07,PLATE1,9_C8
plate1_F08,PLATE1,9_D5
plate1_F09,PLATE1,9_E5
plate1_F10,PLATE1,9_F1
plate1_F11,PLATE1,9_F6
plate1_F12,PLATE1,9_F7
plate1_G01,PLATE1,9_F8
plate1_G02,PLATE1,9_H3
plate1_G03,PLATE1,10_A5
plate1_G04,PLATE1,10_B4
plate1_G05,PLATE1,10_B6
plate1_G06,PLATE1,10_C4
plate1_G07,PLATE1,10_C6
plate1_G08,PLATE1,10_D7
plate1_G09,PLATE1,10_F8
plate1_G10,PLATE1,10_G6
plate1_G11,PLATE1,10_G7
plate2_A01,PLATE2,1_A2
plate2_A02,PLATE2,1_B2
plate2_A03,PLATE2,1_B5
plate2_A04,PLATE2,1_B12
plate2_A05,PLATE2,1_C12
plate2_A06,PLATE2,1_D2
plate2_A07,PLATE2,1_E1
plate2_A08,PLATE2,1_F1
plate2_A09,PLATE2,1_H2
plate2_A10,PLATE2,1_H4
plate2_A11,PLATE2,2_A3
plate2_A12,PLATE2,2_A9
plate2_B01,PLATE2,2_B1
plate2_B02,PLATE2,2_B2
plate2_B03,PLATE2,2_B3
plate2_B04,PLATE2,2_E6
plate2_B05,PLATE2,2_F3
plate2_B06,PLATE2,3_C3
plate2_B07,PLATE2,3_C4
plate2_B08,PLATE2,3_D9
plate2_B09,PLATE2,3_E1
plate2_B10,PLATE2,3_E5
plate2_B11,PLATE2,3_E6
plate2_B12,PLATE2,3_E9
plate2_C01,PLATE2,3_F10
plate2_C02,PLATE2,3_G5
plate2_C03,PLATE2,3_G10
plate2_C04,PLATE2,3_G11
plate2_C05,PLATE2,3_H4
plate2_C06,PLATE2,4_C3
plate2_C07,PLATE2,4_D1
plate2_C08,PLATE2,4_D4
plate2_C09,PLATE2,4_E6
plate2_C10,PLATE2,4_F7
plate2_C11,PLATE2,4_G4
plate2_C12,PLATE2,4_G6
plate2_D01,PLATE2,4_G9
plate2_D02,PLATE2,5_B2
plate2_D03,PLATE2,5_B10
plate2_D04,PLATE2,5_D10
plate2_D05,PLATE2,5_E2
plate2_D06,PLATE2,5_F6
plate2_D07,PLATE2,5_H2
plate2_D08,PLATE2,5_H4
plate2_D09,PLATE2,6_A3
plate2_D10,PLATE2,6_B2
plate2_D11,PLATE2,6_B8
plate2_D12,PLATE2,6_C2
plate2_E01,PLATE2,6_D2
plate2_E02,PLATE2,6_D8
plate2_E03,PLATE2,6_D11
plate2_E04,PLATE2,6_E1
plate2_E05,PLATE2,6_E6
