sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
D0plt-F8-HSC-1-wellin384plt-298_S301_L001,28,14,0,42,1936,1942,1894
LEUK5-P1-A9-wellin384plt-91_S150_L001,0,1576,0,1576,4922,5008,3346
LEUK5-P4-D4-wellin384plt-321_S113_L001,0,16,0,16,382,386,366
LEUK5-P2-B1-wellin384plt-139_S70_L001,13,237,11,261,3091,3102,2830
LEUK5-P1-E5-wellin384plt-53_S139_L001,654,3400,21,4075,6267,6446,2192
LEUK5-P2-D6-wellin384plt-205_S87_L001,1061,1094,204,2359,3505,3564,1146
LEUK5-P1-E7-wellin384plt-73_S53_L001,13,1710,12,1735,4683,4752,2948
D0plt-H11-HSC-1-wellin384plt-350_S407_L001,0,1,0,1,7,8,6
PC-wellin384plt-368_S320_L001,1657,4352,105,6114,8220,8450,2106
LEUK5-P4-D5-wellin384plt-333_S119_L001,2387,2813,71,5271,6867,7056,1596
LEUK5-P4-F8-wellin384plt-383_S224_L001,4,30,0,34,2104,2112,2070
D0plt-C10-HSC-1-wellin384plt-324_S306_L001,0,35,0,35,2279,2288,2244
LEUK5-P2-F10-wellin384plt-255_S192_L001,0,88,0,88,2188,2194,2100
LEUK5-P2-D3-wellin384plt-165_S75_L001,1694,238,40,1972,3006,3064,1034
LEUK5-P1-G10-wellin384plt-109_S63_L001,1904,2602,123,4629,6505,6646,1876
D0plt-E4-GMP-1-wellin384plt-232_S284_L001,0,0,0,0,40,40,40
LEUK5-P5-B5-wellin384plt-104_S252_L001,3,296,0,299,353,376,54
LEUK5-P2-F1-wellin384plt-147_S162_L001,40,554,17,611,2755,2788,2144
D0plt-H9-HSC-1-wellin384plt-318_S399_L001,2,29,0,31,2959,2968,2928
D0plt-A3-GMP-20-wellin384plt-208_S280_L001,0,14,0,14,1782,1788,1768
LEUK5-P2-D11-wellin384plt-263_S100_L001,12,94,0,106,2418,2428,2312
LEUK5-P2-F7-wellin384plt-221_S183_L001,0,42,0,42,2022,2026,1980
LEUK5-P2-D10-wellin384plt-251_S190_L001,8,255,0,263,2493,2512,2230
D0plt-E9-HSC-1-wellin384plt-312_S396_L001,0,7,0,7,941,946,934
LEUK5-P5-E8-wellin384plt-140_S262_L001,0,16,0,16,1664,1670,1648
LEUK5-P1-D1-wellin384plt-5_S35_L001,218,195,10,423,597,608,174
LEUK5-P4-A12-wellin384plt-46_S239_L001,2,49,0,51,2101,2106,2050
LEUK5-P2-F9-wellin384plt-243_S186_L001,2,10,2,14,2158,2166,2144
D0plt-D2-GMP-1-wellin384plt-198_S275_L001,0,12,0,12,2224,2228,2212
D0plt-F7-HSC-1-wellin384plt-282_S389_L001,0,7,0,7,13,14,6
LEUK5-P5-G6-wellin384plt-122_S349_L001,0,19,0,19,2471,2476,2452
LEUK5-P2-E2-wellin384plt-157_S167_L001,27,228,20,275,2039,2052,1764
D0plt-B8-HSC-1-wellin384plt-290_S297_L001,0,14,0,14,64,68,50
LEUK5-P2-B12-wellin384plt-271_S104_L001,259,12,7,278,326,334,48
LEUK5-P1-D7-wellin384plt-71_S52_L001,290,4844,2,5136,7528,7678,2392
LEUK5-P4-F4-wellin384plt-323_S114_L001,2,1053,0,1055,3779,3862,2724
D0plt-A1-HSC-50-wellin384plt-176_S272_L001,0,22,0,22,1978,1984,1956
D0plt-D11-HSC-1-wellin384plt-342_S403_L001,2,2,0,4,24,26,20
D0plt-A5-HSC-1-wellin384plt-240_S288_L001,0,3,0,3,335,338,332
LEUK5-P2-E10-wellin384plt-253_S191_L001,8,156,2,166,2800,2812,2634
LEUK5-P1-C3-wellin384plt-29_S135_L001,520,2054,6,2580,4186,4264,1606
D0plt-E11-HSC-1-wellin384plt-344_S404_L001,0,11,0,11,1349,1354,1338
LEUK5-P1-H4-wellin384plt-49_S137_L001,6,612,0,618,2976,3006,2358
D0plt-D3-GMP-1-wellin384plt-214_S371_L001,0,6,0,6,86,88,80
LEUK5-P2-C12-wellin384plt-273_S193_L001,563,237,20,820,1232,1262,412
D0plt-A2-HSC-50-wellin384plt-192_S368_L001,0,2,0,2,6,6,4
LEUK5-P4-A1-wellin384plt-279_S196_L001,0,4519,0,4519,7481,7642,2962
D0plt-G1-GMP-1-wellin384plt-188_S366_L001,0,44,0,44,2640,2648,2596
LEUK5-P1-G9-wellin384plt-103_S60_L001,4,5224,0,5228,8320,8528,3092
LEUK5-P4-H4-wellin384plt-327_S116_L001,0,23,0,23,673,678,650
LEUK5-P4-H10-wellin384plt-32_S328_L001,0,3748,0,3748,5706,5810,1958
LEUK5-P5-C3-wellin384plt-82_S337_L001,4,16,0,20,22,22,2
LEUK5-P2-E9-wellin384plt-241_S185_L001,0,0,0,0,24,24,24
LEUK5-P5-D2-wellin384plt-72_S244_L001,0,19,0,19,33,36,14
D0plt-A6-HSC-1-wellin384plt-256_S384_L001,0,2,0,2,54,54,52
LEUK5-P5-B8-wellin384plt-134_S259_L001,1,0,0,1,23,24,22
LEUK5-P1-A6-wellin384plt-61_S143_L001,305,2146,0,2451,3203,3274,752
LEUK5-P4-D1-wellin384plt-283_S198_L001,0,6229,0,6229,8377,8600,2148
LEUK5-P2-E3-wellin384plt-167_S76_L001,110,1335,74,1519,4303,4344,2784
LEUK5-P5-E5-wellin384plt-110_S255_L001,0,48,0,48,1774,1784,1726
LEUK5-P5-F3-wellin384plt-86_S339_L001,0,9011,0,9011,10361,10982,1350
D0plt-H5-HSC-1-wellin384plt-254_S383_L001,1,2937,0,2938,5158,5244,2220
LEUK5-P4-H3-wellin384plt-315_S206_L001,3,4223,0,4226,7642,7844,3416
LEUK5-P1-C1-wellin384plt-3_S34_L001,280,2406,4,2690,5296,5384,2606
LEUK5-P1-H5-wellin384plt-59_S142_L001,2,2186,0,2188,4124,4202,1936
