plate_well,#Events,%Parent,FSC-A,FSC-W,SSC-A,CD38,CD45RA,CD34,CD19,ZOMBIE,CD33,CD49F,CD90,V405,Time,Cell_seeded
1_A1,1,NA,103292,79677,23997,1,17,1631,15,183,73,287,453,NA,687,HSC
1_A2,1,NA,111895,81823,28698,13,2,1624,43,188,94,1106,249,NA,929,HSC
1_A3,1,NA,92117,77648,15046,-48,41,1323,45,219,-11,1226,2203,NA,1122,HSC
1_A4,1,NA,102050,79443,17880,51,1,2037,24,279,22,2242,427,NA,1316,HSC
1_A5,1,NA,89449,76461,17145,120,12,1168,59,108,90,362,591,NA,1509,HSC
1_A6,1,NA,99054,81096,17581,-92,25,1647,26,75,46,167,159,NA,1703,HSC
1_A7,1,NA,112252,80904,31892,38,12,1692,51,152,107,477,1255,NA,1917,HSC
1_A8,1,NA,96270,87987,32102,48,47,1562,60,311,115,820,8813,NA,2115,HSC
1_A9,1,NA,99628,79561,25374,62,29,1480,36,130,47,741,111,NA,2309,HSC
1_A10,1,NA,106938,79554,20629,35,-2,1032,58,227,-49,929,-14,NA,2500,HSC
1_A11,1,NA,92378,78490,16334,-141,8,945,16,175,6,471,223,NA,2697,HSC
1_A12,1,NA,117813,82146,26342,52,64,1772,72,273,-136,4417,4059,NA,2908,HSC
1_B1,1,NA,107069,79109,19996,-151,21,1923,32,225,33,715,1109,NA,5333,HSC
1_B2,1,NA,90548,77759,13637,17,16,1498,40,140,25,355,112,NA,5119,HSC
1_B3,1,NA,108436,79965,20754,74,54,2039,29,201,29,421,132,NA,4895,HSC
1_B4,1,NA,102292,80190,19795,-15,30,1681,22,214,24,1369,862,NA,4674,HSC
1_B5,1,NA,86587,77807,15880,49,32,1341,16,244,-38,895,212,NA,4485,HSC
1_B6,1,NA,100079,79794,19667,-174,-2,1538,55,231,47,717,132,NA,4286,HSC
1_B7,1,NA,103404,79944,18097,39,82,1393,28,149,22,90,119,NA,4091,HSC
1_B8,1,NA,111902,87879,44159,-65,15,1780,80,232,-28,676,148,NA,3891,HSC
1_B9,1,NA,100668,78545,21083,-3,25,1801,-1,145,68,1119,187,NA,3702,HSC
1_B10,1,NA,92154,77779,19447,28,-2,1698,54,165,0,579,-28,NA,3506,HSC
1_B11,1,NA,97565,80140,20443,16,20,1342,-9,185,131,380,55,NA,3305,HSC
1_B12,1,NA,108467,79891,24044,-83,-24,1996,62,179,-12,704,76,NA,3105,HSC
1_C1,1,NA,109496,80989,20696,7,2,1654,7,190,56,777,-39,NA,5530,HSC
1_C2,1,NA,111379,81384,23329,58,16,2041,51,152,112,2569,424,NA,5773,HSC
1_C3,1,NA,90970,77848,15714,-11,45,988,18,139,-8,1172,410,NA,5967,HSC
1_C4,1,NA,99514,78144,19142,7,15,1612,46,206,75,493,295,NA,6162,HSC
1_C5,1,NA,95528,77548,12345,-96,-7,1460,56,144,127,1865,62,NA,6353,HSC
1_C6,1,NA,90727,78200,16600,-7,-4,1228,21,181,2,1291,-26,NA,6557,HSC
1_C7,1,NA,85129,81366,28212,9,46,1302,24,216,58,2487,413,NA,6761,HSC
1_C8,1,NA,91427,76768,16739,33,30,1291,24,128,-47,851,208,NA,6954,HSC
1_C9,1,NA,113728,81669,28700,-56,-18,1626,33,221,28,963,249,NA,7150,HSC
1_C10,1,NA,91425,77010,16530,39,1,1148,9,167,53,1380,371,NA,7348,HSC
1_C11,1,NA,104973,79500,19557,-165,8,2487,1,255,41,423,77,NA,7538,HSC
1_C12,1,NA,76790,74811,17862,250,-1,1351,17,150,-12,413,-41,NA,7750,HSC
1_D1,1,NA,101770,78704,18159,121,88,1760,32,171,-26,880,1607,NA,10263,HSC
1_D2,1,NA,98167,78371,15900,28,28,948,40,143,42,236,384,NA,10072,HSC
1_D3,1,NA,88659,77305,14423,8,32,1177,19,103,44,82,43,NA,9866,HSC
1_D4,1,NA,128788,82935,28500,-110,52,2130,43,292,103,588,129,NA,9638,HSC
1_D5,1,NA,90457,91317,25105,-81,16,1754,55,230,73,471,-57,NA,9435,HSC
1_D6,1,NA,98546,81390,40244,73,84,1814,49,319,28,1861,152,NA,9220,HSC
1_D7,1,NA,100326,78301,17350,34,32,1178,32,224,36,303,206,NA,9020,HSC
1_D8,1,NA,101064,79962,24046,-67,34,1162,42,161,5,140,107,NA,8804,HSC
1_D9,1,NA,103497,80549,18132,-67,11,1770,31,182,19,265,319,NA,8597,HSC
1_D10,1,NA,111592,79410,20732,-47,18,2024,22,214,-44,632,507,NA,8372,HSC
1_D11,1,NA,96889,78775,20313,174,22,939,21,116,17,191,439,NA,8178,HSC
1_D12,1,NA,86095,77616,25873,11,57,1249,45,173,19,237,341,NA,7956,HSC
1_E1,1,NA,117120,83243,20196,40,61,1392,43,170,55,1457,449,NA,10460,HSC
