"Plate_well","exp","fcs.name","SingleCells.count","NonEry.count","CD56neg.count","CD14neg.count","IntermediateNeut.count","IntermediateNeut.freq.of.CD14neg","MatureNeut.count","MatureNeut.freq.of.CD14neg","MatureNeut.FSC.A","MatureNeut.SSC.A","EarlyNeut.count","EarlyNeut.freq.of.CD14neg","Mono.count","Mono.freq.of.NonEry","Mono.freq.of.CD56neg","Mono.CD11b.Median","Mono.CD14.Median","Mono.FSC.A","Mono.SSC.A","Mono2.count","Mono2.freq.of.NonEry","Mono2.freq.of.CD56neg","Mono2.CD11b.Median","Mono2.CD14.Median","Mono2.FSC.A","Mono2.SSC.A","Ery.count","IntermediateNeut.FSC.A","IntermediateNeut.SSC.A","EarlyNeut.FSC.A","EarlyNeut.SSC.A","TrueFalse"
"1_A1","AML1","HSC_pool_A1_A01_001.fcs",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"FALSE"
"1_A2","AML1","HSC_pool_A2_A02_002.fcs",4,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"FALSE"
"1_A3","AML1","HSC_pool_A3_A03_003.fcs",28,28,26,3,NA,NA,NA,NA,NA,NA,NA,NA,23,82.1,88.5,NA,24801,129152,40192,23,82.1,88.5,NA,24801,129152,40192,0,NA,NA,NA,NA,"FALSE"
"1_A4","AML1","HSC_pool_A4_A04_004.fcs",13706,13703,13465,7948,NA,NA,NA,NA,NA,NA,NA,NA,4790,35,35.6,NA,2524,84864,17600,4790,35,35.6,NA,2524,84864,17600,0,NA,NA,NA,NA,"TRUE"
"1_A6","AML1","HSC_pool_A6_A06_005.fcs",4833,4827,4628,3172,NA,NA,NA,NA,NA,NA,NA,NA,1427,29.6,30.8,NA,5039,104576,31552,1427,29.6,30.8,NA,5039,104576,31552,0,NA,NA,NA,NA,"TRUE"
"1_A7","AML1","HSC_pool_A7_A07_006.fcs",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"FALSE"
"1_A8","AML1","HSC_pool_A8_A08_007.fcs",11543,11538,11071,2853,NA,NA,NA,NA,NA,NA,NA,NA,8037,69.7,72.6,NA,5213,99840,24960,8037,69.7,72.6,NA,5213,99840,24960,0,NA,NA,NA,NA,"TRUE"
"1_A10","AML1","HSC_pool_A10_A10_008.fcs",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"FALSE"
"1_A11","AML1","HSC_pool_A11_A11_009.fcs",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"FALSE"
"1_A12","AML1","HSC_pool_A12_A12_010.fcs",14868,14860,14285,3622,NA,NA,NA,NA,NA,NA,NA,NA,10389,69.9,72.7,NA,6616,122496,34624,10377,69.8,72.6,NA,6631,122496,34624,0,NA,NA,NA,NA,"TRUE"
