Plate 1,1,2,3,4,5,6,7,8,9,10,11,12
A,1_A1,,1_A3,1_A4,1_A5,1_A6,,1_A8,1_A9,,,1_A12
B,,1_B2,1_B3,1_B4,,1_B6,,1_B8,1_B9,,1_B11,1_B12
C,1_C1,1_C2,1_C3,,,1_C6,,1_C8,1_C9,1_C10,1_C11,1_C12
D,1_D1,1_D2,1_D3,,,1_D6,1_D7,1_D8,1_D9,,1_D11,1_D12
E,1_E1,1_E2,1_E3,1_E4,1_E5,,1_E7,,1_E9,1_E10,1_E11,1_E12
F,1_F1,,1_F3,,1_F5,,1_F7,1_F8,1_F9,,1_F11,1_F12
G,1_G1,1_G2,1_G3,1_G4,1_G5,1_G6,1_G7,1_G8,1_G9,1_G10,1_G11,1_G12
H,,1_H2,1_H3,1_H4,1_H5,1_H6,,1_H8,,1_H10,,
,,,,,,,,,,,,
Plate 2,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,2_A4,2_A5,2_A6,,2_A8,2_A9,,,
B,2_B1,2_B2,2_B3,2_B4,2_B5,2_B6,2_B7,,2_B9,2_B10,2_B11,2_B12
C,2_C1,2_C2,2_C3,2_C4,2_C5,,2_C7,2_C8,,,,2_C12
D,2_D1,,2_D3,,,2_D6,2_D7,2_D8,2_D9,2_D10,2_D11,
E,2_E1,2_E2,2_E3,2_E4,2_E5,2_E6,2_E7,,2_E9,2_E10,2_E11,
F,2_F1,,2_F3,2_F4,2_F5,,2_F7,2_F8,2_F9,2_F10,2_F11,
G,2_G1,,2_G3,2_G4,2_G5,2_G6,2_G7,2_G8,2_G9,2_G10,,2_G12
H,2_H1,2_H2,2_H3,,2_H5,2_H6,,2_H8,2_H9,2_H10,2_H11,2_H12
,,,,,,,,,,,,
Plate 4,1,2,3,4,5,6,7,8,9,10,11,12
A,4_A1,,4_A3,,4_A5,4_A6,4_A7,4_A8,4_A9,4_A10,4_A11,4_A12
B,4_B1,4_B2,4_B3,4_B4,4_B5,4_B6,4_B7,4_B8,4_B9,,4_B11,4_B12
C,4_C1,4_C2,4_C3,4_C4,4_C5,4_C6,4_C7,4_C8,4_C9,4_C10,4_C11,4_C12
D,4_D1,4_D2,,4_D4,4_D5,4_D6,4_D7,4_D8,4_D9,4_D10,4_D11,4_D12
E,4_E1,4_E2,4_E3,,4_E5,4_E6,4_E7,4_E8,4_E9,4_E10,4_E11,4_E12
F,4_F1,4_F2,4_F3,4_F4,4_F5,4_F6,4_F7,4_F8,4_F9,4_F10,4_F11,4_F12
G,4_G1,,4_G3,4_G4,4_G5,4_G6,4_G7,4_G8,4_G9,,,
H,4_H1,4_H2,4_H3,4_H4,,4_H6,4_H7,4_H8,4_H9,4_H10,4_H11,4_H12
,,,,,,,,,,,,
Plate 5 ,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,5_A4,5_A5,,5_A7,,5_A9,,,5_A12
B,5_B1,5_B2,5_B3,5_B4,5_B5,5_B6,,5_B8,5_B9,5_B10,5_B11,
C,,5_C2,5_C3,,5_C5,,5_C7,5_C8,,5_C10,5_C11,
D,5_D1,5_D2,,5_D4,5_D5,5_D6,5_D7,5_D8,5_D9,5_D10,5_D11,5_D12
E,5_E1,5_E2,5_E3,5_E4,5_E5,,5_E7,5_E8,,5_E10,5_E11,
F,5_F1,5_F2,5_F3,5_F4,5_F5,5_F6,5_F7,5_F8,5_F9,5_F10,5_F11,
G,,5_G2,5_G3,5_G4,5_G5,5_G6,,,,,,
H,,,,,,,,,,,,
