Plate_well,variable,Sort_id
Plate 1_A1,Plate 1,1_A1
Plate 1_A3,Plate 1,1_A3
Plate 1_A4,Plate 1,1_A4
Plate 1_A5,Plate 1,1_A5
Plate 1_A6,Plate 1,1_A6
Plate 1_A8,Plate 1,1_A8
Plate 1_A9,Plate 1,1_A9
Plate 1_A12,Plate 1,1_A12
Plate 1_B2,Plate 1,1_B2
Plate 1_B3,Plate 1,1_B3
Plate 1_B4,Plate 1,1_B4
Plate 1_B6,Plate 1,1_B6
Plate 1_B8,Plate 1,1_B8
Plate 1_B9,Plate 1,1_B9
Plate 1_B11,Plate 1,1_B11
Plate 1_B12,Plate 1,1_B12
Plate 1_C1,Plate 1,1_C1
Plate 1_C2,Plate 1,1_C2
Plate 1_C3,Plate 1,1_C3
Plate 1_C6,Plate 1,1_C6
Plate 1_C8,Plate 1,1_C8
Plate 1_C9,Plate 1,1_C9
Plate 1_C10,Plate 1,1_C10
Plate 1_C11,Plate 1,1_C11
Plate 1_C12,Plate 1,1_C12
Plate 1_D1,Plate 1,1_D1
Plate 1_D2,Plate 1,1_D2
Plate 1_D3,Plate 1,1_D3
Plate 1_D6,Plate 1,1_D6
Plate 1_D7,Plate 1,1_D7
Plate 1_D8,Plate 1,1_D8
Plate 1_D9,Plate 1,1_D9
Plate 1_D11,Plate 1,1_D11
Plate 1_D12,Plate 1,1_D12
Plate 1_E1,Plate 1,1_E1
Plate 1_E2,Plate 1,1_E2
Plate 1_E3,Plate 1,1_E3
Plate 1_E4,Plate 1,1_E4
Plate 1_E5,Plate 1,1_E5
Plate 1_E7,Plate 1,1_E7
Plate 1_E9,Plate 1,1_E9
Plate 1_E10,Plate 1,1_E10
Plate 1_E11,Plate 1,1_E11
Plate 1_E12,Plate 1,1_E12
Plate 1_F1,Plate 1,1_F1
Plate 1_F3,Plate 1,1_F3
Plate 1_F5,Plate 1,1_F5
Plate 1_F7,Plate 1,1_F7
Plate 1_F8,Plate 1,1_F8
Plate 1_F9,Plate 1,1_F9
Plate 1_F11,Plate 1,1_F11
Plate 1_F12,Plate 1,1_F12
Plate 1_G1,Plate 1,1_G1
Plate 1_G2,Plate 1,1_G2
Plate 1_G3,Plate 1,1_G3
Plate 1_G4,Plate 1,1_G4
Plate 1_G5,Plate 1,1_G5
Plate 1_G6,Plate 1,1_G6
Plate 1_G7,Plate 1,1_G7
Plate 1_G8,Plate 1,1_G8
Plate 1_G9,Plate 1,1_G9
Plate 1_G10,Plate 1,1_G10
Plate 1_G11,Plate 1,1_G11
Plate 1_G12,Plate 1,1_G12
Plate 1_H2,Plate 1,1_H2
Plate 1_H3,Plate 1,1_H3
Plate 1_H4,Plate 1,1_H4
Plate 1_H5,Plate 1,1_H5
Plate 1_H6,Plate 1,1_H6
Plate 1_H8,Plate 1,1_H8
Plate 1_H10,Plate 1,1_H10
Plate 2_A4,Plate 2,2_A4
Plate 2_A5,Plate 2,2_A5
Plate 2_A6,Plate 2,2_A6
Plate 2_A8,Plate 2,2_A8
Plate 2_A9,Plate 2,2_A9
Plate 2_B1,Plate 2,2_B1
Plate 2_B2,Plate 2,2_B2
Plate 2_B3,Plate 2,2_B3
Plate 2_B4,Plate 2,2_B4
Plate 2_B5,Plate 2,2_B5
Plate 2_B6,Plate 2,2_B6
Plate 2_B7,Plate 2,2_B7
Plate 2_B9,Plate 2,2_B9
Plate 2_B10,Plate 2,2_B10
Plate 2_B11,Plate 2,2_B11
Plate 2_B12,Plate 2,2_B12
Plate 2_C1,Plate 2,2_C1
Plate 2_C2,Plate 2,2_C2
Plate 2_C3,Plate 2,2_C3
Plate 2_C4,Plate 2,2_C4
Plate 2_C5,Plate 2,2_C5
Plate 2_C7,Plate 2,2_C7
Plate 2_C8,Plate 2,2_C8
Plate 2_C12,Plate 2,2_C12
Plate 2_D1,Plate 2,2_D1
Plate 2_D3,Plate 2,2_D3
Plate 2_D6,Plate 2,2_D6
Plate 2_D7,Plate 2,2_D7
Plate 2_D8,Plate 2,2_D8
Plate 2_D9,Plate 2,2_D9
Plate 2_D10,Plate 2,2_D10
Plate 2_D11,Plate 2,2_D11
Plate 2_E1,Plate 2,2_E1
Plate 2_E2,Plate 2,2_E2
Plate 2_E3,Plate 2,2_E3
Plate 2_E4,Plate 2,2_E4
Plate 2_E5,Plate 2,2_E5
Plate 2_E6,Plate 2,2_E6
Plate 2_E7,Plate 2,2_E7
Plate 2_E9,Plate 2,2_E9
Plate 2_E10,Plate 2,2_E10
Plate 2_E11,Plate 2,2_E11
Plate 2_F1,Plate 2,2_F1
Plate 2_F3,Plate 2,2_F3
Plate 2_F4,Plate 2,2_F4
Plate 2_F5,Plate 2,2_F5
Plate 2_F7,Plate 2,2_F7
Plate 2_F8,Plate 2,2_F8
Plate 2_F9,Plate 2,2_F9
Plate 2_F10,Plate 2,2_F10
Plate 2_F11,Plate 2,2_F11
Plate 2_G1,Plate 2,2_G1
Plate 2_G3,Plate 2,2_G3
Plate 2_G4,Plate 2,2_G4
Plate 2_G5,Plate 2,2_G5
Plate 2_G6,Plate 2,2_G6
Plate 2_G7,Plate 2,2_G7
Plate 2_G8,Plate 2,2_G8
Plate 2_G9,Plate 2,2_G9
Plate 2_G10,Plate 2,2_G10
Plate 2_G12,Plate 2,2_G12
Plate 2_H1,Plate 2,2_H1
Plate 2_H2,Plate 2,2_H2
Plate 2_H3,Plate 2,2_H3
Plate 2_H5,Plate 2,2_H5
Plate 2_H6,Plate 2,2_H6
Plate 2_H8,Plate 2,2_H8
Plate 2_H9,Plate 2,2_H9
Plate 2_H10,Plate 2,2_H10
Plate 2_H11,Plate 2,2_H11
Plate 2_H12,Plate 2,2_H12
Plate 4_A1,Plate 4,4_A1
Plate 4_A3,Plate 4,4_A3
Plate 4_A5,Plate 4,4_A5
Plate 4_A6,Plate 4,4_A6
Plate 4_A7,Plate 4,4_A7
Plate 4_A8,Plate 4,4_A8
Plate 4_A9,Plate 4,4_A9
Plate 4_A10,Plate 4,4_A10
Plate 4_A11,Plate 4,4_A11
Plate 4_A12,Plate 4,4_A12
Plate 4_B1,Plate 4,4_B1
