Sort_id,exp,fcs.name,SingleCells.count,NonEry.count,CD56neg.count,CD14neg.count,IntermediateNeut.count,IntermediateNeut.freq.of.CD14neg,MatureNeut.count,MatureNeut.freq.of.CD14neg,MatureNeut.FSC.A,MatureNeut.SSC.A,EarlyNeut.count,EarlyNeut.freq.of.CD14neg,Mono.count,Mono.freq.of.NonEry,Mono.freq.of.CD56neg,Mono.CD11b.Median,Mono.CD14.Median,Mono.FSC.A,Mono.SSC.A,Mono2.count,Mono2.freq.of.NonEry,Mono2.freq.of.CD56neg,Mono2.CD11b.Median,Mono2.CD14.Median,Mono2.FSC.A,Mono2.SSC.A,Ery.count,IntermediateNeut.FSC.A,IntermediateNeut.SSC.A,EarlyNeut.FSC.A,EarlyNeut.SSC.A,TrueFalse,Plate_well,variable,#Events,%Parent,FSC-A,FSC-W,SSC-A,CD38,CD45RA,CD34,CD19,ZOMBIE,CD33,CD49F,CD90,Cell_seeded
1_A4,AML1,HSC_pool_A4_A04_004.fcs,13706,13703,13465,7948,NA,NA,NA,NA,NA,NA,NA,NA,4790,35,35.6,NA,2524,84864,17600,4790,35,35.6,NA,2524,84864,17600,0,NA,NA,NA,NA,TRUE,Plate 1_A4,Plate 1,1,NA,102050,79443,17880,51,1,2037,24,279,22,2242,427,HSC
1_A6,AML1,HSC_pool_A6_A06_005.fcs,4833,4827,4628,3172,NA,NA,NA,NA,NA,NA,NA,NA,1427,29.6,30.8,NA,5039,104576,31552,1427,29.6,30.8,NA,5039,104576,31552,0,NA,NA,NA,NA,TRUE,Plate 1_A6,Plate 1,1,NA,99054,81096,17581,-92,25,1647,26,75,46,167,159,HSC
1_A8,AML1,HSC_pool_A8_A08_007.fcs,11543,11538,11071,2853,NA,NA,NA,NA,NA,NA,NA,NA,8037,69.7,72.6,NA,5213,99840,24960,8037,69.7,72.6,NA,5213,99840,24960,0,NA,NA,NA,NA,TRUE,Plate 1_A8,Plate 1,1,NA,96270,87987,32102,48,47,1562,60,311,115,820,8813,HSC
1_A12,AML1,HSC_pool_A12_A12_010.fcs,14868,14860,14285,3622,NA,NA,NA,NA,NA,NA,NA,NA,10389,69.9,72.7,NA,6616,122496,34624,10377,69.8,72.6,NA,6631,122496,34624,0,NA,NA,NA,NA,TRUE,Plate 1_A12,Plate 1,1,NA,117813,82146,26342,52,64,1772,72,273,-136,4417,4059,HSC
1_B2,AML1,HSC_pool_B2_B02_012.fcs,988,985,975,517,NA,NA,NA,NA,NA,NA,NA,NA,380,38.6,39,NA,16420,112256,35712,380,38.6,39,NA,16420,112256,35712,0,NA,NA,NA,NA,TRUE,Plate 1_B2,Plate 1,1,NA,90548,77759,13637,17,16,1498,40,140,25,355,112,HSC
1_B3,AML1,HSC_pool_B3_B03_013.fcs,510,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,1,20,20,NA,1287,197376,182208,1,20,20,NA,1287,197376,182208,488,NA,NA,NA,NA,TRUE,Plate 1_B3,Plate 1,1,NA,108436,79965,20754,74,54,2039,29,201,29,421,132,HSC
1_B4,AML1,HSC_pool_B4_B04_014.fcs,25961,25943,25769,7022,NA,NA,NA,NA,NA,NA,NA,NA,17955,69.2,69.7,NA,5180,89600,18496,17955,69.2,69.7,NA,5180,89600,18496,0,NA,NA,NA,NA,TRUE,Plate 1_B4,Plate 1,1,NA,102292,80190,19795,-15,30,1681,22,214,24,1369,862,HSC
1_B6,AML1,HSC_pool_B6_B06_016.fcs,22749,22743,22219,10158,NA,NA,NA,NA,NA,NA,NA,NA,11115,48.9,50,NA,3345,93440,20032,11113,48.9,50,NA,3345,93440,20032,0,NA,NA,NA,NA,TRUE,Plate 1_B6,Plate 1,1,NA,100079,79794,19667,-174,-2,1538,55,231,47,717,132,HSC
1_B8,AML1,HSC_pool_B8_B08_018.fcs,1101,989,952,711,NA,NA,NA,NA,NA,NA,NA,NA,236,23.9,24.8,NA,7800,103232,30464,236,23.9,24.8,NA,7800,103232,30464,109,NA,NA,NA,NA,TRUE,Plate 1_B8,Plate 1,1,NA,111902,87879,44159,-65,15,1780,80,232,-28,676,148,HSC
1_B9,AML1,HSC_pool_B9_B09_019.fcs,14897,14892,14443,8881,NA,NA,NA,NA,NA,NA,NA,NA,4837,32.5,33.5,NA,3234,110528,21696,4837,32.5,33.5,NA,3234,110528,21696,0,NA,NA,NA,NA,TRUE,Plate 1_B9,Plate 1,1,NA,100668,78545,21083,-3,25,1801,-1,145,68,1119,187,HSC
1_B11,AML1,HSC_pool_B11_B11_021.fcs,8964,8405,8321,6404,NA,NA,NA,NA,NA,NA,NA,NA,1790,21.3,21.5,NA,15893,103360,35392,1789,21.3,21.5,NA,15893,103360,35392,0,NA,NA,NA,NA,TRUE,Plate 1_B11,Plate 1,1,NA,97565,80140,20443,16,20,1342,-9,185,131,380,55,HSC
1_C1,AML1,HSC_pool_C1_C01_023.fcs,8665,8644,8288,1817,NA,NA,NA,NA,NA,NA,NA,NA,6378,73.8,77,NA,7817,120384,34816,6378,73.8,77,NA,7817,120384,34816,0,NA,NA,NA,NA,TRUE,Plate 1_C1,Plate 1,1,NA,109496,80989,20696,7,2,1654,7,190,56,777,-39,HSC
1_C2,AML1,HSC_pool_C2_C02_024.fcs,32105,32077,31809,8357,NA,NA,NA,NA,NA,NA,NA,NA,22437,69.9,70.5,NA,4852,99840,21568,22436,69.9,70.5,NA,4852,99840,21568,0,NA,NA,NA,NA,TRUE,Plate 1_C2,Plate 1,1,NA,111379,81384,23329,58,16,2041,51,152,112,2569,424,HSC
