,17:27421752-27422348,1:55076267-55076421,12:105431753-105432327,5:56224548-56225091,1:14925290-14925902,16:89299792-89300475,5:38962421-38963215,2:25456597-25457770,unmapped_reads,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq
Aditee_MYO18A_Fam151a_wiz_136_S580_L001,8041,0,0,0,1,0,0,12,14582,8054,22636,22698
Aditee_ALDH1L2_Meir3_wiz_32_S668_L001,0,0,61,410,0,0,0,0,862,471,1333,1300
sample176_S176_L001,0,0,3,0,0,0,0,4225,794,4228,5022,5032
Aditee_ALDH1L2_Meir3_wiz_PC_S827_L001,0,0,66,610,0,0,0,4,1334,680,2014,1992
sample264_S264_L001,0,0,11,0,0,0,0,12499,1242,12510,13752,13774
sample353_S353_L001,0,0,0,0,0,0,0,1552,1062,1552,2614,2622
sample109_S109_L001,0,0,4,0,0,0,0,5683,600,5687,6287,6302
sample341_S341_L001,0,0,0,0,0,0,0,6722,836,6722,7558,7570
sample373_S373_L001,0,0,5,0,2,0,0,3881,524,3888,4412,4420
sample409_S409_L001,0,0,4,0,0,0,0,3884,2424,3888,6312,6326
sample277_S277_L001,0,0,0,0,0,0,0,1277,796,1277,2073,2074
sample383_S383_L001,0,0,1,0,0,0,0,4830,1178,4831,6009,6016
sample124_S124_L001,0,0,5,0,0,0,0,7075,952,7080,8032,8048
Aditee_ALDH1L2_Meir3_wiz_196_1_S800_L001,0,0,87,722,0,0,0,0,1418,809,2227,2194
Aditee_ALDH1L2_Meir3_wiz_102_1_S738_L001,0,0,148,1548,0,0,0,2,1086,1698,2784,2704
sample318_S318_L001,0,0,1,0,0,0,0,7707,896,7708,8604,8614
Aditee_ALDH1L2_Meir3_wiz_69_S705_L001,0,0,108,1371,0,0,0,1,84326,1480,85806,85748
Aditee_ALDH1L2_Meir3_wiz_135_S771_L001,0,0,125,1006,0,0,0,2,488,1133,1621,1558
Aditee_ALDH1L2_Meir3_wiz_1_S637_L001,0,0,62,276,0,0,0,1,60918,339,61257,61232
Aditee_KAZN_ZNF778ICTOR_wiz_167_S993_L001,0,0,0,0,45,415,1022,0,798,1482,2280,2282
Aditee_ALDH1L2_Meir3_wiz_139_1_S775_L001,0,0,130,1464,0,0,0,4,1190,1598,2788,2728
Aditee_ALDH1L2_Meir3_wiz_44_S680_L001,0,0,71,859,2,0,0,1,21884,933,22817,22784
Aditee_KAZN_ZNF778ICTOR_wiz_97_1_S925_L001,0,0,0,0,7269,8048,1442,0,538,16759,17297,17438
sample300_S300_L001,0,0,8,0,0,0,0,3188,670,3196,3866,3880
sample315_S315_L001,0,0,3,0,0,0,0,4139,484,4142,4626,4632
sample412_S412_L001,0,0,0,0,0,0,0,5,810,5,815,816
